,$SRC,TUBE NAME,Lymphocytes/CD4+/RANKL+ | Freq. of Parent (%),Lymphocytes/CD4+/RANKL+ | Geometric Mean (Comp-APC-A),Lymphocytes/CD4+ | Geometric Mean (Comp-PE-Cy5-A),
AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL_No-Peptide_008.fcs,AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL,No-Peptide,18.4,1747,196,
AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL_0_1uM-PCC_011.fcs,AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL,0_1uM-PCC,77.7,3965,134,
AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL_10uM-K99A_009.fcs,AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL,10uM-K99A,69.1,4374,283,
AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL_10uM-PCC_012.fcs,AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL,10uM-PCC,86.0,4775,126,
AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL_100uM-K99A_010.fcs,AND-Mouse-1-CD69-CCR8-IL21-CD4-RANKL,100uM-K99A,85.2,5069,137,
AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL_No-Peptide_013.fcs,AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL,No-Peptide,6.59,1626,354,
AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL_0_1uM-PCC_016.fcs,AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL,0_1uM-PCC,76.1,3395,179,
AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL_10uM-K99A_014.fcs,AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL,10uM-K99A,53.2,2345,248,
AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL_10uM-PCC_017.fcs,AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL,10uM-PCC,84.8,3993,172,
AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL_100uM-K99A_015.fcs,AND-Mouse-2-CD69-CCR8-IL21-CD4-RANKL,100uM-K99A,77.8,3253,203,
Mean,,,63.5,3454,203,
SD,,,28.7,1215,72.9,
