,TUBE NAME,Lymphocytes/CD4+/CD25+ | Freq. of Parent (%),Lymphocytes/CD4+/CD25+ | Geometric Mean (Comp-PE-A),Lymphocytes/CD4+/CD69+ | Freq. of Parent (%),Lymphocytes/CD4+/CD69+ | Geometric Mean (Comp-FITC-A),Lymphocytes/CD4+/Helios+ | Freq. of Parent (%),Lymphocytes/CD4+/Helios+ | Geometric Mean (Comp-APC-A),
AND-TCR-Gata3-CD69-CD25-CD4-Helios-1_K99A-1uM.fcs,K99A-1uM,6.46,3977,4.45,1858,4.68,4434,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-2_K99A-1uM.fcs,K99A-1uM,8.22,3185,7.76,1596,5.02,5579,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-1_K99A-10uM.fcs,K99A-10uM,24.2,2644,25.7,1640,6.38,4912,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-2_K99A-10uM.fcs,K99A-10uM,20.5,3187,23.2,1625,7.11,4912,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-1_K99A-100uM.fcs,K99A-100uM,80.3,3299,87.0,2505,3.82,5294,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-2_K99A-100uM.fcs,K99A-100uM,81.7,3536,83.6,2465,3.86,4767,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-1_K99E-1uM.fcs,K99E-1uM,58.5,2884,78.7,3391,3.34,5367,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-2_K99E-1uM.fcs,K99E-1uM,64.6,3333,77.7,3371,3.33,4869,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-1_K99E-10uM.fcs,K99E-10uM,92.1,4903,96.6,4750,1.87,5728,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-2_K99E-10uM.fcs,K99E-10uM,91.7,4565,96.6,5008,1.64,5762,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-1_K99E-100uM.fcs,K99E-100uM,96.8,9557,97.6,5045,1.73,5365,
AND-TCR-Gata3-CD69-CD25-CD4-Helios-2_K99E-100uM.fcs,K99E-100uM,96.6,10208,96.6,5706,1.83,5217,
