,TUBE NAME,Lymphocytes/CD4+/CD25+ | Freq. of Parent (%),Lymphocytes/CD4+/CD25+ | Geometric Mean (Comp-PE-A),Lymphocytes/CD4+/CD69+ | Freq. of Parent (%),Lymphocytes/CD4+/CD69+ | Geometric Mean (Comp-FITC-A),Lymphocytes/CD4+ | Geometric Mean (Comp-PE-Cy7-A),
366549.fcs,No-Peptide,9.70,1726,12.7,2926,9139,
366553.fcs,10uM-K99A,35.4,2203,45.7,3445,9359,
366555.fcs,100uM-K99A,75.9,3195,87.0,6419,9100,
366557.fcs,0_1uM-PCC,88.7,4643,96.7,11562,7097,
366559.fcs,10uM-PCC,88.8,4280,98.8,11923,6878,
366561.fcs,No-Peptide-0_5uM-MEKi,5.00,1432,8.45,2393,9868,
366563.fcs,10uM-K99A-0_5uM-MEKi,23.6,1823,33.2,2776,9179,
366565.fcs,100uM-K99A-0_5uM-MEKi,67.6,2738,83.4,5051,8655,
366567.fcs,0_1uM-PCC-0_5uM-MEKi,82.0,3499,95.8,10116,7017,
366569.fcs,10uM-PCC-0_5uM-MEKi,83.8,3544,98.1,11018,6856,
Mean,,56.0,2908,66.0,6763,8315,
SD,,33.9,1106,37.0,3983,1203,
