,TUBE NAME,Lymphocytes/Single Cells/Single Cells/CD4+ | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/CD4+/CD25+ | Freq. of Parent (%),Lymphocytes/Single Cells/Single Cells/CD4+/CD25+ | Geometric Mean (Comp-PE-Cy7-A),Lymphocytes/Single Cells/Single Cells/CD4+/CD69+ | Geometric Mean (Comp-FITC-A),Lymphocytes/Single Cells/Single Cells/CD4+ | Geometric Mean (Comp-PE-A),Lymphocytes/Single Cells/Single Cells/CD4+ | Geometric Mean (Comp-PerCP-Cy5-5-A),Lymphocytes/Single Cells/Single Cells/CD4+ | Geometric Mean (Comp-APC-A),Lymphocytes/Single Cells/Single Cells/CD4+ | Geometric Mean (Comp-Pacific Blue-A),
Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-1uM-1.fcs,K99A-1uM-1,78.1,81.5,3051,1595,146,3338,10603,512,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-1uM-2.fcs,K99A-1uM-2,78.1,81.5,2937,1509,130,2651,10984,692,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-10uM-1.fcs,K99A-10uM-1,78.1,81.5,4435,1670,211,4980,9503,549,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-10uM-1,3a,1-1.fcs",K99A-10uM-1:1-1,78.1,81.5,6682,1686,256,5870,9540,701,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-10uM-1,3a,1-2.fcs",K99A-10uM-1:1-2,78.1,81.5,5933,1932,228,7604,9713,571,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-10uM-2.fcs,K99A-10uM-2,78.1,81.5,4709,1752,215,5769,9034,829,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-100uM-1.fcs,K99A-100uM-1,78.1,81.5,6717,2335,265,9021,8472,594,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-100uM-1,3a,1-1.fcs",K99A-100uM-1:1-1,78.1,81.5,8607,2321,274,9493,8703,737,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-100uM-1,3a,1-2.fcs",K99A-100uM-1:1-2,78.1,81.5,8103,2635,275,11467,8058,1210,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_K99A-100uM-2.fcs,K99A-100uM-2,78.1,81.5,6752,2594,255,9686,8040,1224,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_NoPep-1.fcs,NoPep-1,78.1,81.5,3626,1741,122,3073,10951,503,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_NoPep-2.fcs,NoPep-2,78.1,81.5,4100,1746,131,2940,11678,696,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-_01uM-1.fcs,PCC-_01uM-1,78.1,81.5,5592,3509,287,15152,6888,696,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-_1uM-1.fcs,PCC-_1uM-1,78.1,81.5,7391,3841,344,20465,5897,443,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-_01uM-2.fcs,PCC-_01uM-2,78.1,81.5,6077,3822,283,16475,6792,474,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-_1uM-2.fcs,PCC-_1uM-2,78.1,81.5,5651,3784,281,17377,6267,505,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-1uM-1.fcs,PCC-1uM-1,78.1,81.5,7554,3641,381,22811,5741,589,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-1uM-1,3a,1-1.fcs",PCC-1uM-1:1-1,78.1,81.5,10050,3948,458,26074,5625,434,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-1uM-1,3a,1-2.fcs",PCC-1uM-1:1-2,78.1,81.5,8782,4230,407,26544,5808,909,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-1uM-2.fcs,PCC-1uM-2,78.1,81.5,7236,3888,308,16903,5719,1205,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-100uM-1.fcs,PCC-100uM-1,78.1,81.5,6534,3558,398,22898,5992,678,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-100uM-1,3a,1-1.fcs",PCC-100uM-1:1-1,78.1,81.5,9407,3724,488,23642,5814,486,
"Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-100uM-1,3a,1-2.fcs",PCC-100uM-1:1-2,78.1,81.5,8705,3896,407,25783,5878,847,
Stain-1-Foxo1-69-Tbet-Irf4-25-4_PCC-100uM-2.fcs,PCC-100uM-2,78.1,81.5,6315,3643,339,21503,6053,887,
Mean,,78.1,81.5,6456,2875,287,13813,7823,707,
SD,,2.90E-14,0,1965,985,102,8410,2027,239,
