,TUBE NAME,Lymphocytes/CD4+/pERK+ | Freq. of Parent (%),Lymphocytes/CD4+/pERK+ | Geometric Mean (Comp-FITC-A),
365997.fcs,No-Peptide-Notx,5.82,1286,
366015.fcs,K99A-10uM-Notx,9.81,1293,
366017.fcs,K99A-100uM-Notx,19.3,1455,
366027.fcs,PCC-0_1uM-Notx,19.7,2319,
366029.fcs,PCC-10uM-Notx,62.9,3316,
366039.fcs,No-Peptide-MEKi-0_1uM,4.89,1149,
366041.fcs,K99A-10uM-MEKi-0_1uM,9.61,1263,
366043.fcs,K99A-100uM-MEKi-0_1uM,17.1,1373,
366045.fcs,PCC-0_1uM-MEKi-0_1uM,19.6,2170,
366047.fcs,PCC-10uM-MEKi-0_1uM,62.7,2932,
366049.fcs,No-Peptide-MEKi-0_2uM,4.43,1085,
366051.fcs,K99A-10uM-MEKi-0_2uM,7.26,1150,
366053.fcs,K99A-100uM-MEKi-0_2uM,15.0,1404,
366055.fcs,PCC-0_1uM-MEKi-0_2uM,18.9,1953,
366057.fcs,PCC-10uM-MEKi-0_2uM,65.1,2732,
366059.fcs,No-Peptide-MEKi-0_5uM,3.11,1098,
366061.fcs,K99A-10uM-MEKi-0_5uM,7.64,1251,
366063.fcs,K99A-100uM-MEKi-0_5uM,14.9,1554,
366065.fcs,PCC-0_1uM-MEKi-0_5uM,16.4,1751,
366067.fcs,PCC-10uM-MEKi-0_5uM,64.7,2393,
366069.fcs,No-Peptide-MEKi-1uM,1.73,1074,
366071.fcs,K99A-10uM-MEKi-1uM,4.39,1029,
366073.fcs,K99A-100uM-MEKi-1uM,12.5,1142,
366075.fcs,PCC-0_1uM-MEKi-1uM,16.3,1335,
366077.fcs,PCC-10uM-MEKi-1uM,66.2,1608,
366079.fcs,No-Peptide-MEKi-10uM,2.11,1052,
366081.fcs,K99A-10uM-MEKi-10uM,3.75,996,
366083.fcs,K99A-100uM-MEKi-10uM,8.13,1041,
366085.fcs,PCC-0_1uM-MEKi-10uM,6.42,999,
366087.fcs,PCC-10uM-MEKi-10uM,28.9,1008,
366090.fcs,No-Peptide-Notx,1.47,1131,
366092.fcs,K99A-10uM-Notx,4.24,1196,
366094.fcs,K99A-100uM-Notx,11.4,1452,
366096.fcs,PCC-0_1uM-Notx,17.2,1914,
366098.fcs,PCC-10uM-Notx,62.0,2421,
366100.fcs,No-Peptide-MEKi-0_1uM,1.81,1053,
366102.fcs,K99A-10uM-MEKi-0_1uM,4.64,1147,
366104.fcs,K99A-100uM-MEKi-0_1uM,10.1,1393,
366106.fcs,PCC-0_1uM-MEKi-0_1uM,15.0,1679,
366108.fcs,PCC-10uM-MEKi-0_1uM,64.4,2346,
366110.fcs,No-Peptide-MEKi-0_2uM,1.56,1039,
366112.fcs,K99A-10uM-MEKi-0_2uM,3.69,1071,
366114.fcs,K99A-100uM-MEKi-0_2uM,8.28,1279,
366116.fcs,PCC-0_1uM-MEKi-0_2uM,14.5,1518,
366118.fcs,PCC-10uM-MEKi-0_2uM,56.6,1877,
366120.fcs,No-Peptide-MEKi-0_5uM,1.20,1051,
366122.fcs,K99A-10uM-MEKi-0_5uM,3.43,1085,
366124.fcs,K99A-100uM-MEKi-0_5uM,6.91,1211,
366126.fcs,PCC-0_1uM-MEKi-0_5uM,11.5,1344,
366128.fcs,PCC-10uM-MEKi-0_5uM,61.3,1810,
366130.fcs,No-Peptide-MEKi-1uM,1.71,1074,
366132.fcs,K99A-10uM-MEKi-1uM,3.28,1094,
366134.fcs,K99A-100uM-MEKi-1uM,7.91,1190,
366136.fcs,PCC-0_1uM-MEKi-1uM,9.87,1192,
366138.fcs,PCC-10uM-MEKi-1uM,53.5,1519,
366140.fcs,No-Peptide-MEKi-10uM,0.72,1103,
366142.fcs,K99A-10uM-MEKi-10uM,1.44,934,
366144.fcs,K99A-100uM-MEKi-10uM,4.89,938,
366146.fcs,PCC-0_1uM-MEKi-10uM,2.86,931,
366148.fcs,PCC-10uM-MEKi-10uM,16.7,932,
Mean,,17.7,1436,
SD,,20.9,534,
