refseq	gene symbol	pc1
NM_017372	Lyz2	-0.1410194093090378
NM_008694	Ngp	-0.12454876268956047
NM_008491	Lcn2	-0.07340787409071653
NM_001146124	Psap	-0.03495215528223162
NM_008522	Ltf	-0.029025471992294414
NM_001301305	Arhgdib	-0.02649544877394408
NM_013706	Cd52	-0.024508637648039587
NM_008410	Itm2b	-0.021695001377074908
NM_009402	Pglyrp1	-0.01747688432625273
NM_010705	Lgals3	-0.017216742726097536
NM_009696	Apoe	-0.015038449168798875
NM_001099217	Ly6c2	-0.014288208712192241
NM_010185	Fcer1g	-0.014161754294912166
NM_017370	Hp	-0.013443709104213506
NM_027521	Hmha1	-0.012472058120647195
NM_010545	Cd74	-0.011578705365443307
NM_026862	Cd177	-0.010240749990736044
NM_011528	Taldo1	-0.009506093667627618
NM_010876	Ncf1	-0.00941272162143493
NM_001287217	Fxyd5	-0.009114224900114423
NM_023402	Myl12b	-0.0090279361928787
NM_012032	Serinc3	-0.008820386777548648
NM_011311	S100a4	-0.008765115144897074
NM_010686	Laptm5	-0.008760675830403342
NM_009976	Cst3	-0.008705890416805551
NM_022410	Myh9	-0.008592093763717305
NM_001081274	Pgd	-0.008466814848670684
NM_009656	Aldh2	-0.00833951461681632
NM_011407	Slfn1	-0.008198800289663409
NM_012021	Prdx5	-0.00808818349736509
NM_025347	Ypel3	-0.008016403713036836
NM_009151	Selplg	-0.007885224213658766
NM_028071	Cotl1	-0.007760727487758665
NM_134116	Gpsm3	-0.00735081324289967
NM_007725	Cnn2	-0.00727942253878669
NM_011355	Spi1	-0.007265324904117963
NM_008404	Itgb2	-0.0071716747080879375
NM_183249	Wfdc21	-0.0070364631899673975
NM_009008	Rac2	-0.007011896299502758
NM_194342	Sun2	-0.0069333377532586025
NM_011580	Thbs1	-0.0064924726539743885
NM_011414	Slpi	-0.0056817017303146655
NM_028121	Adpgk	-0.0051222662444763535
NM_152839	Igj	-0.00497681240806186
NM_001289619	Zyx	-0.004894407972651877
NM_009909	Cxcr2	-0.004884732995497801
NM_025806	Plbd1	-0.004792689345562915
NM_011061	Padi4	-0.004586475295668039
NM_010378	H2-Aa	-0.004425827527547346
NM_010734	Lst1	-0.004259659096548817
NM_007403	Adam8	-0.004228371541767738
NM_001278269	Fyb	-0.004227685885601592
NM_013739	Dok3	-0.004200776000820139
NM_019456	Apbb1ip	-0.004119822101691155
NM_001143849	Pde2a	-0.004052766550592274
NM_020561	Smpdl3a	-0.0040408596069902505
NM_177994	R3hdm4	-0.004029023528352685
NM_010266	Gda	-0.0038516908677825173
NM_001291020	Sirpa	-0.003840357195099216
NM_013521	Fpr1	-0.00379525641682804
NM_175451	Ckap4	-0.0037512877238909093
NM_007408	Plin2	-0.0037450439093223
NM_133810	Stk17b	-0.003741577630215483
NM_011778	Coro1b	-0.00373790987618114
NM_023065	Ifi30	-0.003721381177201517
NM_001082547	Gm5483	-0.0037153685256647493
NM_010421	Hexa	-0.003681063906370428
NM_001168652	Lrch4	-0.0035792283347504204
NM_001290749	Rnf130	-0.003543797593425949
NM_009025	Rasa3	-0.0035222857839359656
NM_011103	Prkcd	-0.003482178799124624
NM_001161428	Unc93b1	-0.0033903549070900783
NM_007570	Btg2	-0.0033791636403518147
NM_010442	Hmox1	-0.003372738740088354
NM_011952	Mapk3	-0.003362350957857081
NM_030691	Igsf6	-0.0033457447524617863
NM_178372	Prss34	-0.0033319770325274875
NM_001271413	Nfam1	-0.0032839801140717717
NM_001161365	Rin3	-0.0032681357185837786
NM_016794	Vamp8	-0.0031799330502287147
NM_018773	Skap2	-0.0031751504367400515
NM_029658	Fam101b	-0.003174616173675017
NM_010381	H2-Ea-ps	-0.003168729797119893
NM_010129	Emp3	-0.0031667905521844
NM_007780	Csf2rb	-0.0031163962875052024
NM_172514	Tmem71	-0.0030880742694394344
NM_013673	Sp100	-0.0030679296420890326
