refseq	gene symbol	pc1
NM_017372	Lyz2	-0.14093934597020286
NM_008694	Ngp	-0.12447352514784472
NM_008491	Lcn2	-0.07336452237870313
NM_001146124	Psap	-0.034932510222333485
NM_008522	Ltf	-0.029008136164952188
NM_001301305	Arhgdib	-0.026480021413137243
NM_013706	Cd52	-0.02449438414234599
NM_008410	Itm2b	-0.02168250256371828
NM_009402	Pglyrp1	-0.01746673589225924
NM_010705	Lgals3	-0.017207157076578227
NM_009696	Apoe	-0.015030533469080828
NM_001099217	Ly6c2	-0.014279870769594872
NM_010185	Fcer1g	-0.014153555474272125
NM_017370	Hp	-0.013435945316227016
NM_027521	Hmha1	-0.01246501996365427
NM_010545	Cd74	-0.011573412506704456
NM_026862	Cd177	-0.010234414608466759
NM_011528	Taldo1	-0.009500742320884636
NM_010876	Ncf1	-0.009406986498569726
NM_001287217	Fxyd5	-0.009109290240254123
NM_023402	Myl12b	-0.009022558903405888
NM_012032	Serinc3	-0.008814699358766909
NM_011311	S100a4	-0.008760246786925463
NM_010686	Laptm5	-0.008755634599925916
NM_009976	Cst3	-0.008702102614849267
NM_022410	Myh9	-0.008587279420791455
NM_001081274	Pgd	-0.008462043741323108
NM_009656	Aldh2	-0.008334755952736523
NM_011407	Slfn1	-0.008193679069102067
NM_012021	Prdx5	-0.0080839863703635
NM_025347	Ypel3	-0.008011909007962049
NM_009151	Selplg	-0.007880537859975393
NM_028071	Cotl1	-0.007756295018557551
NM_134116	Gpsm3	-0.00734659310354587
NM_007725	Cnn2	-0.0072753177864357185
NM_011355	Spi1	-0.007261289775579505
NM_008404	Itgb2	-0.007167461253825731
NM_183249	Wfdc21	-0.007032399682937646
NM_009008	Rac2	-0.0070074340474289105
NM_194342	Sun2	-0.0069292332291774105
NM_011580	Thbs1	-0.006488423689292169
NR_106017	Mir7050	-0.006429119072084657
NM_011414	Slpi	-0.005678447590871711
NM_028121	Adpgk	-0.0051191707429830225
NM_152839	Igj	-0.004973644097755566
NM_001289619	Zyx	-0.004891651090176708
NM_009909	Cxcr2	-0.004881708991515039
NM_025806	Plbd1	-0.004789907308382038
NM_011061	Padi4	-0.004583784549960297
NM_010378	H2-Aa	-0.004423735254719109
NM_010734	Lst1	-0.004257226203801426
NM_007403	Adam8	-0.004225921293547435
NM_001278269	Fyb	-0.004224952735877697
NM_013739	Dok3	-0.004198375654194332
NM_019456	Apbb1ip	-0.004117302208063914
NM_001143849	Pde2a	-0.0040505053724720205
NM_020561	Smpdl3a	-0.004038487166306353
NM_177994	R3hdm4	-0.0040266749471908345
NM_010266	Gda	-0.003849341276561632
NM_001291020	Sirpa	-0.003838147317609064
NM_013521	Fpr1	-0.0037929795463287172
NM_011436	Sorl1	-0.0037732563076954963
NR_028279	Pram1	-0.0037683605253196546
NM_175451	Ckap4	-0.003749042750986856
NM_007408	Plin2	-0.0037429571112246687
NM_133810	Stk17b	-0.0037389478178985313
NM_011778	Coro1b	-0.003735906986816246
NM_023065	Ifi30	-0.0037196387834237937
NM_001082547	Gm5483	-0.0037130197462439275
NM_010421	Hexa	-0.003678917916268205
NR_030718	F630028O10Rik	-0.003636042208960904
NM_001168652	Lrch4	-0.0035770726978585905
NM_001290749	Rnf130	-0.003541737738470622
NM_009025	Rasa3	-0.0035200242694824204
NM_011103	Prkcd	-0.003480121633368196
NM_001161428	Unc93b1	-0.003388534126098152
NR_037237	Mir3076	-0.003381564712793928
NM_007570	Btg2	-0.0033771802451320696
NM_010442	Hmox1	-0.0033709055731944737
NM_011952	Mapk3	-0.0033604001823666664
NM_030691	Igsf6	-0.003343762363882953
NM_178372	Prss34	-0.003329870268524568
NM_001271413	Nfam1	-0.003282058910555192
NM_001161365	Rin3	-0.00326624689191687
NM_016794	Vamp8	-0.003178271290197663
NM_018773	Skap2	-0.0031733051294633285
NM_029658	Fam101b	-0.0031728516752831354
NM_010381	H2-Ea-ps	-0.003167265759112971
NM_010129	Emp3	-0.003164981905760646
NM_007780	Csf2rb	-0.003114738154016626
NM_172514	Tmem71	-0.0030862708465883024
NM_013673	Sp100	-0.0030661370015135714
NM_053108	Glrx	-0.003053171890702642
NM_010828	Cited2	-0.0030468765736503
NM_026240	Gramd3	-0.0030360694472364703
NM_008359	Il17ra	-0.003033031819372837
NM_178901	AI467606	-0.0030137829099496647
NM_001077496	Evi2b	-0.003001612143225109
NM_030694	Ifitm2	-0.0029845704947645767
NM_008405	Itgb2l	-0.002974913296915744
NM_001289442	Grap2	-0.002936516093937677
NM_015779	Elane	-0.002935055695929853
NM_030251	Abtb1	-0.002913844615694934
NM_007801	Ctsh	-0.002898287465788263
NM_010824	Mpo	-0.0028955441144848442
NM_001130459	Tcn2	-0.002877256287187181
NM_019771	Dstn	-0.0028735184999590805
NM_008677	Ncf4	-0.00286927066531886
NM_011242	Rasgrp2	-0.002864760503676186
NM_001206391	Hk3	-0.0028582411778455977
NM_011175	Lgmn	-0.002834522252549309
NM_009369	Tgfbi	-0.002827258063934106
NM_146008	Tcp11l2	-0.0027889566430601823
NM_026738	1110007C09Rik	-0.002785155917568313
NM_009006	Map4k2	-0.002779281803326171
NM_010688	Lasp1	-0.0027770270572717803
NM_028732	4632428N05Rik	-0.0027418830608156
NM_145158	Emilin2	-0.0027117552382673648
NM_133962	Arhgef18	-0.002657397331651737
NM_007653	Cd63	-0.002628457981378647
NM_183390	Klhl6	-0.00260306394242494
NM_008685	Nfe2	-0.002602664080916786
NM_008437	Napsa	-0.0025702778596984315
NM_010576	Itga4	-0.0025696529618004157
NM_010194	Fes	-0.002563417210398423
NM_013477	Atp6v0d1	-0.002546880234504338
NM_010551	Il16	-0.0025144189272710165
NM_008339	Cd79b	-0.0025011646112794443
NM_001111100	Lipa	-0.0024831458687534502
NM_028752	Hvcn1	-0.002474533529652075
NM_009778	C3	-0.0024714320914291164
NR_033148	Gm20605	-0.0024686857200195136
NM_001252201	Map4k4	-0.0024627919686291853
NM_134115	Stk38	-0.002450163327908325
NM_025429	Serpinb1a	-0.0024426735213383018
NM_175445	Rassf2	-0.002427652047369905
NM_023721	Atp6v1d	-0.002397838152990239
NM_027206	Tnfaip8l2	-0.0023731145186642283
NM_011609	Tnfrsf1a	-0.002370566943587529
