Gene symbol	CD4TCell-iTreg reads FPKM	CD4TCell-Naive reads FPKM	CD4TCell-Th17 reads FPKM	CD4TCell-Th2 reads FPKM	CD4TCell-Th1 reads FPKM
Nhlh1	0.0	0.05	0.262	0.111	0.068
Gabrq	0.0	0.0	0.0	0.0	0.0
Mir7037	7.571000000000001	2.8819999999999997	3.7030000000000003	3.438	3.505
Tssk2	0.075	0.155	0.171	0.0	0.0
T2	0.179	0.0	0.068	0.032	0.064
4930581F22Rik	7.901	7.672000000000001	4.203	4.064	5.803999999999999
Tnr	0.006	0.0	0.011000000000000001	0.01	0.031
Sox13	0.01	0.035	0.10099999999999999	0.297	0.303
Mir491	0.0	0.0	0.0	0.0	0.0
Gabrb1	0.019	0.0	0.032	0.0	0.03
Vmn1r187	0.0	0.0	0.0	0.0	0.0
Actr1b	47.623000000000005	30.096999999999998	35.648	32.567	31.515
Mks1	8.472000000000001	6.292000000000001	3.3089999999999997	3.964	4.711
Kcnq4	0.0	0.0	0.0	0.198	0.47200000000000003
Higd1a	2.225	3.82	7.774	22.303	17.06
Clcnka	0.0	0.0	0.0	0.023	0.024
Olfr599	0.0	0.0	0.0	0.0	0.0
Akap2	1.651	1.36	0.35700000000000004	0.265	0.65
Cyp2c50	0.0	0.0	0.0	0.0	0.0
Enkur	0.0	0.052000000000000005	0.0	0.0	0.0
Gpr179	0.138	0.153	0.205	0.33799999999999997	0.436
Cyp2d12	0.0	0.0	0.037000000000000005	0.0	0.0
Cdh24	3.966	11.914000000000001	4.016	1.419	0.971
Lrrc39	2.7969999999999997	3.043	2.25	2.1959999999999997	1.9469999999999998
Pea15a	36.291	22.179000000000002	22.535999999999998	6.7010000000000005	15.318
Hrh1	0.0	0.0	0.016	0.0	0.015
Gm6548	25.02	17.864	38.351	55.115	55.167
Hmgcs1	11.481	9.311	39.117	136.387	166.929
Jph4	0.008	0.034	0.304	0.319	0.25
Nox1	0.7340000000000001	1.3030000000000002	1.581	2.202	2.003
Clock	3.33	3.8680000000000003	4.188	2.23	2.4
Rn4.5s	0.0	0.0	0.0	0.0	0.0
Ptchd2	0.0	0.004	0.0	0.0	0.0
Ttpal	17.344	10.808	21.487	10.937999999999999	10.852
Babam1	30.955	25.021	34.173	36.81	36.568000000000005
Lrrc45	20.642	19.703	13.507	10.065	9.411
Cenpw	0.6659999999999999	1.224	3.341	6.643	7.777
Nell2	0.0	0.0	0.057	0.017	0.0
Dtwd1	3.264	2.623	4.035	7.122999999999999	5.247000000000001
E2f6	5.046	4.888	9.005	8.361	6.879
Frmd5	0.0	0.028999999999999998	0.24100000000000002	0.053	0.067
Krt32	0.0	0.0	0.036000000000000004	0.0	0.0
Usp49	2.1430000000000002	1.545	4.604	8.628	6.551
Spsb2	1.209	0.6809999999999999	1.615	0.89	1.003
Mir7021	1.675	4.462	2.867	1.774	2.713
Zfyve26	8.508	6.4879999999999995	7.656000000000001	5.026	5.9239999999999995
Trove2	0.93	0.741	1.19	0.878	1.848
4930444P10Rik	0.0	0.0	0.0	0.0	0.0
Tgfb1i1	1.923	1.5819999999999999	0.381	0.071	0.057999999999999996
Cyp2b19	0.0	0.0	0.0	0.08199999999999999	0.021
Cope	60.543	43.532	80.12899999999999	126.28399999999999	124.178
Pou6f2	0.0	0.0	0.055999999999999994	0.026000000000000002	0.053
Cst3	32.028	18.517	43.406000000000006	47.318999999999996	42.303000000000004
Pogz	11.97	16.698	9.051	8.721	8.066
Dip2a	2.943	1.188	2.674	2.674	3.3569999999999998
1700009C05Rik	0.0	0.0	0.0	0.0	0.0
Lrrn2	0.0	0.0	0.0	0.0	0.017
Pnisr	70.069	44.536	40.701	43.255	40.283
Dlst	41.028999999999996	38.248000000000005	41.059	33.524	37.499
2310067B10Rik	18.372	11.962	15.377	17.083	19.392
Ppil3	16.859	12.280999999999999	12.565999999999999	11.73	16.111
Cd72	42.953	9.683	10.122	2.685	2.951
Olfr301	0.0	0.0	0.0	0.0	0.0
Serp2	0.6829999999999999	0.40399999999999997	4.599	0.6509999999999999	1.033
Hoxa11	0.0	0.013000000000000001	0.0	0.024	0.0
Ccdc178	0.0	0.0	0.0	0.0	0.0
Kcnj4	0.0	0.0	0.055	0.0	0.0
Vmn1r43	0.0	0.0	0.0	0.0	0.0
