Gene symbol	mouse_spleen_and_lymph_nodes_Th0_cells	mouse_spleen_and_lymph_nodes_Th17_cells	mouse_spleen_and_lymph_nodes_exFoxp3Th17_cells	mouse_spleen_and_lymph_nodesTreg_cells
Copg	237.94299999999998	299.483	233.217	249.227
Atp6v0d1	704.503	753.9960000000001	944.555	555.036
Golga7	897.712	1676.39	1315.88	1332.57
Psph	472.625	560.475	366.56800000000004	532.5459999999999
Trappc4	480.26599999999996	659.89	588.807	576.026
Dpm2	217.93900000000002	238.516	263.704	228.357
Psmb5	1220.34	1343.04	1015.39	1437.66
Dhrs1	110.65100000000001	169.235	131.969	139.915
Ppm1a	445.01800000000003	456.2	557.5840000000001	397.587
Psenen	1342.44	1551.27	1337.52	1288.91
Anapc1	442.592	386.186	503.51199999999994	420.273
Mrpl43	665.132	742.939	725.436	643.656
Xpo7	117.594	109.661	111.725	112.189
Nmt1	1291.42	1172.39	1245.78	1200.33
Atg5	161.74	142.746	156.784	174.87599999999998
Mtif2	369.02	420.175	521.7719999999999	387.102
Rab14	255.93900000000002	320.457	373.94800000000004	299.617
Psap	772.679	560.275	839.893	584.919
Ube2g1	546.495	715.8939999999999	755.6339999999999	700.945
Zkscan3	214.287	208.718	405.21	182.918
Mrpl27	782.4760000000001	467.94199999999995	572.8340000000001	719.5189999999999
Dlg1	271.524	241.331	277.074	241.128
Canx	1836.7	2717.74	1663.26	2378.53
Derl1	256.688	248.872	233.43900000000002	277.079
Wars	48.2799	38.760999999999996	26.6798	89.3086
Psma1	1716.42	1772.07	1635.38	1956.03
Sar1a	415.75	459.629	361.009	459.167
G3bp2	415.781	671.2330000000001	468.254	645.286
Golm1	259.597	405.86300000000006	928.702	164.864
Gps1	396.031	454.039	304.103	470.296
Ssr3	682.073	1203.73	1089.78	897.6410000000001
Rpl23	6238.55	5140.3	6338.45	5230.9
Ctbp1	1545.97	1172.94	1182.92	1158.65
Huwe1	552.4259999999999	370.724	373.161	482.275
Cdv3	724.439	927.448	674.81	875.7810000000001
9130011J15Rik	196.43599999999998	184.595	164.54	190.69400000000002
Copa	667.195	533.922	546.17	559.901
Anapc2	293.677	225.479	242.142	243.572
Tug1	629.415	333.306	717.039	359.785
Gbf1	87.0504	78.7485	83.8738	98.0466
Cox18	170.831	218.43	123.65799999999999	214.949
Arfgef1	492.52099999999996	547.428	788.2639999999999	627.202
Zranb1	179.50799999999998	131.813	160.917	120.875
Ddx24	231.247	167.43599999999998	192.804	138.47899999999998
Snrnp27	750.2510000000001	1072.1	1031.98	995.701
Tmem129	150.29	153.39	128.97799999999998	140.265
Gm9846 /// Rps27	6209.99	4723.02	5857.35	4516.71
Rnf220	140.05200000000002	107.49700000000001	107.088	91.146
Sap30l	361.64099999999996	256.45099999999996	325.244	294.369
Armc1	232.892	296.305	301.257	263.377
Mad2l1bp	274.349	300.575	255.093	300.263
Nat15	227.726	130.395	146.785	170.696
Vta1	474.843	455.468	515.46	519.048
Eif5	1088.02	1355.03	1296.3	1022.74
Cdc42	1823.03	1847.05	1833.26	2150.47
Rrn3	90.4935	111.523	84.3712	122.68799999999999
Ankrd17	392.86	418.869	408.506	375.14
Apoa1bp	451.126	316.33099999999996	361.95	355.441
Pabpn1	409.35400000000004	333.522	378.49199999999996	350.439
Pdpk1	629.396	774.852	1091.11	776.1569999999999
Cpsf7	639.339	569.631	752.222	638.447
Angel2	198.232	151.311	244.21200000000002	143.17
Bat5	105.725	60.6037	59.0765	68.7235
Tomm5	747.217	800.99	589.6659999999999	809.192
Rab7	704.801	640.141	808.06	733.4639999999999
Ddb1	468.582	498.81	452.755	471.689
Pfdn5	1688.58	1277.52	2080.56	1289.57
Rfk	189.08599999999998	266.92900000000003	275.008	309.884
Txndc12	132.18	250.112	182.395	178.605
Rbm42	345.786	320.66200000000003	416.704	262.504
Psmc5	461.53	643.144	547.649	530.387
Tmem165	699.998	886.8660000000001	869.357	1035.82
Aup1	310.31	239.78099999999998	296.658	245.898
Hdac5	175.669	76.1094	157.38299999999998	106.039
H2-Ke2	911.424	745.966	600.207	790.8589999999999
Dscr3	426.346	305.8	379.77	352.11300000000006
Cic	130.16	100.984	133.93200000000002	107.954
Riok3	797.0360000000001	1100.48	951.078	839.2819999999999
Dctn5	305.494	311.133	410.29900000000004	271.188
Rragc	639.464	629.637	763.551	503.801
Tbl3	46.8893	31.421999999999997	25.0955	50.8566
Hp1bp3	1735.15	932.2919999999999	1228.47	1105.03
BC031181	598.404	716.6619999999999	797.704	598.156
Fam108a	352.18800000000005	319.197	364.93300000000005	349.358
Polr2f	614.32	499.449	459.025	615.523
Ube2v1	453.039	417.11800000000005	383.159	421.14599999999996
Snapin	253.43599999999998	203.665	242.52200000000002	234.44799999999998
Gbf1	61.8544	41.6052	40.3793	56.6166
Fryl	478.593	307.457	485.91900000000004	358.63300000000004
Hbxip	1148.83	945.96	1216.47	1247.27
Atox1	1013.7	662.5830000000001	763.992	847.038
Mrpl52	432.27	535.086	525.087	719.721
Mrpl52	482.449	598.681	547.891	740.13
2510006D16Rik /// LOC100505293	940.061	577.305	861.967	602.107
Zc3h11a	1391.67	1393.07	1862.02	1224.56
Hnrnpul2	760.835	441.106	478.945	660.946
Sec22b	122.537	145.454	185.976	117.195
Ythdf1	395.892	425.685	474.06199999999995	399.406
Ube2r2	570.945	615.904	966.5939999999999	582.62
Itch	311.857	389.86300000000006	597.805	382.223
Wdr6	204.926	142.05200000000002	401.945	184.226
Ncl	3246.96	3257.2	3040.75	3194.97
Ncl	371.189	279.61	144.165	334.249
Ncl	921.748	1333.26	1035.65	1176.63
Elp2	84.1627	76.1478	44.2125	60.147
Rbbp7	2592.43	2688.22	2053.24	3349.88
Aldh3a2	68.5506	72.2678	105.37100000000001	56.3165
Pnliprp1	0.402803	1.70377	0.704475	0.419199
Morf4l2	695.5989999999999	1060.79	902.465	996.191
Actg1	6591.1	5744.45	6216.24	6447.34
