Gene symbol	Control1	Control2	Anergic1	Anergic2
Cd3g	11877.6	7281.3	9328.6	5290.3
Itih3	58.8	37.6	33.5	84.8
Ryr1	10.0	68.6	64.8	92.8
Ints7	219.7	252.3	175.7	178.1
Traf4	360.4	412.8	373.8	403.1
Cdh11	33.5	46.8	26.5	52.2
Irf2bp1	519.0	568.0	503.6	700.1
Sox2	64.1	54.8	15.9	71.7
Klf3	20.5	11.5	14.9	21.7
Klf3	61.6	125.9	40.1	102.5
Laptm5	14130.0	14242.4	13890.5	16762.2
Ifi35	887.7	1036.3	548.3	576.2
Tlk2	196.1	262.0	159.8	169.1
Yes1	208.6	286.2	119.8	243.5
Mmp11	52.0	48.6	44.7	10.8
Mybph	64.3	89.2	93.0	152.9
Mtf1	179.8	379.4	248.8	349.9
Vcan	23.5	40.1	22.1	32.9
Slc4a2	611.7	922.6	723.2	1227.3
Chrna1	11.9	15.1	16.6	21.7
Cish	1435.9	745.9	2422.3	2131.5
Mybl2	25.6	48.6	23.5	118.4
Shroom3	58.8	90.8	39.4	87.3
Bcat1	54.9	193.4	385.1	307.0
Pex14	1237.6	1261.4	1076.0	965.3
Pex14	185.7	226.3	175.6	181.0
Pex14	1205.1	1903.7	1529.1	1844.3
Upp1	15.3	14.5	10.1	28.3
Sp1	538.7	621.3	844.3	723.6
Msh2	284.6	453.3	253.4	360.4
Serpinb5	5.0	39.6	7.5	20.9
Npr1	39.5	12.9	24.7	19.0
Ddx18	733.9	706.2	280.4	488.7
Cnpy2	923.4	1044.9	786.9	822.2
Mrpl17	333.5	239.5	310.8	186.8
Slc25a39	2168.2	1441.7	2577.4	1880.0
Hagh	520.4	588.2	690.5	669.2
Psapl1	154.5	68.7	126.4	109.0
Cldn11	9.7	13.3	20.0	15.3
Mthfd2	1108.2	1716.4	1800.5	2085.9
Snap25	6.3	11.5	11.4	14.9
Gm9392 /// Rap1a	763.3	732.1	632.5	618.6
Hmga1	2.4	3.3	4.4	7.8
Id1	8.9	7.7	14.5	18.3
Stom	1115.2	1401.8	910.8	1411.4
Stom	9.6	10.5	44.3	12.4
D2Wsu81e	340.2	363.1	225.7	224.3
Fbxw2	1385.4	1168.3	1111.0	1000.4
Nsmce1	584.6	490.0	302.7	318.9
2810453I06Rik	41.1	216.9	279.8	222.9
Cyba	6973.4	7083.3	8515.4	9145.9
Klk1	1.4	1.6	4.1	4.7
Klk1	90.0	112.0	43.5	84.6
Mcm3	400.4	203.3	226.9	140.1
Gja1	47.7	140.2	34.4	104.0
Gja1	19.7	34.3	2.3	3.6
Gart	320.8	394.2	253.7	243.1
Akr1b3	17.8	17.6	17.9	23.5
Aldh1a1	26.5	48.2	10.4	65.8
Cyp2f2	46.8	123.0	75.2	83.2
LOC100048884 /// LOC100048885 /// Mup1 /// Mup10 /// Mup12 /// Mup13 /// Mup15 /// Mup17 /// Mup19 /// Mup2 /// Mup7 /// Mup8 /// Mup9	19.2	186.8	22.0	108.9
Ciao1	340.4	603.1	735.7	720.2
N6amt2	140.0	129.8	118.3	147.7
Tmed9	2602.6	1035.9	2953.6	929.4
Apoa4	78.2	77.5	27.5	138.9
Ndufb9	2121.5	1790.4	1345.6	1348.0
Psp	37.5	82.3	28.5	121.0
Stip1	539.5	642.3	599.1	674.3
Hnf1a	264.2	343.0	148.9	231.1
Ezr	2265.1	2185.7	1923.5	2105.1
Ggt1	90.7	61.4	72.7	22.4
Lrpap1	367.2	371.4	236.2	384.4
Ppp1cb	926.0	1110.5	1078.8	881.9
Ppic	5.8	12.7	34.9	14.2
Slc35b1	3468.2	2706.6	3801.7	3016.6
Cdk16	505.5	650.4	449.2	502.8
Supt5h	2491.1	1792.9	2419.9	1870.0
Scarb1	206.4	304.8	191.4	224.2
Smpd1	5276.9	4448.4	2620.1	2389.7
Serpinb1a	72.4	17.9	44.6	16.7
Snrpa	812.5	629.9	697.6	570.2
2210010C04Rik	331.6	696.5	426.4	491.4
2210010C04Rik	57.2	60.0	60.8	68.1
Tff3	71.7	51.1	44.6	36.4
Krt13	29.9	54.6	42.7	93.7
Cxcl12	29.0	95.9	25.7	43.6
Kifap3	154.5	254.0	279.5	282.9
Qrich1	782.6	798.4	639.7	749.1
2810417H13Rik	83.8	237.5	118.0	307.4
Diablo	44.2	23.2	4.3	33.5
Nid1	31.6	33.1	16.4	44.3
Gnb5	106.7	279.2	595.8	473.7
Itgb1	4330.0	4147.2	4796.7	4596.4
Itgb1	630.8	977.8	811.6	799.0
Pa2g4	233.7	200.8	128.7	182.7
Chrac1	2308.3	1655.6	1850.7	1704.2
Crabp2	35.9	88.7	451.1	479.0
Cdk1	55.0	274.2	184.2	361.1
Jun	56.7	11.4	76.4	22.3
Scg5	305.7	184.7	164.0	156.3
Fyn	3018.9	1615.7	4676.0	3484.2
Eng	200.7	499.7	169.0	281.7
Lamp2	374.9	337.1	402.2	327.9
Rbm14	558.4	242.4	540.7	342.8
Pcsk1n	18.5	16.7	14.9	16.5
Fau	88.3	109.4	59.1	111.7
Dgcr2	648.1	623.2	601.3	575.6
Zyx	14.4	19.6	21.3	21.7
Ncl	4212.9	3487.0	2718.1	2670.5
Aco1	28.2	9.1	14.3	44.1
Ctcf	1317.9	1036.2	952.1	920.3
Mcm6	13.7	20.9	27.1	10.4
Ins2	6.7	42.8	3.1	10.7
Serinc3	5468.4	8394.6	4574.6	5074.4
Ncam1	103.9	118.7	80.4	124.8
Ncam1	101.7	125.4	46.7	117.1
Tapbp	3888.7	4725.6	4716.7	4738.2
Ddr1	182.5	232.2	185.7	327.6
Mcm5	564.8	388.3	438.3	444.8
Rpl41	24465.2	32960.8	17281.9	22053.4
Psmc3	277.7	241.9	234.6	260.7
Kdm5d	6.8	12.7	5.8	15.3
