!Series_title	"T cell gene expression profile"
!Series_geo_accession	"GSE5960"
!Series_status	"Public on Oct 04 2006"
!Series_submission_date	"Oct 03 2006"
!Series_last_update_date	"Jan 08 2014"
!Series_pubmed_id	"17028589"
!Series_summary	"compare gene expression profiles between normal and anergic T cells and identify upregulated genes in anergic T cells"
!Series_summary	"Keywords: cell type comparison"
!Series_overall_design	"RNA from normal Th1 T cell clone and anergic Th1 T cell clone made anergic by plate-bound anti-CD3 antibody were isolated and amplified for microarray analysis"
!Series_type	"Expression profiling by array"
!Series_contributor	"Reinhard,,Marks"
!Series_contributor	"Allen,,Ho"
!Series_contributor	"Thomas,,Gajewski"
!Series_contributor	"Yuanyuan,,Zha"
!Series_sample_id	"GSM138549 GSM138550 GSM138551 GSM138552 "
!Series_contact_name	"yuanyuan,,zha"
!Series_contact_email	"yzha@uchicago.edu"
!Series_contact_phone	"772-702-4812"
!Series_contact_fax	"773-702-7195"
!Series_contact_department	"Department of Pathology"
!Series_contact_institute	"University of Chicago"
!Series_contact_address	"910 E. 58th St. MKL051"
!Series_contact_city	"Chicago"
!Series_contact_state	"IL"
!Series_contact_zip/postal_code	"60637"
!Series_contact_country	"USA"
!Series_platform_id	"GPL81"
!Series_platform_taxid	"10090"
!Series_sample_taxid	"10090"
!Series_relation	"BioProject: http://www.ncbi.nlm.nih.gov/bioproject/PRJNA97425"

!Sample_title	"Control1"	"Anergic1"	"Control2"	"Anergic2"
!Sample_geo_accession	"GSM138549"	"GSM138550"	"GSM138551"	"GSM138552"
!Sample_status	"Public on Oct 04 2006"	"Public on Oct 04 2006"	"Public on Oct 04 2006"	"Public on Oct 04 2006"
!Sample_submission_date	"Oct 03 2006"	"Oct 03 2006"	"Oct 03 2006"	"Oct 03 2006"
!Sample_last_update_date	"Oct 03 2006"	"Oct 03 2006"	"Oct 03 2006"	"Oct 03 2006"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"Th1 T cell"	"anergic Th1 T cell clone"	"Th1 T cell"	"anergic Th1 T cell clone"
!Sample_organism_ch1	"Mus musculus"	"Mus musculus"	"Mus musculus"	"Mus musculus"
!Sample_characteristics_ch1	"control CD4 T Cell clone"	"anergized CD4 T cell clone"	"control CD4 T Cell clone"	"anergized CD4 T cell clone"
!Sample_molecule_ch1	"polyA RNA"	"polyA RNA"	"polyA RNA"	"polyA RNA"
!Sample_extract_protocol_ch1	"total RNA was extracted using Trizol  method (Invitrogen)"	"total RNA was extracted using Trizol  method (Invitrogen)"	"total RNA was extracted using Trizol  method (Invitrogen)"	"total RNA was extracted using Trizol  method (Invitrogen)"
!Sample_label_ch1	"biotin"	"biotin"	"biotin"	"biotin"
!Sample_label_protocol_ch1	"Approximately 8 µg of total RNA was processed to produce biotinylated cRNA targets."	"Approximately 8 µg of total RNA was processed to produce biotinylated cRNA targets."	"Approximately 8 µg of total RNA was processed to produce biotinylated cRNA targets."	"Approximately 8 µg of total RNA was processed to produce biotinylated cRNA targets."
!Sample_taxid_ch1	"10090"	"10090"	"10090"	"10090"
!Sample_hyb_protocol	"standard Affymetrix procedures"	"standard Affymetrix procedures"	"standard Affymetrix procedures"	"standard Affymetrix procedures"
!Sample_scan_protocol	"standard Affymetrix procedures"	"standard Affymetrix procedures"	"standard Affymetrix procedures"	"standard Affymetrix procedures"
!Sample_description	"we are interested in which genes are upregulated during T cell anergy. Thus, RNA from normal quiescent T cell clones were extracted to be compared to RNA extracted from anergic T cell clones"	"we are interested in which genes are upregulated during T cell anergy. Thus,RNA from normal quiescent T cell clones were extracted to be compared to RNA extracted from anergic T cell clones"	"we are interested in which genes are upregulated during T cell anergy. Thus, RNA from normal quiescent T cell clones were extracted to be compared to RNA extracted from anergic T cell clones"	"we are interested in which genes are upregulated during T cell anergy. Thus, RNA from normal quiescent T cell clones were extracted to be compared to RNA extracted from anergic T cell clones"
!Sample_data_processing	"Affymetrix Microarray Suite 4.0"	"Affymetrix Microarray Suite 4.0"	"Affymetrix Microarray Suite 4.0"	"Affymetrix Microarray Suite 4.0"
!Sample_platform_id	"GPL81"	"GPL81"	"GPL81"	"GPL81"
!Sample_contact_name	"yuanyuan,,zha"	"yuanyuan,,zha"	"yuanyuan,,zha"	"yuanyuan,,zha"
!Sample_contact_email	"yzha@uchicago.edu"	"yzha@uchicago.edu"	"yzha@uchicago.edu"	"yzha@uchicago.edu"
!Sample_contact_phone	"772-702-4812"	"772-702-4812"	"772-702-4812"	"772-702-4812"
!Sample_contact_fax	"773-702-7195"	"773-702-7195"	"773-702-7195"	"773-702-7195"
!Sample_contact_department	"Department of Pathology"	"Department of Pathology"	"Department of Pathology"	"Department of Pathology"
!Sample_contact_institute	"University of Chicago"	"University of Chicago"	"University of Chicago"	"University of Chicago"
!Sample_contact_address	"910 E. 58th St. MKL051"	"910 E. 58th St. MKL051"	"910 E. 58th St. MKL051"	"910 E. 58th St. MKL051"
!Sample_contact_city	"Chicago"	"Chicago"	"Chicago"	"Chicago"
!Sample_contact_state	"IL"	"IL"	"IL"	"IL"
!Sample_contact_zip/postal_code	"60637"	"60637"	"60637"	"60637"
!Sample_contact_country	"USA"	"USA"	"USA"	"USA"
!Sample_supplementary_file	"NONE"	"NONE"	"NONE"	"NONE"
!Sample_data_row_count	"12488"	"12488"	"12488"	"12488"
!series_matrix_table_begin
"ID_REF"	"GSM138549"	"GSM138550"	"GSM138551"	"GSM138552"
"100001_at"	11877.6	9328.6	7281.3	5290.3
"100002_at"	58.8	33.5	37.6	84.8
"100003_at"	10	64.8	68.6	92.8
"100004_at"	219.7	175.7	252.3	178.1
"100005_at"	360.4	373.8	412.8	403.1
"100006_at"	33.5	26.5	46.8	52.2
"100007_at"	519	503.6	568	700.1
"100009_r_at"	64.1	15.9	54.8	71.7
"100010_at"	20.5	14.9	11.5	21.7
"100011_at"	61.6	40.1	125.9	102.5
"100012_at"	14130	13890.5	14242.4	16762.2
"100013_at"	887.7	548.3	1036.3	576.2
"100014_at"	196.1	159.8	262	169.1
"100015_at"	208.6	119.8	286.2	243.5
"100016_at"	52	44.7	48.6	10.8
"100017_at"	64.3	93	89.2	152.9
"100018_at"	179.8	248.8	379.4	349.9
"100019_at"	23.5	22.1	40.1	32.9
"100020_at"	611.7	723.2	922.6	1227.3
"100021_at"	11.9	16.6	15.1	21.7
"100022_at"	1435.9	2422.3	745.9	2131.5
"100023_at"	25.6	23.5	48.6	118.4
"100024_at"	58.8	39.4	90.8	87.3
"100026_at"	54.9	385.1	193.4	307
"100027_s_at"	1237.6	1076	1261.4	965.3
"100028_r_at"	185.7	175.6	226.3	181
"100029_at"	1205.1	1529.1	1903.7	1844.3
"100030_at"	15.3	10.1	14.5	28.3
"100032_at"	538.7	844.3	621.3	723.6
"100033_at"	284.6	253.4	453.3	360.4
"100034_at"	5	7.5	39.6	20.9
"100035_at"	39.5	24.7	12.9	19
"100037_at"	733.9	280.4	706.2	488.7
"100039_at"	923.4	786.9	1044.9	822.2
"100040_at"	333.5	310.8	239.5	186.8
"100041_at"	2168.2	2577.4	1441.7	1880
"100042_at"	520.4	690.5	588.2	669.2
"100043_f_at"	154.5	126.4	68.7	109
"100044_at"	9.7	20	13.3	15.3
"100046_at"	1108.2	1800.5	1716.4	2085.9
"100047_at"	6.3	11.4	11.5	14.9
"100048_at"	763.3	632.5	732.1	618.6
"100049_at"	2.4	4.4	3.3	7.8
"100050_at"	8.9	14.5	7.7	18.3
"100051_at"	1115.2	910.8	1401.8	1411.4
"100052_at"	9.6	44.3	10.5	12.4
"100054_s_at"	340.2	225.7	363.1	224.3
"100056_at"	1385.4	1111	1168.3	1000.4
"100057_at"	584.6	302.7	490	318.9
"100058_at"	41.1	279.8	216.9	222.9
"100059_at"	6973.4	8515.4	7083.3	9145.9
"100060_i_at"	1.4	4.1	1.6	4.7
"100061_f_at"	90	43.5	112	84.6
"100062_at"	400.4	226.9	203.3	140.1
"100064_f_at"	47.7	34.4	140.2	104
"100065_r_at"	19.7	2.3	34.3	3.6
"100066_at"	320.8	253.7	394.2	243.1
"100067_at"	17.8	17.9	17.6	23.5
"100068_at"	26.5	10.4	48.2	65.8
"100069_at"	46.8	75.2	123	83.2
"100071_at"	19.2	22	186.8	108.9
"100072_at"	340.4	735.7	603.1	720.2
"100073_at"	140	118.3	129.8	147.7
"100074_at"	2602.6	2953.6	1035.9	929.4
"100078_at"	78.2	27.5	77.5	138.9
"100079_at"	2121.5	1345.6	1790.4	1348
"100080_at"	37.5	28.5	82.3	121
"100081_at"	539.5	599.1	642.3	674.3
"100082_at"	264.2	148.9	343	231.1
"100084_at"	2265.1	1923.5	2185.7	2105.1
"100085_at"	90.7	72.7	61.4	22.4
"100086_at"	367.2	236.2	371.4	384.4
"100088_at"	926	1078.8	1110.5	881.9
"100089_at"	5.8	34.9	12.7	14.2
"100091_at"	3468.2	3801.7	2706.6	3016.6
"100093_at"	505.5	449.2	650.4	502.8
"100094_at"	2491.1	2419.9	1792.9	1870
"100095_at"	206.4	191.4	304.8	224.2
"100099_at"	5276.9	2620.1	4448.4	2389.7
"100100_at"	72.4	44.6	17.9	16.7
"100101_at"	812.5	697.6	629.9	570.2
"100103_f_at"	331.6	426.4	696.5	491.4
"100104_r_at"	57.2	60.8	60	68.1
"100106_at"	71.7	44.6	51.1	36.4
"100109_s_at"	29.9	42.7	54.6	93.7
"100112_at"	29	25.7	95.9	43.6
"100113_s_at"	154.5	279.5	254	282.9
"100115_at"	782.6	639.7	798.4	749.1
"100116_at"	83.8	118	237.5	307.4
"100117_at"	44.2	4.3	23.2	33.5
"100120_at"	31.6	16.4	33.1	44.3
"100122_at"	106.7	595.8	279.2	473.7
"100123_f_at"	4330	4796.7	4147.2	4596.4
"100124_r_at"	630.8	811.6	977.8	799
"100125_at"	233.7	128.7	200.8	182.7
"100126_at"	2308.3	1850.7	1655.6	1704.2
"100127_at"	35.9	451.1	88.7	479
"100128_at"	55	184.2	274.2	361.1
"100130_at"	56.7	76.4	11.4	22.3
"100131_at"	305.7	164	184.7	156.3
"100133_at"	3018.9	4676	1615.7	3484.2
"100134_at"	200.7	169	499.7	281.7
"100136_at"	374.9	402.2	337.1	327.9
"100138_f_at"	558.4	540.7	242.4	342.8
"100139_at"	18.5	14.9	16.7	16.5
"100141_at"	88.3	59.1	109.4	111.7
"100142_at"	648.1	601.3	623.2	575.6
"100143_at"	14.4	21.3	19.6	21.7
"100144_at"	4212.9	2718.1	3487	2670.5
"100147_at"	28.2	14.3	9.1	44.1
"100148_at"	1317.9	952.1	1036.2	920.3
"100149_at"	13.7	27.1	20.9	10.4
"100150_f_at"	6.7	3.1	42.8	10.7
"100151_at"	5468.4	4574.6	8394.6	5074.4
"100152_at"	103.9	80.4	118.7	124.8
"100153_at"	101.7	46.7	125.4	117.1
"100154_at"	3888.7	4716.7	4725.6	4738.2
"100155_at"	182.5	185.7	232.2	327.6
