Gene symbol	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h
Azgp1	0.0	0.0	0.0	0.0	0.0
Lrp11	0.3145	0.853	1.3405	1.0895	0.9209999999999999
Col17a1	0.0415	0.004	0.0095	0.009000000000000001	0.0105
Ech1	42.73350000000001	36.6585	29.72	25.733	28.8205
Pak7	0.0	0.0	0.0	0.0	0.004
Jazf1	0.369	0.45	0.4705	0.3975	0.5549999999999999
Irf2bp2	50.813	71.2355	75.4285	61.1275	67.07900000000001
Ddx46	25.3165	29.905500000000004	32.474000000000004	35.934	39.735
D130043K22Rik	0.03	0.0235	0.0	0.0	0.0205
Npff	5.3660000000000005	5.055	3.5210000000000004	2.5025	1.9795
5830473C10Rik	0.0	0.0	0.0	0.0	0.0
Prpf8	48.4485	77.301	106.197	112.591	116.64299999999999
Fam174a	11.695	7.0895	8.3115	8.027999999999999	9.1525
Dscaml1	0.7395	0.5395	0.5309999999999999	0.3435	0.126
Cdk5r2	0.0	0.0	0.0	0.0	0.006500000000000001
Mtif2	7.576	9.139499999999998	10.9015	11.2075	13.2675
Nat14	1.5895	2.321	2.0155	2.364	1.3255
Crot	13.65	11.009	6.46	6.551500000000001	5.6485
Cd209d	2.2305	0.116	0.0	0.0	0.0
Clec4a4	0.5680000000000001	0.382	0.2	0.065	0.1015
Osm	16.4825	11.021999999999998	17.755000000000006	15.072	16.206
Gm6614	0.0	0.0	0.0	0.0	0.0
Tgm1	2.1595	1.188	1.285	1.0255	0.6905
Acvr1	1.614	1.399	1.836	1.168	2.0235
Med22	17.177	18.3685	22.276000000000003	24.601999999999997	27.195
Prss12	1.649	1.1585	0.379	0.2825	0.185
Ntan1	18.905	19.548	23.4895	18.283500000000004	20.261
Ash1l	15.1095	16.344	13.1735	13.2435	12.9205
Gipc2	0.0	0.0	0.041	0.0	0.0225
Vmn1r205	0.0	0.0	0.0	0.0	0.0
Mpo	59.6695	37.83	16.162	7.8325	2.112
Scml4	23.1535	11.636	2.7515	3.6125	1.1045
Cyp2c39	0.014	0.0	0.0	0.0	0.0
Optn	7.895499999999998	6.582999999999999	4.522	3.5955000000000004	2.676
Mta3	30.421999999999997	21.4255	18.8565	17.723	19.198500000000006
Cox6c	49.7165	64.5345	78.208	83.9505	83.9105
Gm14325	0.5915	0.6745000000000001	0.7390000000000001	0.7509999999999999	0.593
Prom1	2.6950000000000003	1.7675	1.1905	0.872	0.3535
Cass4	0.8575	0.966	0.8105	1.2665000000000002	1.1025
1810030O07Rik	13.845999999999998	14.219	14.939	14.002	14.9625
Smr3a	0.0	0.0	0.0	0.0	0.0
Poldip2	10.991	15.4875	24.823500000000006	27.4805	30.8115
4930558K02Rik	0.266	0.0	0.0	0.0	0.029
Xndc1	5.682	8.229	9.31	9.182	10.6015
Nxf1	69.81	78.79849999999998	81.86449999999998	85.88550000000002	89.93700000000001
Eif4enif1	21.7005	27.25	39.9885	46.5385	61.8885
Supt7l	4.917	6.9510000000000005	8.744	9.883	9.63
Arl8b	33.3925	37.3245	41.6395	40.0495	38.8425
Maged2	1.075	1.8625	2.088	1.4215	1.714
Gja4	0.0	0.0	0.123	0.039	0.20600000000000002
Csf2	8.045	23.6505	50.068999999999996	39.28	37.8185
Cxx1a	1.0495	0.6005	0.3845	0.368	0.433
Rsph4a	0.0	0.0055000000000000005	0.0215	0.006	0.0155
Lim2	0.0	0.0	0.0	0.0	0.0
Ifitm6	381.4565	242.488	102.6375	76.487	21.9135
Ube2z	27.9975	40.0245	48.672	47.9585	51.6715
Deaf1	14.428999999999998	11.1245	10.9615	11.6125	10.5655
Mroh5	0.0	0.0	0.0	0.0525	0.0125
Ccdc39	2.5069999999999997	3.27	1.847	2.032	1.7735
Mical2	0.6235	0.203	0.058	0.0315	0.039
Fbxw17	2.53	1.9685	4.0295	2.619	3.6995
Ank3	0.0355	0.0455	0.003	0.003	0.013
Tcl1b5	0.0	0.0	0.0	0.0	0.0
Tasp1	5.3615	3.3995	4.372999999999998	5.055	5.1495
Dalrd3	18.500999999999998	15.0725	16.866	19.28	23.9355
Rps15	532.1949999999998	594.2695	801.8854999999999	858.6295	892.7570000000002
Dnajb5	5.7189999999999985	7.7494999999999985	11.765	12.065	15.569499999999998
Lrrc20	2.403	2.6015	3.418	3.5215	3.4785000000000004
Zmat2	21.6705	27.7375	29.4235	30.4245	35.673
Gmnc	0.0	0.0	0.0	0.0	0.0
Lyrm9	2.0860000000000003	2.0805	2.0085	2.289	2.5665000000000004
Pcdhga8	2.8025	4.9005	5.053999999999999	4.6785	5.0015
Gm9268	0.0	0.0	0.0	0.0	0.0
B3gnt6	0.2125	0.091	0.0855	0.02	0.0
Tspan6	0.1875	1.7730000000000001	1.905	2.0500000000000003	2.1015
Fchsd2	12.654000000000002	14.841	13.32	10.669	8.7025
Mospd2	9.9365	7.56	5.099	5.3130000000000015	4.449999999999998
Nxf2	0.011	0.2325	0.06	0.1015	0.0945
Pdzd7	0.0645	0.016	0.079	0.087	0.0385
Pvalb	0.0	0.0	0.0	0.0	0.0
Cyb561d1	10.5255	10.6655	7.4345	7.832000000000001	7.915999999999999
Fam131b	0.2175	0.10400000000000001	0.0275	0.0495	0.0205
Rab4b	47.1925	40.187	34.067	33.435500000000005	34.102000000000004
Tpbpa	0.1325	0.0	0.0	0.0	0.0265
Capn1	68.465	54.097	36.637	33.344	32.346
Ncl	51.4195	98.1795	180.954	216.30599999999998	255.2505
Hoxa9	0.245	0.0345	0.08900000000000001	0.08549999999999999	0.1905
Cobll1	1.1640000000000001	1.2575	1.3769999999999998	1.615	1.85
Add3	61.338	46.57600000000001	26.8275	21.072	16.134999999999998
Snx9	10.7665	3.8615	4.9385	5.9795	7.591
Oasl1	6.3975	2.574	2.4725	2.0685	1.848
