Gene symbol	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM
Try10	0.0	0.0	0.0	0.0
Syna	0.0	0.0	0.0	0.049
Cct6a	0.168	52.881	117.648	146.131
Hfm1	0.0	0.0	0.0	0.0
Ddx26b	0.0	0.973	2.995	2.9339999999999997
Sgsm1	0.0	0.0	0.0	0.0
Cmc4	0.0	0.0	6.564	3.16
Pofut1	0.0	13.535	13.58	14.59
Gnb5	0.0	0.0	0.0	0.47600000000000003
Ear3	0.0	0.0	0.0	0.7140000000000001
Gm13483	0.0	0.0	0.0	0.0
Prl3d1	0.0	0.0	0.0	0.0
Lrp8	0.0	0.0	1.6269999999999998	3.3739999999999997
Eras	0.0	0.0	0.0	0.0
Cer1	0.0	0.0	0.0	0.0
Mir6982	0.0	0.0	0.0	0.0
Mir3104	0.0	0.0	0.0	0.0
Kpna3	0.087	18.294	24.449	18.961
Pip4k2a	6.912999999999999	0.0	12.128	14.668
Rpsa	318.858	34.565	79.96	92.87
Pcdha11	0.0	0.0	0.0	0.0
Atp10d	0.0	1.577	5.372000000000001	3.9939999999999998
Upf1	0.08	46.049	75.245	58.683
Aym1	0.0	0.0	0.0	0.0
Atg16l2	0.0	0.0	17.92	16.533
Ltbp4	0.0	0.0	0.0	0.0
Mir7660	0.0	0.0	0.0	0.0
1700111N16Rik	0.0	0.0	0.0	0.0
Gm6525	0.0	0.0	0.0	0.0
Fgl2	0.0	0.0	0.992	1.5719999999999998
Mir6904	0.0	0.0	0.0	5.434
Mir6983	0.0	0.0	0.0	2.0869999999999997
Csdc2	0.0	0.0	0.0	0.0
Gnai2	0.16699999999999998	204.136	91.758	125.896
Sfmbt2	0.0	0.0	0.972	0.951
Gabrg2	0.0	0.0	0.0	0.0
Mir5100	0.0	0.0	0.0	3.4160000000000004
Olfr1348	0.0	0.0	0.0	0.0
Spop	0.0	31.218000000000004	29.252	36.580999999999996
Ctbp2	0.0	0.0	0.0	0.42200000000000004
Fate1	0.0	0.0	0.0	0.0
Svs3a	0.0	0.0	0.0	0.0
Olfr308	0.0	0.0	0.0	0.0
Olfr695	0.0	0.0	0.0	0.0
6430573F11Rik	0.0	0.0	0.0	0.0
Kctd11	0.0	0.0	0.008	0.8490000000000001
A630066F11Rik	0.0	0.0	0.0	0.745
Cpvl	0.0	0.0	0.0	0.0
Lyg2	0.0	0.0	0.0	0.0
Gata6	0.0	0.0	0.0	0.0
Gm14744	0.0	0.0	0.0	0.0
Cited1	0.0	0.0	0.0	0.0
Rhot2	0.13	0.07200000000000001	14.46	22.473000000000003
A930018P22Rik	0.0	0.0	0.0	0.0
Ly6g	0.0	0.0	0.0	0.0
