Gene symbol	No-Peptide-24h	No-Peptide-24h-MEKi	10uM-K99A-24h	10uM-K99A-24h-MEKi	100uM-K99A-24h	100uM-K99A-24h-MEKi	0-1uM-PCC-24h	0-1uM-PCC-24h-MEKi	10uM-PCC-24h	10uM-PCC-24h-MEKi
Azgp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lrp11	0.3145	0.166	0.853	0.28800000000000003	1.3405	0.769	1.0895	1.096	0.9209999999999999	1.029
Col17a1	0.0415	0.093	0.004	0.0	0.0095	0.0	0.009000000000000001	0.0	0.0105	0.0
Ech1	42.73350000000001	33.258	36.6585	26.258000000000006	29.72	31.125	25.733	24.883000000000006	28.8205	22.904
2310002F09Rik	0.01	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pak7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0
Jazf1	0.369	0.619	0.45	0.379	0.4705	0.627	0.3975	0.5770000000000001	0.5549999999999999	0.615
4933406K04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Irf2bp2	50.813	52.167	71.2355	58.592	75.4285	87.225	61.1275	54.894	67.07900000000001	62.859
Ddx46	25.3165	28.286	29.905500000000004	28.522	32.474000000000004	28.075	35.934	37.455	39.735	36.783
D130043K22Rik	0.03	0.0	0.0235	0.066	0.0	0.0	0.0	0.035	0.0205	0.0
Mir219a-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Npff	5.3660000000000005	7.489	5.055	6.055	3.5210000000000004	0.7979999999999999	2.5025	3.815	1.9795	0.8140000000000001
Mir703	51.69799999999999	25.386	85.163	25.326	127.384	69.071	101.403	70.361	117.831	78.808
5830473C10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prpf8	48.4485	39.832	77.301	55.806	106.197	89.432	112.591	111.897	116.64299999999999	112.246
Fam174a	11.695	6.818	7.0895	4.926	8.3115	7.298999999999999	8.027999999999999	8.113	9.1525	6.61
Dscaml1	0.7395	0.8640000000000001	0.5395	0.723	0.5309999999999999	1.171	0.3435	0.339	0.126	0.18
Scarna13	0.0	0.0	0.6715000000000001	1.664	0.47700000000000004	1.541	0.0765	0.212	0.6425	0.561
Cdk5r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006500000000000001	0.0
Mtif2	7.576	4.481	9.139499999999998	7.484	10.9015	10.417	11.2075	11.632	13.2675	10.497
Nat14	1.5895	2.714	2.321	2.391	2.0155	2.146	2.364	1.6969999999999998	1.3255	1.595
Crot	13.65	12.583	11.009	10.647	6.46	7.005	6.551500000000001	7.67	5.6485	7.701
Cd209d	2.2305	0.438	0.116	0.6859999999999999	0.0	0.0	0.0	0.0	0.0	0.0
Clec4a4	0.5680000000000001	0.0	0.382	0.481	0.2	0.584	0.065	0.0	0.1015	0.047
Mir669g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Osm	16.4825	13.300999999999998	11.021999999999998	11.265	17.755000000000006	16.724	15.072	17.445	16.206	17.307000000000002
Mir16-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tgm1	2.1595	1.321	1.188	0.524	1.285	2.341	1.0255	0.742	0.6905	0.337
Acvr1	1.614	1.466	1.399	2.051	1.836	2.139	1.168	1.764	2.0235	2.283
Med22	17.177	17.123	18.3685	10.24	22.276000000000003	17.581	24.601999999999997	21.95	27.195	21.172
Prss12	1.649	2.33	1.1585	3.54	0.379	1.085	0.2825	0.067	0.185	0.217
Ntan1	18.905	13.755999999999998	19.548	16.381	23.4895	19.744	18.283500000000004	19.693	20.261	21.916
Ash1l	15.1095	18.647	16.344	17.948	13.1735	15.764	13.2435	15.749	12.9205	14.673
8430422H06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm16833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gipc2	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.092	0.0225	0.0
Gm6402	0.17	0.184	0.264	1.25	0.1495	0.0	0.315	0.214	0.358	0.076
Vmn1r205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mpo	59.6695	32.461	37.83	30.116	16.162	20.973000000000006	7.8325	2.797	2.112	2.452
Scml4	23.1535	19.283	11.636	13.784	2.7515	6.526	3.6125	3.014	1.1045	1.982
Cyp2c39	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Optn	7.895499999999998	7.776	6.582999999999999	6.6320000000000014	4.522	6.55	3.5955000000000004	4.213	2.676	3.274
Mta3	30.421999999999997	21.887	21.4255	17.775	18.8565	17.398	17.723	16.85	19.198500000000006	19.089
Cox6c	49.7165	24.448	64.5345	23.717	78.208	47.435	83.9505	63.027	83.9105	57.979
Gm14325	0.5915	0.485	0.6745000000000001	0.954	0.7390000000000001	0.805	0.7509999999999999	0.823	0.593	0.821
Prom1	2.6950000000000003	3.212	1.7675	4.229	1.1905	2.165	0.872	1.272	0.3535	0.949
Cass4	0.8575	0.275	0.966	0.972	0.8105	0.778	1.2665000000000002	1.443	1.1025	1.133
1700113A16Rik	12.755999999999998	11.763	11.942	12.493	8.6495	10.843	8.729	8.937999999999997	7.5005000000000015	10.098
1810030O07Rik	13.845999999999998	14.441	14.219	12.196	14.939	16.035	14.002	14.327	14.9625	15.564
Smr3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm6225	0.6245	0.0	0.6385000000000001	0.268	0.746	0.414	0.5175000000000001	1.366	0.6084999999999999	0.483
Poldip2	10.991	9.099	15.4875	8.939	24.823500000000006	15.033	27.4805	22.479	30.8115	23.388
4930558K02Rik	0.266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0
Xndc1	5.682	5.062	8.229	7.1370000000000005	9.31	8.519	9.182	9.887	10.6015	9.702
Nxf1	69.81	77.331	78.79849999999998	86.495	81.86449999999998	85.65700000000002	85.88550000000002	101.058	89.93700000000001	97.126
Eif4enif1	21.7005	20.996	27.25	25.97	39.9885	30.258000000000006	46.5385	57.313	61.8885	63.195
Supt7l	4.917	5.251	6.9510000000000005	5.171	8.744	8.908999999999997	9.883	9.95	9.63	10.159
Arl8b	33.3925	34.496	37.3245	35.897	41.6395	39.273	40.0495	41.812	38.8425	43.052
Maged2	1.075	0.836	1.8625	0.8420000000000001	2.088	1.618	1.4215	2.111	1.714	1.694
Gja4	0.0	0.0	0.0	0.0	0.123	0.0	0.039	0.103	0.20600000000000002	0.152
Csf2	8.045	2.245	23.6505	7.165	50.068999999999996	22.339	39.28	23.949	37.8185	27.109
Snora20	0.412	0.0	0.0	0.0	3.0195	0.0	0.0	0.0	3.0985	0.0
Cxx1a	1.0495	0.147	0.6005	0.0	0.3845	0.166	0.368	0.41	0.433	0.645
Mir26b	0.5885	0.0	0.8855	0.0	0.0	0.0	0.56	0.0	0.0	0.0
Rsph4a	0.0	0.0	0.0055000000000000005	0.0	0.0215	0.0	0.006	0.0	0.0155	0.0
Lim2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ifitm6	381.4565	451.728	242.488	390.862	102.6375	199.197	76.487	68.054	21.9135	37.237
Ube2z	27.9975	21.137	40.0245	25.097	48.672	38.746	47.9585	44.022	51.6715	44.07
Deaf1	14.428999999999998	13.16	11.1245	14.292	10.9615	9.112	11.6125	9.615	10.5655	9.675
Mroh5	0.0	0.0	0.0	0.0	0.0	0.0	0.0525	0.052000000000000005	0.0125	0.023
Ccdc39	2.5069999999999997	4.646	3.27	3.026	1.847	2.428	2.032	1.937	1.7735	1.755
Mical2	0.6235	0.682	0.203	0.43	0.058	0.179	0.0315	0.017	0.039	0.015
Fbxw17	2.53	4.393	1.9685	2.5340000000000003	4.0295	1.6669999999999998	2.619	4.253	3.6995	4.02
Ank3	0.0355	0.0	0.0455	0.0	0.003	0.071	0.003	0.017	0.013	0.0
Tcl1b5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tasp1	5.3615	3.885	3.3995	3.847	4.372999999999998	3.167	5.055	4.487	5.1495	5.409
Dalrd3	18.500999999999998	17.07	15.0725	15.497	16.866	16.583	19.28	21.008000000000006	23.9355	23.985
Rps15	532.1949999999998	265.427	594.2695	262.008	801.8854999999999	581.5409999999998	858.6295	588.847	892.7570000000002	625.6080000000002
Dnajb5	5.7189999999999985	5.625	7.7494999999999985	4.777	11.765	6.323	12.065	11.682	15.569499999999998	14.042
Lrrc20	2.403	1.788	2.6015	2.6660000000000004	3.418	3.554	3.5215	2.574	3.4785000000000004	2.923
Zmat2	21.6705	10.833	27.7375	14.130999999999998	29.4235	22.405	30.4245	23.523000000000003	35.673	26.195
Gmnc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir7052	19.3645	4.868	11.0095	8.14	23.2065	20.892	24.7645	23.566	25.069000000000006	12.818
4930401O10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lyrm9	2.0860000000000003	2.395	2.0805	2.942	2.0085	2.245	2.289	2.747	2.5665000000000004	2.072
Pcdhga8	2.8025	2.375	4.9005	3.075	5.053999999999999	4.396	4.6785	4.593	5.0015	5.352
Gm9268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B3gnt6	0.2125	0.0	0.091	0.0	0.0855	0.0	0.02	0.025	0.0	0.0
