"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_23_P152678"	"0.979"	"0.000737"	"-7.25"	"-3.79"	"-7.87e-01"	"B9D1"	"B9 protein domain 1"
"A_23_P398566"	"0.979"	"0.000808"	"7.11"	"-3.8"	"1.25"	"NR4A3"	"nuclear receptor subfamily 4, group A, member 3"
"A_32_P213103"	"0.979"	"0.000921"	"6.91"	"-3.8"	"9.89e-01"	""	""
"A_23_P54728"	"0.979"	"0.001111"	"-6.64"	"-3.81"	"-9.61e-01"	"FAM173A"	"family with sequence similarity 173, member A"
"A_23_P47950"	"0.979"	"0.001136"	"-6.60"	"-3.81"	"-1.35"	"GTSF1"	"gametocyte specific factor 1"
"A_24_P183128"	"0.979"	"0.001319"	"-6.39"	"-3.82"	"-1.03"	"PLAC8"	"placenta-specific 8"
"A_24_P56317"	"0.979"	"0.001416"	"6.30"	"-3.83"	"6.21e-01"	"MBNL2"	"muscleblind-like splicing regulator 2"
"A_23_P124108"	"0.979"	"0.001577"	"6.15"	"-3.83"	"6.62e-01"	"ITGAM"	"integrin, alpha M (complement component 3 receptor 3 subunit)"
"A_23_P422026"	"0.979"	"0.001681"	"6.06"	"-3.83"	"9.52e-01"	"ME1"	"malic enzyme 1, NADP(+)-dependent, cytosolic"
"A_24_P320033"	"0.979"	"0.001802"	"5.97"	"-3.84"	"6.22e-01"	"CD80"	"CD80 molecule"
"A_24_P37409"	"0.979"	"0.00187"	"5.92"	"-3.84"	"1.07"	"DUSP2"	"dual specificity phosphatase 2"
"A_23_P379736"	"0.979"	"0.001937"	"5.88"	"-3.84"	"6.87e-01"	"B3GNT9"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"
"A_23_P81219"	"0.979"	"0.002108"	"-5.77"	"-3.85"	"-1.04"	"PLAC8"	"placenta-specific 8"
"A_23_P41804"	"0.979"	"0.002172"	"-5.73"	"-3.85"	"-9.95e-01"	"NKD2"	"naked cuticle homolog 2 (Drosophila)"
"A_23_P18903"	"0.979"	"0.002421"	"-5.59"	"-3.86"	"-6.61e-01"	"HAVCR2"	"hepatitis A virus cellular receptor 2"
"A_23_P128230"	"0.979"	"0.002595"	"5.50"	"-3.86"	"6.30e-01"	"NR4A1"	"nuclear receptor subfamily 4, group A, member 1"
"A_23_P259833"	"0.979"	"0.002603"	"5.50"	"-3.86"	"5.61e-01"	"PIK3CD"	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta"
"A_32_P190303"	"0.979"	"0.002644"	"5.48"	"-3.86"	"1.44"	"LONRF2"	"LON peptidase N-terminal domain and ring finger 2"
"A_24_P943205"	"0.979"	"0.00282"	"5.40"	"-3.87"	"6.45e-01"	"EPSTI1"	"epithelial stromal interaction 1 (breast)"
"A_24_P22079"	"0.979"	"0.002901"	"5.37"	"-3.87"	"6.97e-01"	"FOXO1"	"forkhead box O1"
"A_23_P354074"	"0.979"	"0.00296"	"5.34"	"-3.87"	"9.07e-01"	"LYST"	"lysosomal trafficking regulator"
"A_23_P330999"	"0.979"	"0.002969"	"5.34"	"-3.87"	"5.71e-01"	"MED23"	"mediator complex subunit 23"
"A_24_P178723"	"0.979"	"0.003372"	"-5.19"	"-3.88"	"-5.91e-01"	""	""
