"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"gene_assignment"
"6790241"	"0.137"	"0.00000318"	"13.3379271"	"1.82017"	"1.80981833"	"---"
"6999906"	"0.137"	"0.00000427"	"12.7648916"	"1.74499"	"3.018495"	"ENSMUST00000103657 // ENSMUSG00000076785 // predicted gene, ENSMUSG00000076785 // 14 C2|14 // 667542 /// ENSMUST00000103657 // ENSMUSG00000076785 // predicted gene, ENSMUSG00000076785 // 14 C2|14 // 667542 /// ENSMUST00000103657 // ENSMUSG00000076785 // predicted gene, ENSMUSG00000076785 // 14 C2|14 // 667542"
"6819096"	"0.137"	"0.00000507"	"-12.4414766"	"1.69888"	"-2.03699833"	"BC038285 // A630038E17Rik // RIKEN cDNA A630038E17 gene // 14 C2 // 219065 /// BC111819 // A630038E17Rik // RIKEN cDNA A630038E17 gene // 14 C2 // 219065 /// M37293 // A630038E17Rik // RIKEN cDNA A630038E17 gene // 14 C2 // 219065 /// ENSMUST00000103684 // A630038E17Rik // RIKEN cDNA A630038E17 gene // 14 C2 // 219065 /// ENSMUST00000103684 // A630098A13Rik // RIKEN cDNA A630098A13 gene // 14 C2 // 320913 /// ENSMUST00000103676 // OTTMUSG00000015027 // predicted gene, OTTMUSG00000015027 // 14 C1|14 // 627813 /// ENSMUST00000103679 // A630038E17Rik // RIKEN cDNA A630038E17 gene // 14 C2 // 219065 /// ENSMUST00000103679 // A630098A13Rik // RIKEN cDNA A630098A13 gene // 14 C2 // 320913 /// ENSMUST00000103678 // A630038E17Rik // RIKEN cDNA A630038E17 gene // 14 C2 // 219065 /// ENSMUST00000103678 // A630098A13Rik // RIKEN cDNA A630098A13 gene // 14 C2 // 320913"
"6832068"	"0.137"	"0.00000682"	"11.9048005"	"1.61578"	"3.03199333"	"---"
"6828214"	"0.137"	"0.00000765"	"11.7032689"	"1.58226"	"3.5866325"	"X63928 // OTTMUSG00000015161 // predicted gene, OTTMUSG00000015161 // 14 C1|14 // 386450 /// ENSMUST00000103578 // OTTMUSG00000015181 // predicted gene, OTTMUSG00000015181 // 14 C2|14 // 382180 /// ENSMUST00000103579 // OTTMUSG00000015181 // predicted gene, OTTMUSG00000015181 // 14 C2|14 // 382180 /// ENSMUST00000103609 // EG636127 // predicted gene, EG636127 // 14 C2 // 636127 /// ENSMUST00000103610 // EG636127 // predicted gene, EG636127 // 14 C2 // 636127"
"6964302"	"0.137"	"0.0000095"	"11.3291417"	"1.51639"	"2.76333167"	"---"
"6929557"	"0.137"	"0.00000994"	"11.251512"	"1.50209"	"2.43366"	"---"
"6959986"	"0.137"	"0.00001011"	"11.2236788"	"1.49691"	"1.651275"	"AK078026 // 6230415J03Rik // RIKEN cDNA 6230415J03 gene // --- // 109036"
"6800674"	"0.137"	"0.00001063"	"-11.1393568"	"1.48104"	"-5.06670583"	"---"
"6819139"	"0.141"	"0.00001327"	"10.7729291"	"1.4088"	"3.22980083"	"---"
"6782588"	"0.141"	"0.00001338"	"10.7595647"	"1.40606"	"3.75085083"	"---"
"6819128"	"0.146"	"0.00001541"	"-10.5324195"	"1.35834"	"-4.80194417"	"---"
"6999905"	"0.146"	"0.00001637"	"10.4372261"	"1.33766"	"3.92825667"	"ENSMUST00000103656 // EG667677 // predicted gene, EG667677 // 14 C2 // 100043197 /// ENSMUST00000103656 // ENSMUSG00000076783 // predicted gene, ENSMUSG00000076783 // 14 C2 // 100043322 /// ENSMUST00000103593 // EG667677 // predicted gene, EG667677 // 14 C2 // 100043197 /// ENSMUST00000103593 // Trav12n-2 // T cell receptor alpha variable 12N-2 // 14 C2 // 100043270 /// ENSMUST00000103593 // LOC100044026 // similar to T cell receptor V alpha 8.5 // --- // 100044026 /// ENSMUST00000103619 // EG667677 // predicted gene, EG667677 // 14 C2 // 100043197 /// ENSMUST00000103619 // Trav12n-2 // T cell receptor alpha variable 12N-2 // 14 C2 // 100043270 /// ENSMUST00000103619 // LOC100044026 // similar to T cell receptor V alpha 8.5 // --- // 100044026"
"7007134"	"0.177"	"0.00002143"	"10.0189725"	"1.24173"	"3.7388425"	"NM_001104644 // Vmn2r53 // vomeronasal 2, receptor 53 // 7 A1 // 637908 /// NM_001081449 // Vmn2r54 // vomeronasal 2, receptor 54 // 7 A1|7 // 666085 /// NM_001104645 // Vmn2r55 // vomeronasal 2, receptor 55 // 7 A1 // 100042499 /// ENSMUST00000086210 // Vmn2r54 // vomeronasal 2, receptor 54 // 7 A1|7 // 666085"
"6883356"	"0.191"	"0.00002471"	"9.804777"	"1.18919"	"1.77656917"	"---"
"6819129"	"0.234"	"0.00003235"	"-9.4093244"	"1.08557"	"-2.4776175"	"---"
"6820500"	"0.235"	"0.00003533"	"9.2830356"	"1.05055"	"2.17360917"	"---"
"6768130"	"0.235"	"0.00003654"	"9.2352802"	"1.03705"	"1.7058175"	"---"
"6828191"	"0.237"	"0.00003886"	"9.1482495"	"1.01208"	"5.624955"	"AB183189 // Tcra // T-cell receptor alpha chain // 14 19.5 cM // 21473 /// ENSMUST00000103599 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103599 // Trav3n-3 // T cell receptor alpha variable 3N-3 // 14 C2 // 100043282 /// ENSMUST00000103599 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103625 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103625 // Trav3n-3 // T cell receptor alpha variable 3N-3 // 14 C2 // 100043282 /// ENSMUST00000103625 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103661 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103661 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103661 // LOC630442 // similar to T-cell receptor alpha chain V region CTL-L17 precursor // --- // 630442 /// ENSMUST00000103661 // LOC634003 // similar to T-cell receptor alpha chain V region CTL-L17 precursor // --- // 634003"
"6936571"	"0.244"	"0.00004497"	"8.9450391"	"0.95186"	"2.60452667"	"---"
"6819125"	"0.244"	"0.00004593"	"-8.9157789"	"0.94296"	"-3.52781917"	"---"
"6763751"	"0.244"	"0.0000523"	"8.7387356"	"0.88786"	"2.02161417"	"---"
"6883181"	"0.244"	"0.00005409"	"8.6933302"	"0.87337"	"2.49593"	"---"
"6990550"	"0.244"	"0.00005526"	"8.6645284"	"0.86411"	"3.272365"	"---"
"6805108"	"0.244"	"0.00005742"	"8.6132782"	"0.84746"	"2.48721"	"Z48589 // Tcrg-V2 // T-cell receptor gamma, variable 2 // --- // 21636 /// Z48588 // Tcrg-V1 // T-cell receptor gamma, variable 1 // --- // 21632 /// ENSMUST00000103563 // Naip3 // NLR family, apoptosis inhibitory protein 3 // 13 D1 // 667838 /// ENSMUST00000103564 // Tcrg-V1 // T-cell receptor gamma, variable 1 // --- // 21632 /// ENSMUST00000103564 // Tcrg-C // T-cell receptor gamma, constant region // 13 A2 // 432729 /// ENSMUST00000103564 // Naip3 // NLR family, apoptosis inhibitory protein 3 // 13 D1 // 667838"
"6773946"	"0.244"	"0.00005782"	"8.6040724"	"0.84445"	"1.73626083"	"---"
"6913073"	"0.244"	"0.00005832"	"8.5924119"	"0.84063"	"2.03949583"	"---"
"7008258"	"0.244"	"0.00006089"	"-8.5351345"	"0.82172"	"-1.59127167"	"---"
"6845533"	"0.244"	"0.0000611"	"8.5305752"	"0.8202"	"1.041035"	"---"
"6819103"	"0.257"	"0.00006988"	"-8.3543243"	"0.76035"	"-3.04828833"	"---"
"6890328"	"0.257"	"0.00007314"	"8.295252"	"0.73975"	"1.67058333"	"AK047443 // B930063I24Rik // RIKEN cDNA B930063I24 gene // --- // 319330"
"6923653"	"0.257"	"0.00007541"	"8.25574"	"0.72581"	"1.62188333"	"---"
"6894925"	"0.257"	"0.00007697"	"8.2294119"	"0.71646"	"2.04427333"	"---"
"6989419"	"0.257"	"0.00008093"	"8.1651078"	"0.69336"	"3.6298275"	"---"
"7014526"	"0.257"	"0.00008139"	"-8.157817"	"0.69072"	"-1.5305125"	"---"
"6787589"	"0.257"	"0.00008199"	"-8.1484544"	"0.68732"	"-2.49741667"	"---"
"6757101"	"0.257"	"0.00008431"	"8.1129307"	"0.67437"	"1.99314833"	"---"
"6856523"	"0.257"	"0.00008882"	"8.0470022"	"0.65004"	"3.30120917"	"---"
"6950764"	"0.257"	"0.00008945"	"8.0380916"	"0.64673"	"1.239685"	"---"
"6894325"	"0.257"	"0.00009429"	"7.9720009"	"0.62191"	"2.28117667"	"---"
"6780915"	"0.257"	"0.00009739"	"7.9315507"	"0.60654"	"1.075095"	"---"
"6938712"	"0.257"	"0.00009808"	"7.922797"	"0.60319"	"1.48574417"	"---"
"6833141"	"0.257"	"0.00010026"	"-7.8954491"	"0.59269"	"-1.0844375"	"---"
"6914394"	"0.257"	"0.00010215"	"7.8722288"	"0.58373"	"1.83027667"	"---"
"6773402"	"0.257"	"0.00010242"	"-7.8690357"	"0.58249"	"-2.89781833"	"---"
"6872942"	"0.257"	"0.0001029"	"7.8631551"	"0.58021"	"1.42425833"	"---"
"6769092"	"0.257"	"0.00010657"	"7.8199173"	"0.56335"	"0.95827"	"---"
"6819073"	"0.257"	"0.00010666"	"7.8189162"	"0.56296"	"5.2899625"	"ENSMUST00000103670 // A730076H11Rik // RIKEN cDNA A730076H11 gene // 14 C2 // 211027 /// ENSMUST00000103599 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103599 // Trav3n-3 // T cell receptor alpha variable 3N-3 // 14 C2 // 100043282 /// ENSMUST00000103599 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103625 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103625 // Trav3n-3 // T cell receptor alpha variable 3N-3 // 14 C2 // 100043282 /// ENSMUST00000103625 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103569 // Trav2 // T cell receptor alpha variable 2 // 14 C2 // 100042372 /// ENSMUST00000103569 // LOC100045794 // similar to TRAV2 // --- // 100045794 /// ENSMUST00000103569 // Trav6-2 // T-cell receptor alpha variable region 6-2 // 14 C2 // 436539 /// ENSMUST00000103569 // Trav5-1 // T-cell receptor alpha chain V region 5-1 // 14 C2 // 633740 /// ENSMUST00000103569 // LOC633760 // similar to T-cell receptor alpha chain V region CTL-L17 precursor // --- // 633760 /// ENSMUST00000103569 // EG667441 // predicted gene, EG667441 // 14 C2 // 667441 /// ENSMUST00000103569 // EG667449 // predicted gene, EG667449 // 14 C2 // 667449 /// ENSMUST00000103569 // Trav7-1 // T cell receptor alpha variable 7-1 // 14 C2 // 671652 /// ENSMUST00000103661 // Trav3d-3 // T-cell receptor alpha variable region 3D-3 // 14 C2 // 100043202 /// ENSMUST00000103661 // A430107P09Rik // RIKEN cDNA A430107P09 gene // 14 C2 // 320898 /// ENSMUST00000103661 // LOC630442 // similar to T-cell receptor alpha chain V region CTL-L17 precursor // --- // 630442 /// ENSMUST00000103661 // LOC634003 // similar to T-cell receptor alpha chain V region CTL-L17 precursor // --- // 634003"
"7007624"	"0.268"	"0.00011338"	"-7.7438889"	"0.53329"	"-0.98610417"	"---"
"6911162"	"0.274"	"0.00011838"	"-7.6912692"	"0.51216"	"-2.5009225"	""
"6918142"	"0.274"	"0.00012172"	"7.6575614"	"0.4985"	"2.48275083"	"---"
"6953998"	"0.274"	"0.00012294"	"7.6455188"	"0.49359"	"1.6061775"	"---"
"6836728"	"0.284"	"0.00013224"	"-7.5576838"	"0.45736"	"-2.6836825"	"NM_010738 // Ly6a // lymphocyte antigen 6 complex, locus A // 15 D3|15 42.7 cM // 110454 /// NM_010738 // Ly6a // lymphocyte antigen 6 complex, locus A // 15 D3|15 42.7 cM // 110454 /// X04653 // Ly6a // lymphocyte antigen 6 complex, locus A // 15 D3|15 42.7 cM // 110454 /// ENSMUST00000023248 // Ly6a // lymphocyte antigen 6 complex, locus A // 15 D3|15 42.7 cM // 110454"
"6775744"	"0.284"	"0.00013441"	"-7.5382426"	"0.44924"	"-1.03207583"	"AK038758 // A230060F14Rik // RIKEN cDNA A230060F14 gene // --- // 791330"
"6893763"	"0.284"	"0.00013477"	"7.5350001"	"0.44788"	"0.92245583"	"---"
"6929773"	"0.292"	"0.0001414"	"7.4777509"	"0.42373"	"1.65460833"	"---"
"6828170"	"0.292"	"0.0001464"	"7.436557"	"0.40615"	"3.42922667"	"ENSMUST00000103609 // EG636127 // predicted gene, EG636127 // 14 C2 // 636127 /// ENSMUST00000103576 // Trav7d-3 // T cell receptor alpha chain V region 7D-3 // 14 C2 // 100042419 /// ENSMUST00000103576 // LOC100045872 // similar to T cell receptor alpha // --- // 100045872 /// ENSMUST00000103576 // Trav7-3 // T cell receptor alpha chain variable region 7-3 // 14 C1 // 547420 /// ENSMUST00000103639 // Trav7d-3 // T cell receptor alpha chain V region 7D-3 // 14 C2 // 100042419 /// ENSMUST00000103639 // LOC100045872 // similar to T cell receptor alpha // --- // 100045872 /// ENSMUST00000103639 // Trav7-3 // T cell receptor alpha chain variable region 7-3 // 14 C1 // 547420"
