Annotation Cluster 1	Enrichment Score: 9.540068833055507											
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	protein biosynthesis	17	13.28125	1.13E-15	"EIF6, NARS, SARS, AARS, RPS2, RPS8, EIF4G1, EIF3C, EIF3D, EIF3B, EIF3G, RPL22, EIF4H, EIF3E, EIF3L, EIF3I, MARS"	121	139	17854	18.0461383	1.95E-13	9.77E-14	1.37E-12
SP_PIR_KEYWORDS	Initiation factor	10	7.8125	1.01E-10	"EIF6, EIF3C, EIF4G1, EIF3D, EIF3B, EIF3G, EIF4H, EIF3E, EIF3L, EIF3I"	121	55	17854	26.82794891	1.78E-08	5.94E-09	1.24E-07
GOTERM_CC_FAT	GO:0005852~eukaryotic translation initiation factor 3 complex	7	5.46875	1.28E-10	"EIF3C, EIF3D, EIF3B, EIF3G, EIF3E, EIF3L, EIF3I"	94	12	12504	77.59574468	1.67E-08	1.67E-08	1.49E-07
GOTERM_BP_FAT	GO:0006412~translation	18	14.0625	4.49E-10	"EIF6, NARS, SARS, AARS, RPS2, RPS8, EIF4G1, EIF3C, EIF3D, MRPL12, EIF3B, EIF3G, RPL22, EIF4H, EIF3E, EIF3L, EIF3I, MARS"	108	319	13588	7.099268548	4.71E-07	4.71E-07	7.14E-07
GOTERM_MF_FAT	GO:0003743~translation initiation factor activity	10	7.8125	9.36E-10	"EIF6, EIF3C, EIF4G1, EIF3D, EIF3B, EIF3G, EIF4H, EIF3E, EIF3L, EIF3I"	103	62	13288	20.80801754	2.25E-07	2.25E-07	1.21E-06
GOTERM_MF_FAT	"GO:0008135~translation factor activity, nucleic acid binding"	10	7.8125	5.78E-08	"EIF6, EIF3C, EIF4G1, EIF3D, EIF3B, EIF3G, EIF4H, EIF3E, EIF3L, EIF3I"	103	98	13288	13.16425599	1.39E-05	6.94E-06	7.47E-05
GOTERM_BP_FAT	GO:0006413~translational initiation	7	5.46875	4.66E-07	"EIF3C, EIF3D, EIF3B, EIF3G, EIF3E, EIF3L, EIF3I"	108	38	13588	23.17641326	4.88E-04	2.44E-04	7.40E-04
												
Annotation Cluster 2	Enrichment Score: 5.572989051909643											
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
