Annotation Cluster 1	Enrichment Score: 9.315815480902241
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	protein biosynthesis	30	10.309278350515463	4.919127678006124E-20	EIF6, EEF1B2, NARS, EIF5A, RPS2, KARS, RPS3, IARS, EIF3C, EIF3D, RPL30, EIF3A, EIF3B, RPL7, EIF3G, EIF3E, LARS, EIF3L, EIF3I, MARS, EEF1A1, AIMP2, AARS, GARS, EPRS, ETF1, RPS8, EIF4G1, EIF4H, EEF1E1	269	124	10236	9.206139824919056	1.3084879623496289E-17	6.5424398117481445E-18	6.452753311021776E-17
GOTERM_BP_FAT	GO:0006412~translation	39	13.402061855670103	5.244129671990221E-16	EIF6, EEF1B2, NARS, RPL14, EIF5A, RPS2, KARS, RPS3, EIF3C, IARS, EIF3D, RPL30, EIF3A, EIF3B, MRPL12, RPL7, EIF3G, EIF3E, RPL34, LARS, EIF3L, EIF3I, RPS20, MARS, MRPL52, EEF1A1, AIMP2, AARS, GARS, RPL26, EPRS, MRPS6, ETF1, RPS8, RSL1D1, EIF4G1, RPL41, EIF4H, EEF1E1	235	260	7517	4.798085106382978	8.204548151979907E-13	8.204548151979907E-13	9.2148511043888E-13
GOTERM_CC_FAT	GO:0005852~eukaryotic translation initiation factor 3 complex	8	2.7491408934707904	2.204075944917385E-8	EIF3C, EIF3D, EIF3A, EIF3B, EIF3G, EIF3E, EIF3L, EIF3I	214	12	6634	20.666666666666668	4.3199795666248875E-6	1.439995262475513E-6	2.753439786173928E-5
GOTERM_MF_FAT	GO:0008135~translation factor activity, nucleic acid binding	15	5.154639175257731	1.861418997364966E-7	EIF6, EEF1A1, EEF1B2, EIF5A, ETF1, EIF4G1, EIF3C, EIF3D, EIF3A, EIF3B, EIF3G, EIF4H, EIF3E, EIF3L, EIF3I	224	83	7236	5.837994836488813	6.924239579852998E-5	3.462179723368042E-5	2.568883423537116E-4
SP_PIR_KEYWORDS	Initiation factor	11	3.7800687285223367	2.8200127733885467E-7	EIF6, EIF3C, EIF4G1, EIF3D, EIF3A, EIF3B, EIF3G, EIF4H, EIF3E, EIF3L, EIF3I	269	47	10236	8.905797674602548	7.500953699046686E-5	6.2510096578982655E-6	3.699195642026254E-4
GOTERM_MF_FAT	GO:0003743~translation initiation factor activity	11	3.7800687285223367	4.603533659468029E-6	EIF6, EIF3C, EIF4G1, EIF3D, EIF3A, EIF3B, EIF3G, EIF4H, EIF3E, EIF3L, EIF3I	224	54	7236	6.580357142857143	0.0017110529401087593	3.424450449369676E-4	0.006353006482928691
GOTERM_BP_FAT	GO:0006413~translational initiation	8	2.7491408934707904	4.48040240439164E-5	EIF3C, EIF3D, EIF3A, EIF3B, EIF3G, EIF3E, EIF3L, EIF3I	235	32	7517	7.9968085106382985	0.06407677556987168	0.016419169314065063	0.07428452917769279

Annotation Cluster 2	Enrichment Score: 8.170946448853552
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	molecular chaperone	11	3.7800687285223367	1.1703911408240342E-13	HSPH1, CCT5, HSP90B1, CCT4, CCT8, CCT2, CCT6A, HSPD1, CCT3, CANX, HSPA8	269	14	10236	29.89803505045141	3.112665680760074E-11	7.781664201900185E-12	1.5349943538467414E-10
GOTERM_BP_FAT	GO:0006457~protein folding	20	6.872852233676976	2.2809998691670363E-10	HSP90AB1, HSP90AA1, FKBP4, AARS, CCT2, FKBP1A, CCT6A, CCT3, CALR, CANX, CCT7, HSPH1, HSP90B1, CCT5, CCT4, CCT8, HSPD1, AHSA1, HSPA8, HSPA9	235	102	7517	6.272006675010429	3.371317185418832E-7	1.685658734817963E-7	3.783190649642165E-7
INTERPRO	IPR002423:Chaperonin Cpn60/TCP-1	8	2.7491408934707904	1.255191999945147E-9	CCT7, CCT5, CCT4, CCT8, CCT2, CCT6A, HSPD1, CCT3	272	10	9828	28.905882352941177	7.443285500174923E-7	7.443285500174923E-7	1.8508461430144507E-6
INTERPRO	IPR002194:Chaperonin TCP-1, conserved site	7	2.405498281786942	2.8472246052957933E-9	CCT7, CCT5, CCT4, CCT8, CCT2, CCT6A, CCT3	272	7	9828	36.132352941176464	1.6884027453922812E-6	8.442017290777315E-7	4.198381398090589E-6
INTERPRO	IPR017998:Chaperone, tailless complex polypeptide 1	7	2.405498281786942	2.8472246052957933E-9	CCT7, CCT5, CCT4, CCT8, CCT2, CCT6A, CCT3	272	7	9828	36.132352941176464	1.6884027453922812E-6	8.442017290777315E-7	4.198381398090589E-6
SP_PIR_KEYWORDS	Chaperone	19	6.529209621993128	5.424237982833835E-9	HSP90AB1, ABCE1, HSP90AA1, CCT2, CCT6A, CCT3, CALR, CANX, ST13, CCT7, HSP90B1, CCT5, CCT4, CCT8, POMP, HSPD1, AHSA1, HSPA8, HSPA9	269	128	10236	5.648350371747212	1.4428462571380862E-6	1.8035589599563195E-7	7.115340461272268E-6
