	gene_name	label	10uM_K99A vs. No_Peptide logFC	100uM_K99A vs. No_Peptide logFC	0_1uM_PCC vs. No_Peptide logFC	10uM_PCC vs. No_Peptide logFC
NM_001033382	Cacna2d4	0	0.69372310603849	2.07717268779472	2.4977056276058303	2.06776056040897
NM_029679	Fam65b	0	0.777041822920932	1.9004405966552902	2.02379871157404	2.5332631220875097
NM_001289740	Mturn	0	0.820399781212044	1.98155927889218	2.4243638044449303	2.5538053227728104
NM_177358	Zfp945	0	0.830548504880343	2.11610164812356	1.81135694837116	2.29892915679337
NM_172631	Ldlrad4	0	0.832461476995095	2.1647374300326003	2.1931118794386797	2.8913265205652703
NM_001081349	Slc43a1	0	0.8343872228296321	1.9115320169659298	2.16382852632598	2.38275972289004
NM_010102	S1pr4	0	0.8359413005043241	1.73985963677342	2.2326522215561204	2.6240078177890602
NM_016811	Dgka	0	0.840820927668699	1.9613568513119501	2.08723030621322	2.0928779535672803
NM_012054	Aoah	0	0.8660347137078449	1.92880853942869	2.03611575567338	2.23901696161337
NM_001281929	Gria3	0	0.8815610824249129	1.83176962188959	2.47686501519689	2.18004028284734
NM_011851	Nt5e	0	0.8946375432604871	1.79226177871706	2.3058331225979303	2.77587568680377
NM_010576	Itga4	0	0.899130247150135	1.47201212938988	2.3486690757768702	2.4033831707025297
NM_138630	Arhgap4	0	0.9059525688146509	1.6874397300208401	2.14771486051547	2.1359463096611
NM_133649	Slc12a6	0	0.918337493394874	1.7594355331753302	2.15572572881309	2.21917398791031
NM_001048176	Cerkl	0	0.94443762776253	1.8482310523774699	2.50427357144089	2.36408039333211
NM_001024142	Fbxo10	0	0.95029771085412	1.96143666289099	1.8765302496044498	2.8550005966025096
NM_053262	Hsd17b11	0	0.9523917387184959	1.6380069339503798	2.35412840893223	2.08474360618135
NM_080553	Itpr3	0	0.953888939750966	1.83159947380927	1.9848846346153999	2.17524814453287
NM_001290755	Tlr7	0	0.958446479581142	1.3433857793125599	2.7502628736566095	2.65710310722559
NM_013673	Sp100	0	0.958927425943468	1.7559838614594798	2.14825462699685	2.2450095067591
NR_029458	A530088E08Rik	0	0.966519749850875	1.71678853495891	2.14497432062268	2.2096172196835098
NM_177708	Rtn4rl1	0	0.966785161648795	1.70560713074424	2.29058726972688	3.10718147330518
NM_053111	Ear6	0	0.9689682727208451	1.22731124421776	2.32823894655874	2.49801392229536
NM_001081962	Sap25	0	0.989352857445125	1.9641511838845802	2.27362027118562	2.26609219597486
NM_133210	Sertad3	0	0.997017228922854	1.60200222239627	2.3337094863290098	1.8382104308031801
NM_010870	Naip5	0	0.998643714024619	1.55576807580257	2.3561071155888302	2.26709993903414
NM_001024932	Pilrb2	0	0.999442462524647	2.48923460259547	2.19841431252884	2.60725033101892
NM_029116	Kbtbd11	0	0.9994746413271941	1.9290195254714702	2.13255571547521	2.7903448009528797
NM_134154	Slc25a45	0	1.00278877651284	1.71036944983329	2.2441440654275198	2.38767978684121
NR_037964	2610507I01Rik	0	1.00552273055462	1.96942997142034	2.11633334761357	2.44769530760944
NM_008816	Pecam1	0	1.00626553853772	2.12980485400436	1.9670875769801999	2.5766575366148197
NM_177471	Ccdc69	0	1.00877602129042	1.60546191869594	2.21315007690011	1.8499538290063997
NM_153820	Arhgap15	0	1.0091387255273299	1.89059453001005	2.46108866037197	2.59290155713252
