Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d Tcell-CD69neg-K99A10-22h-ES Tcell-CD69neg-nopept-22h-ES Tcell-CD69neg-PCC01-22h-ES Tcell-CD69neg-PCC1-22h-ES Tcell-CD69pos-K99A100-22h-ES Tcell-CD69pos-K99A10-22h-ES Tcell-CD69pos-PCC01-22h-ES Tcell-CD69pos-PCC1-22h-ES -rpkm -condenseGenes)	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM	gene_name	pc1	pc2
NM_009838	0.168	52.881	117.648	146.131	Cct6a	0.016499401130600434	0.009075140480062477
NM_080463	0.0	13.535	13.58	14.59	Pofut1	0.0017233784414728017	-0.0011669066445615915
NM_008466	0.087	18.294	24.449	18.961	Kpna3	0.0025565395027559597	-0.001439247378712364
NM_008845	6.912999999999999	0.0	12.128	14.668	Pip4k2a	0.0008441871822487425	0.0029612641380348807
NM_011029	318.858	34.565	79.96	92.87	Rpsa	-0.02794165543336352	0.036361915618647433
NM_030680	0.08	46.049	75.245	58.683	Upf1	0.007933546765249402	-0.0017493347478235114
NM_001111111	0.0	0.0	17.92	16.533	Atg16l2	0.002102378121596526	0.0027455787747472093
NM_008138	0.16699999999999998	204.136	91.758	125.896	Gnai2	0.013467398308755764	-0.03362552027616332
NM_025287	0.0	31.218000000000004	29.252	36.580999999999996	Spop	0.00409396442548211	-0.002398753884656321
NM_145999	0.13	0.07200000000000001	14.46	22.473000000000003	Rhot2	0.0023634555932113463	0.003360049206362926
NM_011415	4.334	28.986	0.0	0.0	Snai2	-0.0005771871028335345	-0.00709424530515536
NM_001289592	0.0	0.0	5.303	10.186	Tmem173	0.0010179938498879968	0.0014795143143398306
NM_133678	0.0	0.0	33.842	26.151	Sac3d1	0.003591092322372069	0.00454596214947786
NM_178719	0.0	4.999	22.796999999999997	17.16	Mief1	0.002376112404675782	0.0017094583139292039
NM_011561	0.0	27.273000000000003	4.7589999999999995	3.074	Tdg	0.0004115914418707999	-0.006503886548935891
NM_001290503	0.0	14.777999999999999	12.635	15.427999999999999	Zer1	0.0017381739534069838	-0.0014183270519953506
NM_001163635	87.876	31.802	30.633000000000003	23.574	Tnks2	-0.007475696709672585	0.004312001364594306
NM_025417	0.0	0.0	13.687000000000001	30.695	Commd4	0.002956841520659191	0.004373688613084158
NM_013745	0.0	15.488	16.976	11.635	Nufip1	0.0016630682309592393	-0.0019198312968342981
NM_019757	0.0	41.309	19.102999999999998	29.166	Fzr1	0.003031126574408588	-0.006323018099057632
NM_175291	0.0	50.692	63.674	42.563	Dock10	0.006170376055261911	-0.005419044064833162
NM_172518	0.0	7.497000000000001	14.29	11.675999999999998	Fbxo42	0.001550469921775424	5.673757109586901e-05
NR_028079	0.0	0.0	32.748000000000005	11.754000000000001	Snora3	0.0024616121273497472	0.0026913720827364557
NM_001159662	56.453	103.34100000000001	47.736999999999995	31.281	Ppp1r16b	-0.0023865884265420363	-0.015643880128059257
NM_026007	2.5660000000000003	149.97799999999998	161.543	164.736	Eef1g	0.019549204997849377	-0.0118879130906738
NM_001164600	0.0	48.806000000000004	107.325	104.264	Puf60	0.012897289616226548	0.004457775024420383
NM_021399	2.352	53.007	31.695	36.124	Bcl11b	0.003853899615628395	-0.007785964571477702
NM_028521	0.0	23.783	9.32	6.279	Phospho2	0.0008778635297022058	-0.005027120432672447
NM_027372	0.0	0.0	9.885	18.85	Alkbh7	0.0018873278475479262	0.0027405963592062594
NM_001030296	0.0	0.0	12.333	11.24	Prr7	0.0014365582122947494	0.0018721335112230739
NM_026949	0.0	66.122	16.316	22.612	Cnot8	0.002362406108393302	-0.013681551824288698
NM_001164772	96.09299999999999	13.009	12.124	13.265999999999998	Fbxw2	-0.01010480330089097	0.007988938100797418
NM_025852	0.138	44.755	46.623000000000005	38.949	Rexo1	0.005069843705189941	-0.004952895001211456
NM_027098	0.0	0.0	61.185	46.192	Mrpl30	0.006411194208835347	0.008081824782736842
NM_026902	0.0	0.039	6.444	14.283	Mcts1	0.0013794412420102947	0.002027837088722195
NM_009481	0.031	10.575999999999999	12.636	13.845	Usp9x	0.0016235218142358788	-0.000525938979568067
NM_025403	0.0	77.39	92.881	97.12100000000001	Nop10	0.011614488675892315	-0.0043829422275423
NR_002883	0.0	46.766999999999996	21.756	14.169	Gm5643	0.0020282023027312556	-0.009529041723087257
NR_105908	0.0	0.0	18.339000000000002	9.38	Mir6943	0.00158772540593224	0.0018597172834129401
NM_001271443	0.467	0.0	44.961000000000006	64.196	Ndufs8	0.006916796408951716	0.009795822505051123
NM_016979	0.0	52.123000000000005	19.741	18.714000000000002	Prkx	0.002261216302388554	-0.010418669506553456
NM_134023	0.0	6.682	43.159	42.15	Tbc1d10a	0.0052259439662974885	0.005174840562114208
NM_175340	0.0	0.0	10.706	3.971	Nhlrc1	0.0008143518334997614	0.0008960416408741968
NM_010442	0.0	0.0	19.578	16.572	Hmox1	0.0021854224363476345	0.0028117672447172167
NM_001142642	0.0	12.960999999999999	19.744	16.858	Fbrsl1	0.0021918898151661896	-0.0005045785380979604
NR_015527	0.0	0.0	24.923000000000002	7.9479999999999995	4930417O13Rik	0.0017988320959959883	0.0019225940774234727
NM_175127	0.0	0.006999999999999999	12.13	9.016	Fbxo28	0.0012604242532005708	0.0015825721975041096
NR_130150	0.0	18.438	34.235	31.314	Prdx6	0.003963537983327696	0.00043332639857854153
NR_130767	0.0	35.382	46.805	33.204	Slc9a8	0.004682363390157393	-0.003254584922096985
NM_001037757	0.0	21.807	8.439	11.593	Wash1	0.0012361657647647303	-0.0038780334415852596
NM_026402	0.0	0.0	22.752	23.006999999999998	Atg3	0.0028200256768417097	0.0037399390604789117
NM_022989	0.0	20.840999999999998	15.759	12.434000000000001	Arl6ip6	0.0016545270050483945	-0.0032512220913668197
NM_029332	0.11599999999999999	68.671	46.133	53.896	Akap13	0.006124237216726126	-0.009286888333780143
NM_008679	0.048	38.313	37.702	37.271	Ncoa3	0.004535551598572487	-0.003833400101087373
NM_026891	0.0	16.687	5.895	4.546	Cdan1	0.0005953066403665083	-0.003533320348699457
NM_194340	0.034	18.968	14.645	12.925	Prr14l	0.001636596497166658	-0.002741910538030486
NM_172734	0.0	10.902999999999999	2.287	1.868	Stk38l	0.0002309161474304081	-0.0025053343738425313
NM_172117	202.87400000000002	42.726000000000006	13.020999999999999	12.205	Entpd6	-0.023149996146690863	0.010455910075363804
NM_009790	0.08800000000000001	37.116	64.311	81.17	Calm1	0.009101549973533346	0.0029956912346377354
NM_001311113	0.107	67.263	44.208999999999996	32.416	Syncrip	0.004428561527146118	-0.011700695466618788
NM_145354	0.255	59.056000000000004	80.146	69.851	Nsun2	0.008961289042442014	-0.003514546891466257
NM_178907	0.0	99.82	58.286	65.392	Mapkapk3	0.00753017864735767	-0.015471788078665115
NM_001172206	0.0	24.022	29.151	31.065	Arid5a	0.0036893337743780443	-0.0012328915838330213
