Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d Tcell-CD69neg-K99A10-22h-ES Tcell-CD69neg-nopept-22h-ES Tcell-CD69neg-PCC01-22h-ES Tcell-CD69neg-PCC1-22h-ES Tcell-CD69pos-K99A100-22h-ES Tcell-CD69pos-K99A10-22h-ES Tcell-CD69pos-PCC01-22h-ES Tcell-CD69pos-PCC1-22h-ES -rpkm -condenseGenes)	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM	gene_name
NM_133664	1455.9489999999998	820.578	430.371	433.94300000000004	Lad1
NM_019543	824.612	0.0	0.0	5.561	Pigp
NM_009429	738.064	108.432	59.818999999999996	132.664	Tpt1
NM_028607	635.831	0.0	19.652	15.125	Bloc1s2
NM_001271431	794.154	276.82	194.14	166.80599999999998	Cd82
NM_178089	671.25	70.245	92.38799999999999	113.596	Hnrnpul1
NM_024220	612.026	0.298	47.034	64.143	Ndufc2
NM_026456	579.885	49.61	40.001999999999995	40.375	Tceb1
NM_007687	1133.6019999999999	338.086	511.07099999999997	685.925	Cfl1
NM_144811	541.544	36.579	49.376000000000005	36.739000000000004	Cbx7
NM_007564	633.756	449.324	194.05	129.42600000000002	Zfp36l1
NM_025626	578.826	178.94299999999998	102.65299999999999	102.14200000000001	Fam107b
NM_001308535	768.307	387.431	301.44	303.024	Il2rg
NM_007720	522.672	105.633	60.153999999999996	66.883	Ccr8
NM_001170911	507.527	23.305999999999997	43.503	76.803	Prr13
NM_010448	594.3290000000001	108.508	135.876	165.382	Hnrnpab
NM_011576	441.05400000000003	0.0	1.548	4.94	Tfpi
NM_025654	441.795	0.0	16.398	5.587999999999999	Rdm1
NM_028211	456.17	0.0	31.433000000000003	19.345	2210016L21Rik
NM_025710	517.55	48.57	75.005	98.416	Uqcrfs1
NM_001077184	541.48	80.766	95.75299999999999	143.107	Bsg
NR_045750	418.445	0.0	0.8540000000000001	3.234	Gm16675
NM_175329	642.6519999999999	113.234	185.433	264.619	Chchd10
NM_178939	450.63300000000004	39.624	54.87	36.08	Pdrg1
NM_010239	659.545	176.905	219.856	288.795	Fth1
NM_130882	385.142	4.725	6.42	6.978	Cyp4f13
NM_027898	421.531	50.79	54.448	36.525	Gramd1a
NR_102344	442.656	30.522	74.762	68.376	Szrd1
NM_029365	416.684	53.077	42.69	52.849	Med25
NM_174852	399.135	39.649	40.356	39.961	Phf12
NM_029339	375.157	0.0	16.13	21.714000000000002	Sgf29
NM_025358	379.721	45.291000000000004	24.149	37.509	Ndufa9
NM_026382	350.467	52.505	9.824	10.905999999999999	Snrnp48
NM_019965	361.874	8.767999999999999	18.633	23.598000000000003	Dnajb12
NM_172747	352.161	0.0	13.37	13.64	Kctd13
NM_175399	350.101	0.0	22.988000000000003	28.688000000000002	Exosc4
NM_001285825	401.885	38.634	79.843	79.093	Snrpa
NM_010240	574.245	186.342	198.822	286.97900000000004	Ftl1
NM_133964	369.092	1.167	47.06	54.117	Dohh
NM_017461	402.036	36.327	83.225	86.133	Sept1
