	gene_name	label	10uM_K99A vs. No_Peptide logFC	100uM_K99A vs. No_Peptide logFC	0_1uM_PCC vs. No_Peptide logFC	10uM_PCC vs. No_Peptide logFC
NM_001267622	Ttc28	0	-0.5938636714004549	0.46178707506209604	1.9478425334761598	2.24030359845804
NM_001039546	Myo6	0	-0.52124306180097	-0.553559525357898	2.01969377777793	2.4340115304716
NM_010137	Epas1	0	-0.32677156013350606	0.5803078221722271	1.77309036681082	2.81448275937176
NM_026240	Gramd3	0	-0.17449142431252201	1.0313024443866199	2.4972166104566402	2.53941236286835
NM_020578	Ehd3	0	-0.0812733700371675	0.478477698512405	1.32515902412418	2.00749579331898
NM_007485	Rhod	0	-0.0144194037704786	0.280005375949355	2.04234511918127	2.8061571324464305
NM_001276445	Tlr1	0	0.00272498265378847	0.547273028667874	1.84868075509112	2.05178478993521
NM_001013384	Podnl1	0	0.083359094150841	1.10750096091139	1.31177126824196	2.03193630378201
NM_029723	Dapl1	0	0.28132082678150705	1.9385340074695603	2.3432324867369503	2.80876911137088
NM_145933	St6gal1	0	0.30651276408935496	0.861811982100817	1.63403514367603	2.11474637641153
NM_009025	Rasa3	0	0.37794543555740295	1.48623892024685	2.28613206765879	2.70743763078691
NM_011894	Sh3bp5	0	0.38344404261633597	0.9044608713529609	1.84579132478563	2.38015905908726
NR_033514	2310015A10Rik	0	0.416112964987641	1.3287665314681	1.9249030099121698	2.2633800382266203
NM_008741	Nsg2	0	0.452952510799392	1.27746757013252	2.1641994152236204	3.02844008641086
NM_001170853	Mndal	0	0.513126280200892	1.4810583981796699	1.8663354788062099	2.19230145614708
NM_011815	Fyb	0	0.548580837435452	1.74064222995201	2.5246334650074505	2.99031290137593
NM_153137	Traf3ip3	0	0.559054741465722	1.52578197110101	1.84351545550021	2.01794336667065
NM_172729	Nod1	0	0.564191875851965	1.69450459551727	2.1716909361326198	2.34714307125255
NM_009371	Tgfbr2	0	0.572494174133609	1.10576825334798	1.6387020937169299	2.09487331305124
NM_028705	Herc3	0	0.60238043301822	1.54105268722267	1.75825954879246	2.1097660199633204
NM_153560	Fam102a	0	0.6289713822197901	1.02171087512616	1.64786361633051	2.24228384159963
NM_172980	Slc28a2	0	0.6426560231904971	1.65412217690323	2.09878069170214	2.25129981049449
NM_197990	1700025G04Rik	0	0.6622865871579899	1.83164702479474	1.68080569427019	2.01881187555631
NM_026384	Dgat2	0	0.662487820645996	0.562536432565342	2.0204333182856598	2.7246569679149504
NM_027206	Tnfaip8l2	0	0.668234473319802	1.2758884977993301	2.3856705031280403	2.17834094966337
NM_001277100	Add3	0	0.6820433469358059	1.28288029013514	1.9179783859011599	2.09203063911899
NM_011407	Slfn1	0	0.6920194921000209	1.33680532962074	1.54713625059714	2.09364217784232
NM_001003912	Arhgef11	0	0.6959022074548559	1.1503496761284	1.34840867396555	2.02649896126124
