chr_name	chromosome_id	end	id	id_1um_k99a	id_1um_pcc	id_no_peptide	start	tag_count_1um_k99a	tag_count_1um_pcc	tag_count_no_peptide
chr11	13	11743317	3	3.0	3.0	3.0	11686459	1962.2	2036.0	2153.9
chr1	1	138180904	4	4.0	4.0	4.0	138124316	1868.7	1874.8	2058.8
chr11	13	118249795	5	5.0	6.0	5.0	118205775	1847.1	1786.0	1913.8
chr7	8	63942654	6	10.0	6036.0	6.0	63893054	1544.1	148.2	1881.5
chr16	17	92827410	7	26.0	79.0	7.0	92781942	1207.9	812.7	1761.0
chr12	15	108006575	8	76.0	7993.0	8.0	107960379	856.9	127.7	1749.7
chr15	16	73184256	9	9.0	42.0	9.0	73146042	1572.9	1028.9	1594.8
chr5	6	65890375	10	11.0	10.0	10.0	65854779	1453.6	1368.2	1579.4
chr15	16	6605381	11	1542.0	1361.0	11.0	6567797	262.4	291.3	1526.5
chr13	14	24646506	12	12.0	49.0	12.0	24612310	1381.6	952.4	1500.1
chr6	7	48749962	17	17.0	11.0	17.0	48717112	1276.2	1339.7	1371.7
chr15	16	77845547	19	19.0	732.0	19.0	77813119	1238.6	381.9	1362.0
chr11	13	32559489	20	36.0	108.0	20.0	32530409	1151.3	747.3	1344.8
chr18	20	75396381	23	28.0	23.0	23.0	75364879	1201.8	1171.6	1333.1
chr12	15	73614323	25	33.0	15.0	25.0	73583299	1170.7	1261.7	1283.4
chr3	4	89397351	26	27.0	25.0	26.0	89378095	1207.9	1155.5	1279.2
chr2	2	3733511	27	32.0	17.0	27.0	3709885	1177.2	1210.9	1279.0
chr2	2	32085297	28	23.0	7916.0	28.0	32054655	1222.8	128.6	1265.9
chr3	4	101301135	29	29.0	22.0	29.0	101273129	1191.9	1181.6	1260.2
chr2	2	11198965	30	30.0	323.0	30.0	11168111	1188.3	523.6	1258.0
chr11	13	22861420	31	38.0	21.0	31.0	22836182	1131.8	1184.8	1240.8
chr17	18	47535224	32	78.0	2063.0	32.0	47504076	853.1	243.1	1236.0
chr5	6	124037824	33	37.0	26.0	33.0	124009284	1136.0	1155.3	1223.5
chr11	13	98955768	36	40.0	38.0	36.0	98935402	1111.8	1049.7	1199.0
chr11	13	34786267	37	44.0	40.0	37.0	34761249	1059.0	1036.2	1153.4
chr9	12	57655605	38	148.0	76.0	38.0	57632417	677.1	816.8	1151.8
chr2	2	32557628	39	858.0	19341.0	39.0	32534104	337.3	62.3	1137.0
chr14	11	121380427	42	47.0	17182.0	42.0	121353241	1036.6	71.0	1131.6
chr2	2	132031269	49	60.0	55.0	49.0	132012735	967.3	908.3	1069.0
chr17	18	34206545	50	55.0	37.0	50.0	34183407	984.6	1059.1	1066.8
chr2	2	173039234	53	3526.0	54.0	53.0	173016646	180.8	910.7	1036.5
