id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a	tag_count_1um_pcc	id_1um_pcc
2	chr9	32692565	32749679	12	2472.8	2	2246.5	2.0	2532.6	2.0
3	chr11	11686459	11743317	13	2153.9	3	1962.2	3.0	2036.0	3.0
4	chr1	138124316	138180904	1	2058.8	4	1868.7	4.0	1874.8	4.0
5	chr11	118205775	118249795	13	1913.8	5	1847.1	5.0	1786.0	6.0
6	chr7	63893054	63942654	8	1881.5	6	1544.1	10.0	148.2	6036.0
7	chr16	92781942	92827410	17	1761.0	7	1207.9	26.0	812.7	79.0
8	chr12	107960379	108006575	15	1749.7	8	856.9	76.0	127.7	7993.0
9	chr15	73146042	73184256	16	1594.8	9	1572.9	9.0	1028.9	42.0
10	chr5	65854779	65890375	6	1579.4	10	1453.6	11.0	1368.2	10.0
11	chr15	6567797	6605381	16	1526.5	11	262.4	1542.0	291.3	1361.0
12	chr13	24612310	24646506	14	1500.1	12	1381.6	12.0	952.4	49.0
13	chr11	117317239	117347275	13	1439.3	13	1641.9	7.0	1628.7	7.0
14	chr12	100985282	101021262	15	1434.5	14	1712.4	6.0	713.2	132.0
17	chr6	48717112	48749962	7	1371.7	17	1276.2	17.0	1339.7	11.0
19	chr15	77813119	77845547	16	1362.0	19	1238.6	19.0	381.9	732.0
20	chr11	32530409	32559489	13	1344.8	20	1151.3	36.0	747.3	108.0
21	chr11	46366081	46401771	13	1344.4	21	1227.5	21.0	1439.2	9.0
23	chr18	75364879	75396381	20	1333.1	23	1201.8	28.0	1171.6	23.0
24	chr15	80559151	80594607	16	1303.8	24	1331.8	13.0	625.2	209.0
25	chr12	73583299	73614323	15	1283.4	25	1170.7	33.0	1261.7	15.0
26	chr3	89378095	89397351	4	1279.2	26	1207.9	27.0	1155.5	25.0
27	chr2	3709885	3733511	2	1279.0	27	1177.2	32.0	1210.9	17.0
28	chr2	32054655	32085297	2	1265.9	28	1222.8	23.0	128.6	7916.0
29	chr3	101273129	101301135	4	1260.2	29	1191.9	29.0	1181.6	22.0
30	chr2	11168111	11198965	2	1258.0	30	1188.3	30.0	523.6	323.0
31	chr11	22836182	22861420	13	1240.8	31	1131.8	38.0	1184.8	21.0
32	chr17	47504076	47535224	18	1236.0	32	853.1	78.0	243.1	2063.0
33	chr5	124009284	124037824	6	1223.5	33	1136.0	37.0	1155.3	26.0
34	chr12	108623263	108651871	15	1213.8	34	1028.7	48.0	1230.2	16.0
35	chr11	52261475	52288497	13	1210.9	35	1152.2	35.0	1280.2	14.0
36	chr11	98935402	98955768	13	1199.0	36	1111.8	40.0	1049.7	38.0
37	chr11	34761249	34786267	13	1153.4	37	1059.0	44.0	1036.2	40.0
38	chr9	57632417	57655605	12	1151.8	38	677.1	148.0	816.8	76.0
39	chr2	32534104	32557628	2	1137.0	39	337.3	858.0	62.3	19341.0
40	chr15	97820375	97845761	16	1136.8	40	1230.6	20.0	443.8	498.0
42	chr14	121353241	121380427	11	1131.6	42	1036.6	47.0	71.0	17182.0
44	chr11	87741502	87762070	13	1113.4	44	1010.4	49.0	1118.8	28.0
45	chr14	79514082	79539572	11	1113.0	45	1182.8	31.0	1046.9	39.0
47	chr2	167931093	167952805	2	1082.5	47	1008.2	50.0	1190.1	20.0
49	chr2	132012735	132031269	2	1069.0	49	967.3	60.0	908.3	55.0
50	chr17	34183407	34206545	18	1066.8	50	984.6	55.0	1059.1	37.0
51	chr2	26482202	26505084	2	1066.6	51	860.6	74.0	1117.1	29.0
52	chr11	68430591	68456055	13	1060.3	52	748.6	108.0	1098.6	32.0
53	chr2	173016646	173039234	2	1036.5	53	180.8	3526.0	910.7	54.0
54	chr9	61368413	61393055	12	1031.6	54	973.4	57.0	853.8	69.0
55	chr5	112269657	112292879	6	1028.6	55	1250.6	18.0	397.6	666.0
56	chr1	136125972	136143026	1	1027.6	56	968.3	58.0	1012.6	43.0
57	chr3	88137178	88153774	4	1026.6	57	992.5	53.0	948.0	51.0
59	chr7	68270588	68295048	8	1025.2	59	927.3	66.0	804.7	81.0
60	chr2	91944718	91967008	2	1019.7	60	482.0	362.0	463.8	445.0
61	chr2	29618801	29642401	2	1016.9	61	956.7	62.0	1009.1	44.0
62	chr8	123013070	123041540	10	1013.5	62	126.0	7457.0	596.8	233.0
63	chr17	35185001	35206677	18	1009.8	63	967.8	59.0	779.7	93.0
