id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_013614	NM_013614	chr12	17544873	17551502	+	2533.0	1	Odc1|ODC|-|12 A1.1|12 8.11 cM|protein-coding	80.623	136.809	112.913	70.164	29.677	58.214	72.938	84.09899999999999	75.242	32.652	38.598	56.17100000000001	61.562	11.365	15.140999999999998	Odc1
NM_009429	NM_009429	chr14	75845256	75848303	+	886.0	1	Tpt1|TCTP|Trt|p21|p23|-|14 D3|14 40.29 cM|protein-coding	123.264	120.21	127.868	85.677	165.602	73.852	100.679	55.68	88.685	50.129	51.034	75.694	130.974	58.653999999999996	76.033	Tpt1
NM_011187	NM_011187	chr2	38588046	38643906	-	959.0	1	Psmb7|AU020723|MC14|RP23-354G20.1|2 B|2 24.42 cM|protein-coding	130.705	124.016	93.74	143.767	57.036	79.844	74.187	67.952	72.111	23.971	34.224000000000004	90.62299999999999	90.374	28.524	37.725	Psmb7
NM_013693	NM_013693	chr17	35199367	35202007	-	1647.0	1	Tnf|DIF|TNF-a|TNF-alpha|TNFSF2|TNFalpha|Tnfa|Tnfsf1a|-|17 B1|17 18.59 cM|protein-coding	84.80799999999999	36.046	15.669	101.34899999999999	23.26	50.647	46.765	19.612000000000002	44.282	13.167	13.215	62.044	75.587	12.182	15.634	Tnf
NM_026318	NM_026318	chr2	121457088	121458440	+	598.0	1	Hypk|2310003F16Rik|HSPC136|RP23-433P19.12|2|2 F1|protein-coding	194.262	171.705	149.50799999999998	180.77200000000002	73.486	62.373000000000005	58.503	64.961	54.792	16.88	24.458000000000002	67.907	81.962	21.361	23.142	Hypk
NM_011965	NM_011965	chr7	114264550	114276116	-	1243.0	1	Psma1|C2|HC2|Pros-30|alpha-type|-|7 F1|7 59.32 cM|protein-coding	122.08200000000001	123.639	95.71700000000001	141.81799999999998	58.562	93.94200000000001	92.26700000000001	74.96	90.615	55.11600000000001	56.12	108.73299999999999	96.32799999999999	36.394	43.619	Psma1
NM_026578	NM_026578	chr3	129824912	129831396	-	1262.0	1	Gar1|AA409823|AI326794|C430047J18Rik|Nola1|-|3 G3|3|protein-coding	103.84	85.926	71.104	105.499	22.204	59.983999999999995	51.792	35.466	48.768	8.566	14.732000000000001	60.902	62.336000000000006	4.888	7.832999999999999	Gar1
NM_207634	NM_207634	chr14	24490681	24496146	+	830.0	1	Rps24|-|-|14|14 B|protein-coding	168.692	194.28599999999997	183.40599999999998	186.354	130.30700000000002	72.265	71.383	56.723	68.102	33.111	44.321999999999996	71.967	88.579	27.252	26.32	Rps24
NM_025366	NM_025366	chr14	20703027	20704425	+	590.0	1	Chchd1|1110001O19Rik|2400010G13Rik|MRP-S37|-|14|14 B|protein-coding	103.13600000000001	99.887	91.365	104.655	52.488	53.583999999999996	53.239	44.251999999999995	53.78	29.25	19.831	57.964	71.789	13.940999999999999	14.492	Chchd1
NM_026211	NM_026211	chr13	55593135	55597694	+	1444.0	1	Tmed9|2400003B06Rik|-|13|13 B2|protein-coding	140.031	123.01100000000001	101.71	130.384	72.501	78.696	74.051	61.894	71.37	31.84	42.266000000000005	79.217	100.55	30.552	38.745	Tmed9
NM_008408	NM_008408	chr9	36732413	36767578	-	2677.0	1	Stt3a|AA408947|BB081708|Itm1|-|9 A4|9 20.67 cM|protein-coding	104.715	90.991	72.571	105.624	45.346000000000004	90.598	81.521	60.227	79.297	37.293	47.782	93.448	89.999	31.284000000000002	33.879	Stt3a
NM_001289612	NM_001289612	chr1	36778984	36782820	+	1335.0	1	Zap70|Srk|ZAP-70|mrtle|mur|-|1 A4-C1|1 15.41 cM|protein-coding	114.454	79.366	54.13399999999999	118.78299999999999	58.398999999999994	67.828	53.151	41.328	57.578	23.513	30.49	74.086	81.685	22.124000000000002	16.549	Zap70
NM_145569	NM_145569	chr6	72432799	72439558	-	2793.0	1	Mat2a|D630045P18Rik|-|6 C1|6|protein-coding	93.67399999999999	81.322	71.035	107.34299999999999	43.961999999999996	91.965	86.098	61.732	85.97399999999999	44.372	53.058	95.845	89.266	28.891	34.86	Mat2a
NM_001243968	NM_001243968	chr7	13035120	13037627	-	1002.0	1	Ube2m|2510040H03Rik|UBC12|Ubc-rs2|-|7 A1|7 7.73 cM|protein-coding	112.507	108.891	83.51299999999999	140.735	65.01100000000001	81.859	84.61200000000001	64.264	81.363	42.701	51.211999999999996	88.73	102.969	45.521	43.308	Ube2m
