chr_name	chromosome_id	end	id	id_1um_k99a	id_1um_pcc	id_no_peptide	start	tag_count_1um_k99a	tag_count_1um_pcc	tag_count_no_peptide
chr11	13	98501532	7	1681.0	108.0	7.0	98457356	200.3	796.4	950.2
chr17	18	84159153	8	1848.0	296.0	8.0	84123155	190.4	490.9	936.1
chr15	16	27607194	93	2400.0	1762.0	93.0	27586650	162.9	201.5	554.1
chr17	18	84862652	110	1901.0	2188.0	110.0	84843858	186.8	176.3	521.5
chr4	5	134123465	112	419.0	442.0	112.0	134104987	395.8	415.5	516.9
chr11	13	63982876	113	542.0	6246.0	113.0	63962226	353.2	97.1	515.6
chr15	16	36456267	126	12454.0	1788.0	126.0	36436769	52.9	200.0	499.1
chr12	15	102627559	133	415.0	3524.0	133.0	102607825	397.6	135.0	480.4
chr6	7	86621237	168	11180.0	1015.0	168.0	86604335	58.8	272.1	434.8
chr11	13	95368583	170	471.0	8054.0	170.0	95352677	377.8	81.8	433.9
chr5	6	64509571	199	433.0	1088.0	199.0	64491599	391.7	262.4	409.0
chr11	13	53854689	207	667.0	11283.0	207.0	53836479	320.8	62.4	401.5
chr6	7	90752617	225	914.0	16510.0	225.0	90736513	276.6	40.0	388.3
chr5	6	124086296	259	971.0	710.0	259.0	124068902	269.2	327.9	368.4
chr2	2	132650808	264	567.0	19726.0	264.0	132636042	345.8	29.9	365.2
chr14	11	31410815	284	684.0	15109.0	284.0	31397175	316.6	45.2	351.8
chr10	9	39473543	292	2604.0	2086.0	292.0	39454899	154.1	180.6	351.0
chr2	2	158716759	297	680.0	19959.0	297.0	158699277	317.7	29.3	349.5
chr10	9	59909866	306	745.0	1604.0	306.0	59896924	303.8	213.8	346.8
chr5	6	121115827	358	1055.0	1939.0	358.0	121099983	258.2	189.5	324.4
chr13	14	51789865	360	952.0	1179.0	360.0	51773543	272.5	250.6	324.0
chr15	16	81307616	364	724.0	1429.0	364.0	81295278	308.4	227.4	322.9
chr3	4	21995448	382	12364.0	9855.0	382.0	21981286	53.4	70.2	316.4
chr7	8	31093245	394	848.0	2557.0	394.0	31081579	285.9	161.9	312.0
chr10	9	96188712	399	793.0	2312.0	399.0	96177732	296.0	170.9	311.0
chr15	16	27834261	402	916.0	2785.0	402.0	27821859	276.6	155.0	307.6
chr19	21	9070708	405	6357.0	19857.0	405.0	9056016	90.5	29.5	307.0
chr2	2	167781630	406	762.0	1107.0	406.0	167772386	300.7	260.5	307.0
chr9	12	63708684	407	1984.0	1295.0	407.0	63694854	182.1	237.5	306.2
chr8	10	114987055	416	20485.0	2411.0	416.0	114972709	26.3	166.9	304.3
chr2	2	173457242	425	989.0	17016.0	425.0	173442458	265.8	38.3	300.7
chr2	2	152795605	459	12238.0	1398.0	459.0	152783803	53.9	229.7	289.6
chr13	14	117213945	490	15829.0	16246.0	490.0	117201437	39.7	40.9	282.5
chr17	18	84363616	516	8000.0	4002.0	516.0	84350164	77.1	125.9	277.3
chr5	6	136155365	520	1772.0	2513.0	520.0	136143365	194.8	163.4	276.7
chr11	13	33941246	523	1164.0	2260.0	523.0	33929922	244.7	173.1	276.2
chr13	14	43254425	528	2730.0	1529.0	528.0	43240859	150.2	219.4	275.4
chr13	14	43455560	544	11540.0	6593.0	544.0	43441926	56.9	93.9	270.6
chr3	4	93517414	555	10029.0	2468.0	555.0	93504870	64.8	164.7	268.1
chr11	13	76484551	557	3183.0	2315.0	557.0	76475525	137.3	170.9	268.1
chr8	10	114887632	564	21684.0	2420.0	564.0	114877676	23.7	166.4	266.2
chr11	13	118267941	578	8180.0	10266.0	578.0	118256979	75.8	67.8	263.2
chr11	13	79661490	618	12168.0	4075.0	618.0	79651782	54.1	124.7	254.7
chr6	7	70832242	627	2408.0	2230.0	627.0	70820352	162.4	174.4	253.0
chr17	18	84279209	633	1366.0	1882.0	633.0	84269743	223.7	193.8	251.7
chr5	6	134335744	687	2606.0	6132.0	687.0	134323694	153.9	98.4	242.1
chr11	13	6707949	733	10226.0	11556.0	733.0	6694917	63.6	61.1	233.5
chr2	2	128476211	774	4997.0	8390.0	774.0	128464705	105.3	79.7	226.4
chr10	9	19531862	788	6543.0	17025.0	788.0	19521698	89.0	38.3	224.9
chr4	5	149863270	808	2008.0	1623.0	808.0	149852074	180.7	212.3	223.0
chr10	9	19106813	809	2942.0	5584.0	809.0	19096911	144.3	104.2	222.8
chr14	11	20791670	816	20781.0	2864.0	816.0	20782040	25.4	152.4	222.2
chr6	7	136968213	829	1805.0	1938.0	829.0	136958989	193.3	189.7	220.3
chr4	5	135108161	835	2036.0	2903.0	835.0	135100349	179.7	151.1	219.5
chr2	2	34981940	844	16299.0	1918.0	844.0	34970424	38.0	191.6	218.6
chr15	16	9603991	861	2021.0	9077.0	861.0	9592619	180.4	75.1	216.8
chr6	7	22427934	863	21996.0	2571.0	863.0	22419392	23.0	161.5	216.5
chr9	12	65202613	875	4351.0	12410.0	875.0	65193065	114.4	57.1	215.9
chr1	1	155036635	879	12728.0	2305.0	879.0	155027701	51.9	171.4	215.3
chr11	13	100590538	890	1806.0	8852.0	890.0	100579036	193.3	76.4	214.5
chr2	2	167928727	895	4278.0	4788.0	895.0	167917265	115.6	113.7	213.6
chr1	1	164964127	917	1628.0	6148.0	917.0	164953837	203.4	98.2	212.1
chr1	1	191427858	920	3991.0	12879.0	920.0	191418434	120.6	54.9	211.1
chr4	5	62690273	928	1540.0	6711.0	928.0	62681077	209.4	93.0	210.3
chr6	7	147103892	933	1946.0	4256.0	933.0	147095806	184.3	121.6	209.4
chr7	8	132741356	934	1977.0	4182.0	934.0	132733172	182.8	122.9	209.4
chr7	8	127481486	946	0.0	2056.0	946.0	127475400	0.0	182.8	207.3
chr11	13	107400029	960	2096.0	2076.0	960.0	107389057	176.4	181.1	206.3
chr15	16	83606939	961	1581.0	3133.0	961.0	83598859	206.3	143.8	206.3
chr16	17	57498941	966	17813.0	16739.0	966.0	57490521	33.3	39.2	205.9
chr6	7	86646551	979	5527.0	6044.0	979.0	86638285	99.0	99.3	203.6
chr15	16	64274903	1002	21961.0	5470.0	1002.0	64262617	23.0	105.3	200.4
chr8	10	86711984	1046	19493.0	2005.0	1046.0	86702520	28.9	186.2	197.1
chr15	16	81039080	1053	1850.0	2384.0	1053.0	81030724	190.2	168.1	196.7
chr11	13	117882973	1056	16844.0	14259.0	1056.0	117874727	36.3	48.7	196.4
chr4	5	59245590	1065	2014.0	8147.0	1065.0	59235648	180.6	81.2	195.6
chr6	7	86591766	1100	9501.0	2900.0	1100.0	86581946	67.9	151.1	192.5
chr12	15	100506911	1115	1912.0	11090.0	1115.0	100500067	186.1	63.5	191.6
chr16	17	49805178	1131	16950.0	19297.0	1131.0	49798286	35.9	31.0	190.8
chr1	1	106655081	1143	2275.0	2238.0	1143.0	106646359	167.2	174.2	189.7
chr17	18	72954048	1160	2115.0	2823.0	1160.0	72944454	175.8	153.5	188.3
chr6	7	143081097	1221	10757.0	5051.0	1221.0	143071629	61.0	110.2	183.7
chr1	1	160031477	1226	16920.0	2111.0	1226.0	160023025	36.1	179.8	183.2
chr7	8	25209926	1231	4186.0	3533.0	1231.0	25201926	117.0	135.0	182.4
chr7	8	90026928	1241	18269.0	2597.0	1241.0	90017988	32.1	160.6	181.4
chr10	9	75537075	1243	3596.0	10791.0	1243.0	75527491	128.2	65.0	181.4
chr1	1	39284495	1252	2364.0	4786.0	1252.0	39278777	163.9	113.7	180.7
chr2	2	30696056	1258	8825.0	15034.0	1258.0	30688312	72.0	45.6	180.1
chr7	8	46842750	1285	8449.0	3912.0	1285.0	46834026	74.2	127.7	177.4
chr11	13	54979843	1321	3202.0	2364.0	1321.0	54970247	136.8	168.8	175.7
chr10	9	128640649	1327	2452.0	3993.0	1327.0	128633801	160.5	126.2	175.5
chr5	6	114685439	1365	2260.0	2394.0	1365.0	114679105	167.9	167.5	173.2
chr15	16	67293110	1400	18178.0	2408.0	1400.0	67286896	32.3	167.1	170.3
chr8	10	71289835	1409	3635.0	10433.0	1409.0	71280439	127.7	67.0	169.6
chr1	1	92134376	1414	2332.0	2661.0	1414.0	92126934	164.9	158.9	169.2
chr3	4	58557827	1415	2934.0	13892.0	1415.0	58549093	144.7	50.4	169.2
chr3	4	107092280	1417	10352.0	5613.0	1417.0	107083828	63.1	104.0	169.0
chr5	6	141020446	1450	3329.0	4463.0	1450.0	141013608	133.7	118.6	167.5
chr2	2	168477645	1462	4203.0	3962.0	1462.0	168470907	116.8	126.8	167.1
chr15	16	66733673	1489	2333.0	3189.0	1489.0	66726185	164.9	142.1	165.2
chr7	8	63971746	1493	6140.0	9388.0	1493.0	63963774	92.6	73.2	165.2
chr15	16	77818343	1521	22272.0	4820.0	1521.0	77811233	22.3	113.0	163.6
chr4	5	62631190	1534	3157.0	4124.0	1534.0	62624160	138.0	124.0	162.7
chr11	13	120856940	1544	4372.0	14748.0	1544.0	120850440	114.1	46.7	162.1
chr6	7	83013857	1546	15943.0	9777.0	1546.0	83006557	39.3	70.6	162.1
chr3	4	101076316	1547	2770.0	10206.0	1547.0	101068286	149.1	68.2	162.1
chr10	9	96574152	1579	2564.0	3143.0	1579.0	96567192	155.5	143.4	160.4
chr15	16	99345417	1584	3359.0	6328.0	1584.0	99339075	133.0	96.2	160.2
chr7	8	63981258	1596	4302.0	6134.0	1596.0	63973244	115.3	98.2	159.6
