sequence_identifier	chr_name	heatmap_start	heatmap_end	strand
NM_022410	chr15	77837175	77842175	1
NM_021366	chr7	63933915	63938915	1
NM_001081278	chr14	101604191	101609191	1
NM_001291020	chr2	129592838	129597838	0
NM_018750	chr1	131240178	131245178	1
NM_010551	chr7	83730490	83735490	1
NM_172261	chr11	94991211	94996211	0
NM_022027	chr10	5064063	5069063	1
NM_029116	chr8	15011024	15016024	0
NM_010266	chr19	21467661	21472661	1
NM_001253716	chr14	64411956	64416956	1
NM_146145	chr4	101260282	101265282	1
NM_001198825	chr16	85168707	85173707	1
NM_009025	chr8	13672587	13677587	1
NM_008522	chr9	111019291	111024291	0
NM_001252201	chr1	39900912	39905912	0
NM_001163489	chr3	88456182	88461182	1
NM_008405	chr16	96438614	96443614	1
NM_010747	chr4	3678120	3683120	0
NM_001161365	chr12	102283640	102288640	0
NM_013758	chr19	53143996	53148996	0
NM_001037859	chr18	61105571	61110571	0
NM_010330	chr13	117220572	117225572	0
NM_007807	chrX	9464324	9469324	1
NM_133810	chr1	53780215	53785215	1
NM_030209	chr8	119992469	119997469	0
NM_008452	chr8	72319061	72324061	0
NM_011436	chr9	42119289	42124289	1
NM_010688	chr11	97799671	97804671	0
NM_025806	chr6	136656893	136661893	1
NM_008453	chr5	64803522	64808522	0
NM_001301304	chr3	103786563	103791563	1
NM_008359	chr6	120463196	120468196	0
NM_001143849	chr7	101451251	101456251	0
NM_023665	chr4	134923624	134928624	0
NM_013737	chr17	43568450	43573450	0
NM_009331	chr11	52277571	52282571	1
NM_153507	chr8	94533027	94538027	0
NM_133962	chr8	3393007	3398007	0
NM_001289442	chr15	80572596	80577596	0
NM_007984	chr5	142960354	142965354	0
NM_178593	chr1	165703094	165708094	1
NM_030691	chr7	121069530	121074530	1
NM_007782	chr4	126024658	126029658	0
NM_001085518	chr2	122484940	122489940	0
NM_177876	chr5	124027260	124032260	1
NM_001002786	chr17	29135055	29140055	0
NM_013673	chr1	85650049	85655049	0
NM_145158	chr17	71305965	71310965	1
NM_001103178	chr19	57114024	57119024	1
NM_001271413	chr15	83024950	83029950	1
NM_001198977	chr13	52583436	52588436	0
NM_026240	chr18	56432131	56437131	0
NM_175445	chr2	132024988	132029988	1
NM_010807	chr4	129513580	129518580	0
NM_028752	chr5	122210286	122215286	0
NM_010559	chr3	89908162	89913162	1
NM_011061	chr4	140769203	140774203	1
NM_019456	chr2	22774326	22779326	0
NM_019549	chr11	17003718	17008718	1
NM_009369	chr13	56609602	56614602	0
NM_007657	chr6	125489755	125494755	1
NM_152839	chr5	88522897	88527897	1
NM_011223	chr5	115506675	115511675	0
NM_018776	chr11	80075991	80080991	1
NM_001206391	chr13	55015819	55020819	1
NM_001278269	chr15	6579846	6584846	0
NM_019946	chr6	138140536	138145536	0
NM_007801	chr9	90054266	90059266	0
NM_011410	chr11	83175185	83180185	0
NM_009114	chr3	90690721	90695721	1
NM_175511	chr2	32078705	32083705	1
NM_001163396	chr12	108635752	108640752	0
NM_011673	chr4	59189549	59194549	0
