	Chr	Start	End	Strand
1	chr14	54143129	54187413	+
2	chr6	41530297	41560047	+
3	chr9	32694702	32734546	+
5	chr6	48717381	48749831	+
6	chr1	160041077	160062871	+
7	chr15	66792648	66816606	+
8	chr19	11476815	11502133	+
9	chr12	108626017	108650183	+
10	chr6	129222385	129243571	+
11	chr11	86573248	86598842	+
12	chr14	79513981	79539417	+
16	chr6	99384199	99411521	+
17	chr14	75174482	75199074	+
18	chr4	32247792	32269152	+
19	chr14	121944522	121966608	+
20	chr2	3713242	3733074	+
21	chr2	6702048	6722278	+
24	chr11	11683177	11701705	+
26	chr19	53421997	53446403	+
29	chr2	58151450	58165772	+
30	chr9	32492792	32513916	+
31	chr7	83648028	83662876	+
32	chr1	138156118	138176556	+
33	chr3	101272822	101288382	+
35	chr1	138131122	138154062	+
36	chr3	95657861	95676747	+
37	chr1	91053186	91067240	+
39	chr3	103852869	103872691	+
42	chr8	126846150	126859338	+
45	chr15	73147085	73163641	+
49	chr5	65859327	65873369	+
52	chr8	81760485	81775439	+
55	chr16	52052881	52071497	+
56	chr11	99157988	99173008	+
57	chr15	6576763	6594607	+
59	chr19	11512192	11527208	+
60	chr11	46378896	46394396	+
62	chr15	74984475	75001381	+
66	chr13	24627244	24641728	+
67	chr2	34955078	34966062	+
68	chr2	73447337	73464887	+
71	chr8	84973933	84987631	+
76	chr6	99368099	99382509	+
78	chr11	22848843	22861713	+
81	chr4	102567586	102578624	+
82	chr1	106609548	106624038	+
83	chr6	99255511	99267273	+
84	chr15	66857070	66868590	+
86	chr4	130908673	130923787	+
87	chr2	11167261	11179301	+
90	chr2	11649803	11665119	+
91	chr4	63851860	63864568	+
92	chr4	63399697	63411083	+
101	chr3	60468824	60482248	+
102	chr3	106782973	106793357	+
103	chr1	165697583	165708383	+
104	chr1	60904485	60917819	+
107	chr11	53762015	53774187	+
114	chr17	52158279	52169719	+
115	chr1	164061875	164075641	+
118	chr1	171914297	171924941	+
120	chr10	6975214	6985032	+
121	chr6	127238907	127248247	+
122	chr11	61643568	61656914	+
123	chr12	16004832	16015744	+
124	chr11	99146974	99158074	+
129	chr1	52110961	52122953	+
133	chr6	129179829	129189613	+
135	chr2	79251940	79261652	+
142	chr1	88580355	88589963	+
143	chr14	121362049	121374647	+
144	chr14	27349135	27360851	+
145	chr7	125602771	125612395	+
151	chr13	63239435	63252085	+
154	chr1	58719334	58729800	+
157	chr16	23174198	23183696	+
159	chr1	53771237	53779709	+
160	chr15	67170892	67179604	+
162	chr1	106559828	106571216	+
169	chr2	43747319	43758731	+
172	chr4	32341525	32352827	+
180	chr11	83076842	83083078	+
183	chr2	93452770	93462440	+
185	chr6	87530263	87539761	+
192	chr1	43534865	43545529	+
194	chr11	88612646	88623456	+
195	chr1	106705893	106716647	+
198	chr19	53193004	53200616	+
200	chr10	12806333	12815487	+
201	chr13	24412692	24420492	+
203	chrX	167099677	167114073	+
206	chr15	27665889	27673353	+
208	chr16	49853498	49860764	+
209	chr13	24596815	24606625	+
211	chr18	32395551	32401059	+
214	chr5	105137150	105148590	+
221	chr11	68429883	68437275	+
222	chr9	96391789	96401405	+
224	chr10	7830590	7836954	+
225	chr4	32287733	32296745	+
227	chr17	29390335	29398323	+
228	chr11	98939898	98946852	+
230	chr2	132018369	132023945	+
231	chr9	13296309	13304473	+
239	chr1	132005582	132013862	+
247	chr6	136935365	136942571	+
249	chr19	11046840	11057026	+
256	chr8	14989329	14999093	+
263	chr16	10768461	10776173	+
264	chr1	165787568	165796294	+
267	chr9	107293954	107299734	+
268	chr3	106481436	106488214	+
269	chr7	31149221	31157529	+
270	chr4	32329718	32340100	+
276	chr1	54906785	54917181	+
277	chr10	19009288	19017182	+
280	chr3	115709187	115716795	+
285	chr12	107143376	107150310	+
289	chr5	112270567	112279903	+
292	chr16	10779659	10789115	+
302	chr7	142460417	142464945	+
303	chr11	34046146	34051520	+
304	chr6	108548801	108557485	+
308	chr9	32742397	32749411	+
311	chr5	125388030	125395542	+
312	chr3	88507809	88514649	+
314	chr8	88689878	88699150	+
316	chr1	52004142	52013026	+
319	chr9	32533222	32542884	+
320	chr1	60773522	60782376	+
323	chr2	11638083	11647929	+
326	chr7	75607842	75614902	+
329	chr11	55019756	55031468	+
333	chr10	14082500	14089448	+
336	chr11	55129439	55138863	+
337	chr11	11553536	11561098	+
338	chr16	52030674	52039138	+
340	chr12	76361021	76368853	+
341	chr6	87037143	87042941	+
343	chr7	75583164	75591356	+
344	chr13	112462715	112470179	+
345	chr1	82827568	82837816	+
351	chr1	54867323	54875741	+
352	chr6	140612543	140622981	+
355	chr15	80571676	80578674	+
356	chr2	11190408	11198684	+
357	chr7	143004638	143011760	+
360	chr1	180384819	180392761	+
361	chr5	115708846	115716976	+
365	chr8	3352343	3359143	+
369	chr18	80608349	80615921	+
370	chr12	51862667	51868437	+
371	chr4	11143076	11151314	+
372	chr12	98266666	98272894	+
374	chr8	25097762	25105222	+
375	chr4	129030536	129037204	+
377	chr19	25050287	25056363	+
380	chr3	68783221	68791613	+
385	chr13	45868324	45879338	+
387	chr19	57126918	57134212	+
391	chr11	30194090	30199968	+
392	chr10	6986364	6994016	+
393	chr16	10662375	10670689	+
396	chr1	80659563	80670481	+
399	chr6	127444307	127450007	+
402	chr15	66444080	66451220	+
403	chr12	107989650	107998166	+
404	chr11	46305016	46312600	+
407	chr6	72951216	72958770	+
409	chr4	32276428	32286488	+
412	chr2	11158863	11164185	+
415	chr19	57114522	57121872	+
417	chr14	60707512	60713080	+
419	chr10	42859398	42865596	+
424	chr4	123557758	123566556	+
426	chr1	155049637	155057719	+
428	chr6	31121913	31128495	+
436	chr13	109819311	109825083	+
439	chr10	7822527	7830067	+
440	chr11	32552270	32559876	+
445	chr5	100634351	100639497	+
448	chr1	125463619	125471103	+
449	chr13	32998429	33007813	+
450	chr12	15811570	15818806	+
451	chr13	51796777	51803457	+
459	chr8	126829280	126837052	+
460	chr19	8980851	8986155	+
463	chr8	15015064	15022320	+
468	chr4	156006921	156015431	+
470	chr16	35867770	35873828	+
471	chr16	49965572	49973388	+
479	chr1	138188212	138194446	+
480	chr11	22811360	22816932	+
482	chr12	55486187	55494167	+
483	chr6	22349052	22356688	+
485	chrX	48135786	48144198	+
486	chr4	32162438	32169042	+
490	chr16	84702269	84708391	+
492	chr15	66849148	66856528	+
493	chr4	8910290	8917216	+
498	chr2	103655076	103660754	+
502	chr1	95662961	95669145	+
503	chr3	9825824	9831830	+
504	chr1	171767011	171774047	+
506	chr7	80775195	80783669	+
510	chr17	28695239	28702729	+
515	chr3	21960100	21966794	+
516	chr19	36373770	36379702	+
517	chr4	32387487	32396111	+
521	chr8	126863866	126872130	+
522	chr6	99050094	99058736	+
523	chr1	80753075	80761233	+
524	chr14	27334876	27341632	+
525	chr6	48767274	48772136	+
527	chr15	6567842	6574350	+
531	chr3	107034925	107041779	+
532	chr13	30789570	30795950	+
540	chr2	164074084	164080786	+
541	chrX	140536507	140545289	+
543	chr14	54120969	54129903	+
544	chr12	111157958	111164368	+
549	chr11	79126309	79133527	+
557	chr17	52061519	52068431	+
558	chr3	126658783	126664573	+
559	chr8	46938814	46944262	+
562	chr8	34141377	34148117	+
565	chr16	57468526	57474048	+
569	chr7	104308903	104317075	+
578	chr9	32734559	32740937	+
580	chr19	53459655	53465725	+
582	chr17	6777937	6784239	+
583	chr11	34007435	34012273	+
586	chr17	5974492	5978444	+
589	chr5	136169382	136174892	+
590	chr12	118372742	118379874	+
600	chr1	51473613	51480277	+
605	chr11	43380409	43387393	+
606	chr5	64803592	64808982	+
611	chr13	6631138	6637424	+
616	chr6	114917230	114922660	+
618	chr9	116133225	116140665	+
623	chr9	32590732	32596290	+
624	chr1	172512241	172515845	+
629	chr14	74942960	74949832	+
632	chr6	134364781	134369679	+
634	chr6	94680518	94687278	+
635	chr9	107302715	107310009	+
636	chr16	84580599	84586877	+
641	chr4	95301444	95306372	+
644	chr15	62168008	62172168	+
648	chr5	150598695	150603001	+
649	chr9	66277064	66283072	+
651	chr18	38404659	38410271	+
658	chr6	114903125	114909325	+
661	chr8	70671198	70676132	+
665	chr15	36360482	36366934	+
668	chr6	129271294	129277186	+
669	chr6	134033660	134040252	+
671	chr17	51825895	51832597	+
676	chr1	38661944	38666432	+
678	chr1	36306262	36312202	+
684	chr3	105795944	105802442	+
686	chr13	30829070	30836284	+
699	chr2	29644714	29651880	+
701	chr8	13673865	13679077	+
