id	chr_name	start	end	chromosome_id	tag_count_1um_pcc	id_1um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a
1	chr14	54144151	54237701	11	5629.0	1	6033.1	1.0	3814.4	1.0
5	chr15	66785013	66829145	16	1806.4	5	30.9	30167.0	263.1	1534.0
12	chr9	32492451	32526077	12	1333.4	12	1387.2	15.0	661.8	158.0
13	chr6	41530302	41560080	7	1322.4	13	1338.6	22.0	1224.9	22.0
19	chr1	131181833	131208315	1	1194.4	19	1026.2	58.0	169.9	4038.0
33	chr13	51728621	51757897	14	1066.9	33	94.1	13499.0	122.1	7893.0
36	chr2	6702987	6724789	2	1061.4	36	1113.8	43.0	1051.9	46.0
42	chr15	73145761	73165343	16	1028.9	42	1594.8	9.0	1572.9	9.0
46	chr14	75174564	75198322	11	993.0	46	1098.1	46.0	986.1	54.0
50	chr15	74916296	74939642	16	948.3	50	988.4	66.0	941.7	64.0
58	chr8	81765430	81790652	10	890.7	58	1135.4	41.0	998.8	52.0
68	chr8	72347532	72366734	10	854.2	68	1077.7	48.0	980.1	56.0
77	chr8	36161736	36184724	10	816.0	77	393.8	764.0	343.9	814.0
87	chr15	80598610	80621400	16	791.6	87	881.8	92.0	807.0	88.0
95	chr14	40946689	40961215	11	773.8	95	883.2	91.0	781.2	97.0
98	chr1	180350117	180372431	1	770.1	98	334.2	1131.0	111.7	9281.0
104	chr12	107960543	107984565	15	760.3	104	1749.7	8.0	762.7	103.0
111	chr9	63709968	63727990	12	741.4	111	752.6	144.0	730.3	119.0
112	chr2	173043473	173064641	2	739.5	112	54.7	21733.0	245.1	1797.0
118	chr14	60730368	60746420	11	723.6	118	784.3	123.0	1131.8	39.0
124	chr7	80197120	80213264	8	718.2	124	710.4	166.0	669.5	152.0
126	chr1	165800194	165822008	1	717.1	126	491.9	436.0	455.7	417.0
129	chr12	107115984	107142530	15	713.9	129	523.4	364.0	493.2	340.0
132	chr12	101004567	101020459	15	713.2	132	1434.5	14.0	1712.4	6.0
138	chr9	123923512	123943842	12	705.4	138	449.7	539.0	429.6	488.0
142	chr12	107916934	107937514	15	701.9	142	723.7	157.0	647.3	171.0
143	chr8	14983172	14998736	10	701.3	143	158.5	5729.0	131.2	6921.0
149	chr8	124263304	124284152	10	697.3	149	470.9	487.0	85.1	13588.0
