PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr11-15413	chr11	52261839	52283403	+	1331.9	35.727	intron (NM_009331, intron 2 of 9)	(TGGG)n|Simple_repeat|Simple_repeat	9950	NM_009331	21414	Mm.31630	NM_009331	ENSMUSG00000000782	Tcf7	AI465550|TCF-1|Tcf1	transcription factor 7, T cell specific	protein-coding	1394.2	1081.9	1431.08	1016.65	1734.57
chr5-15815	chr5	124010148	124036996	+	1212.1	28.193	intron (NM_177876, intron 1 of 3)	intron (NM_177876, intron 1 of 3)	8688	NM_177876	330192	Mm.4079	NM_177876	ENSMUSG00000066278	Vps37b	2300007F24Rik|AI415429|BC026744	vacuolar protein sorting 37B (yeast)	protein-coding	1302.82	1044.57	1260.92	1021.85	1485.11
chr15-18054	chr15	6574107	6594227	+	1043.4	36.753	intron (NM_011815, intron 1 of 17)	intron (NM_011815, intron 1 of 17)	4320	NM_001278269	23880	Mm.170905	NM_011815	0	Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding	1084.24	857.37	1148.7	907.48	1269.85
chr6-12079	chr6	48673432	48690382	+	935.9	38.997	Intergenic	Intergenic	-2671	NM_175048	107526	Mm.333048	NM_174990	ENSMUSG00000054435	Gimap4	AU019574|E430007K16Rik|Ian-1|Ian1|Imap4	GTPase, IMAP family member 4	protein-coding	1053.99	742.0	1022.33	749.78	1137.19
chr1-12697	chr1	53769852	53785568	+	799.5	14.547	intron (NM_133810, intron 1 of 7)	intron (NM_133810, intron 1 of 7)	7505	NM_133810	98267	Mm.25559	NM_133810	ENSMUSG00000026094	Stk17b	3110009A03Rik|AI120141|Drak2	serine/threonine kinase 17b (apoptosis-inducing)	protein-coding	841.58	597.22	918.77	622.12	933.61
chr5-15420	chr5	113823328	113833804	+	743.6	32.766999999999996	intron (NM_009151, intron 1 of 1)	intron (NM_009151, intron 1 of 1)	1935	NM_009151	20345	Mm.332590	NM_009151	ENSMUSG00000048163	Selplg	CD162|Psgl-1|Psgl1|Selp1|Selpl	selectin, platelet (p-selectin) ligand	protein-coding	834.79	617.58	839.4	567.82	918.6
chr10-30671	chr10	128736030	128750948	+	706.9	32.64	intron (NM_016811, intron 1 of 23)	intron (NM_016811, intron 1 of 23)	567	NM_016811	13139	Mm.291235	NM_016811	ENSMUSG00000025357	Dgka	80kDa|AW146112|Dagk1	diacylglycerol kinase, alpha	protein-coding	799.6	542.36	779.63	622.12	802.62
chr4-14270	chr4	130912186	130923380	+	684.4	22.893	intron (NM_010686, intron 1 of 7)	intron (NM_010686, intron 1 of 7)	4449	NM_010686	16792	Mm.271868	NM_010686	ENSMUSG00000028581	Laptm5	E3	lysosomal-associated protein transmembrane 5	protein-coding	766.26	546.32	735.38	580.53	837.67
chr15-2687	chr15	80571558	80584774	+	667.1	15.4	intron (NM_001289442, intron 1 of 7)	intron (NM_001289442, intron 1 of 7)	5569	NM_001289442	17444	Mm.12947	NM_010815	ENSMUSG00000042351	Grap2	GRAP-2|GRB2L|GRBLG|GRID|Gads|GrbX|Grf40|GrpL|Mona|P38	GRB2-related adaptor protein 2	protein-coding	743.41	564.98	733.56	559.74	752.56
chr15-3687	chr15	77830809	77841781	+	666.9	31.41	intron (NM_022410, intron 1 of 40)	intron (NM_022410, intron 1 of 40)	5880	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding	736.0	525.96	679.27	562.05	778.43
chr1-5466	chr1	165699999	165710639	+	645.7	34.28	intron (NM_001038846, intron 1 of 5)	intron (NM_001038846, intron 1 of 5)	2775	NM_178593	226594	Mm.265552	NM_178593	ENSMUSG00000040723	Rcsd1	A430105K13Rik|BC025872	RCSD domain containing 1	protein-coding	713.77	547.45	743.6	548.18	657.45
