id	chr_name	start	end	chromosome_id	tag_count_1um_pcc	id_1um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a
2	chr9	32692704	32752634	12	2532.6	2	2472.8	2.0	2246.5	2.0
3	chr11	11687045	11743539	13	2036.0	3	2153.9	3.0	1962.2	3.0
4	chr1	138126403	138180881	1	1874.8	4	2058.8	4.0	1868.7	4.0
6	chr11	118205807	118249655	13	1786.0	6	1913.8	5.0	1847.1	5.0
7	chr11	117316781	117351761	13	1628.7	7	1439.3	13.0	1641.9	7.0
8	chr7	63893824	63937778	8	1571.3	8	1881.5	6.0	1544.1	10.0
9	chr11	46365972	46408324	13	1439.2	9	1344.4	21.0	74.9	15572.0
10	chr5	65855810	65890676	6	1368.2	10	1579.4	10.0	1453.6	11.0
11	chr6	48717152	48750040	7	1339.7	11	1371.7	17.0	1276.2	17.0
14	chr11	52259902	52288556	13	1280.2	14	1210.9	35.0	1152.2	35.0
15	chr12	73583871	73618091	15	1261.7	15	1283.4	25.0	1170.7	33.0
16	chr12	108625950	108657972	15	1230.2	16	137.7	7600.0	1028.7	48.0
17	chr2	3708831	3732913	2	1210.9	17	1279.0	27.0	1177.2	32.0
18	chr7	125586728	125614470	8	1195.9	18	146.8	6682.0	1099.4	41.0
20	chr2	167929717	167956759	2	1190.1	20	1082.5	47.0	1008.2	50.0
21	chr11	22833523	22861847	13	1184.8	21	1240.8	31.0	1131.8	38.0
22	chr3	101271587	101298589	4	1181.6	22	1260.2	29.0	1191.9	29.0
23	chr18	75365385	75395757	20	1171.6	23	1333.1	23.0	1201.8	28.0
24	chr15	6567546	6594674	16	1158.3	24	1526.5	11.0	1155.0	34.0
25	chr3	89378145	89397229	4	1155.5	25	1279.2	26.0	1207.9	27.0
26	chr5	124009389	124037851	6	1155.3	26	1223.5	33.0	1136.0	37.0
27	chr1	165687946	165713342	1	1152.7	27	255.2	2024.0	803.4	91.0
28	chr11	87741864	87762544	13	1118.8	28	1113.4	44.0	1010.4	49.0
29	chr2	26482009	26505291	2	1117.1	29	1066.6	51.0	860.6	74.0
30	chr1	43444287	43476415	1	1113.8	30	212.8	3014.0	338.8	845.0
31	chr15	101248931	101274175	16	1112.1	31	52.9	22201.0	269.5	1450.0
32	chr11	68430779	68454885	13	1098.6	32	1060.3	52.0	748.6	108.0
34	chr2	93442617	93463829	2	1066.2	34	152.0	6210.0	780.6	98.0
35	chr14	121353078	121379046	11	1062.8	35	1131.6	42.0	1036.6	47.0
37	chr17	34182410	34207362	18	1059.1	37	1066.8	50.0	984.6	55.0
38	chr11	98935570	98956438	13	1049.7	38	1199.0	36.0	1111.8	40.0
39	chr14	79515119	79540169	11	1046.9	39	1113.0	45.0	1182.8	31.0
40	chr11	34761157	34786405	13	1036.2	40	1153.4	37.0	1059.0	44.0
41	chr16	94571437	94607139	17	1034.3	41	636.7	227.0	603.9	208.0
43	chr1	136126270	136143688	1	1012.6	43	1027.6	56.0	968.3	58.0
44	chr2	29618442	29643092	2	1009.1	44	1016.9	61.0	956.7	62.0
45	chr11	61640907	61662147	13	994.3	45	1003.6	64.0	54.8	20321.0
47	chr1	91051886	91068460	1	972.2	47	952.9	71.0	909.9	69.0
48	chr2	166649587	166674807	2	962.0	48	254.6	2036.0	1055.5	45.0
49	chr13	24623311	24648037	14	952.4	49	1500.1	12.0	1381.6	12.0
51	chr3	88137672	88154060	4	948.0	51	1026.6	57.0	992.5	53.0
52	chr18	80698673	80716453	20	925.2	52	633.2	231.0	825.7	83.0
53	chr11	34041559	34067639	13	921.3	53	395.0	761.0	64.1	17947.0
54	chr2	173017240	173039730	2	910.7	54	1036.5	53.0	180.8	3526.0
55	chr2	132011890	132031506	2	908.3	55	1069.0	49.0	967.3	60.0
56	chr4	139190560	139215848	5	902.6	56	862.4	96.0	774.5	100.0
57	chr1	54903130	54926792	1	895.9	57	520.2	373.0	854.6	77.0
59	chr4	63396638	63411708	5	883.7	59	843.6	102.0	1276.7	16.0
60	chr5	112269880	112289384	6	883.1	60	1028.6	55.0	1250.6	18.0
61	chr15	86053552	86073022	16	880.5	61	905.6	82.0	842.1	81.0
62	chr5	123124804	123142364	6	873.1	62	937.5	76.0	1066.4	43.0
63	chr4	149688318	149706542	5	862.9	63	938.3	75.0	858.3	75.0
64	chr11	86572878	86597778	13	862.7	64	819.2	112.0	801.8	93.0
65	chr1	164061170	164085702	1	861.8	65	959.3	70.0	879.0	73.0
66	chr14	121945784	121967844	11	860.3	66	947.0	73.0	850.9	79.0
