id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc
3	chr9	32696540	32723560	12	1938.1	3	1798.8	3.0	1231.8	4.0	2220.4	3.0	1118.9	4.0
4	chr5	124010161	124037009	6	1485.9	4	1078.0	10.0	561.6	32.0	866.3	31.0	410.7	137.0
6	chr6	48673703	48693009	7	1233.1	6	1084.4	9.0	312.2	196.0	1035.5	12.0	340.2	217.0
7	chr15	6577494	6593872	16	1162.2	7	1060.6	11.0	689.4	16.0	970.0	17.0	667.8	21.0
8	chr7	68272546	68292052	8	1160.6	8	1158.3	7.0	457.0	57.0	629.2	90.0	424.0	127.0
9	chr6	38339584	38355734	7	1133.9	9	975.8	16.0	643.0	20.0	915.1	21.0	672.4	19.0
10	chr3	89378389	89397077	4	1088.8	10	797.4	39.0	520.9	43.0	715.6	65.0	533.2	59.0
11	chr9	109049115	109060499	12	1081.3	11	985.8	14.0	704.7	13.0	1001.5	15.0	814.5	10.0
14	chr19	4293644	4305978	21	1034.6	14	832.6	32.0	586.5	29.0	895.9	27.0	571.9	47.0
15	chr11	11686476	11700924	13	1027.1	15	960.3	18.0	687.1	17.0	817.5	39.0	638.3	27.0
16	chr1	91052640	91066504	1	1009.5	16	936.1	20.0	722.8	12.0	1007.1	14.0	813.3	11.0
17	chr11	99143853	99157171	13	966.2	17	702.1	63.0	187.8	758.0	590.3	106.0	236.3	580.0
18	chr11	52272083	52282669	13	965.3	18	1457.1	5.0	600.6	25.0	1441.1	4.0	594.4	35.0
19	chr1	53769975	53785533	1	942.8	19	948.9	19.0	320.1	183.0	862.6	32.0	584.6	40.0
20	chr5	65860889	65876165	6	942.8	20	824.3	34.0	291.3	239.0	761.9	54.0	444.2	105.0
21	chr7	31145595	31157383	8	934.4	21	787.8	41.0	306.5	201.0	760.1	55.0	281.3	365.0
22	chr4	59189725	59206923	5	932.8	22	511.4	148.0	334.2	165.0	765.6	53.0	323.5	252.0
23	chr9	44976441	44987113	12	932.8	23	819.3	35.0	588.7	28.0	807.6	41.0	575.9	45.0
24	chr19	11478549	11495721	21	932.8	24	792.4	40.0	281.1	271.0	838.5	35.0	307.3	288.0
27	chr4	130910258	130924662	5	916.9	27	779.6	43.0	542.9	36.0	811.3	40.0	584.0	41.0
28	chr1	164060757	164079287	1	911.9	28	703.9	61.0	226.2	482.0	695.2	70.0	201.0	882.0
29	chr4	149692242	149705814	5	911.1	29	896.4	24.0	436.6	68.0	874.3	30.0	486.4	79.0
31	chr5	113823480	113833624	6	909.4	31	848.1	29.0	375.5	107.0	826.1	36.0	561.5	52.0
33	chr5	112270149	112288871	6	879.4	33	396.9	316.0	362.0	130.0	421.1	268.0	342.5	210.0
34	chr1	136132024	136142484	1	876.0	34	802.4	38.0	593.3	26.0	800.2	43.0	613.5	31.0
36	chr4	63397445	63406689	5	857.7	36	973.5	17.0	733.0	11.0	1007.7	13.0	732.5	15.0
37	chr2	11168772	11182856	2	847.7	37	629.1	83.0	259.6	338.0	560.0	127.0	412.4	135.0
38	chr2	173019047	173031549	2	841.0	38	762.3	47.0	446.2	62.0	821.2	38.0	571.3	48.0
39	chr7	125550421	125561467	8	837.7	39	785.6	42.0	588.7	27.0	842.8	34.0	656.2	23.0
40	chr6	125229674	125242326	7	826.0	40	702.1	62.0	558.8	34.0	730.4	62.0	540.7	57.0
41	chr11	98936313	98946601	13	820.1	41	1053.8	12.0	701.3	14.0	941.0	19.0	715.7	16.0
42	chr8	123025194	123041368	10	816.8	42	547.9	124.0	466.0	53.0	547.7	135.0	321.2	257.0
43	chr10	128737186	128751066	9	807.6	43	769.6	46.0	503.3	45.0	799.0	44.0	607.7	32.0
44	chr10	80691380	80701506	9	806.0	44	921.1	22.0	531.6	40.0	747.1	59.0	589.2	38.0
45	chr12	112852893	112862591	15	803.5	45	697.1	65.0	603.4	24.0	989.8	16.0	801.8	12.0
46	chr4	133619282	133632704	5	802.6	46	775.1	45.0	416.8	75.0	785.4	48.0	476.6	83.0
47	chr11	118236448	118248270	13	792.6	47	1499.5	4.0	1294.5	2.0	774.3	49.0	639.5	26.0
48	chr15	77830930	77841626	16	788.4	48	696.2	66.0	534.4	39.0	757.0	57.0	577.1	43.0
49	chr11	103171460	103179590	13	769.3	49	716.2	58.0	540.7	38.0	704.5	69.0	530.9	61.0
50	chr7	28374223	28384421	8	753.4	50	731.3	56.0	411.7	80.0	708.2	66.0	575.9	44.0
51	chr15	80571896	80585156	16	752.6	51	626.8	85.0	559.9	33.0	766.3	52.0	392.2	151.0
52	chr19	5840423	5850683	21	744.2	52	701.6	64.0	268.1	316.0	661.9	80.0	267.4	425.0
53	chr4	102566928	102577272	5	743.4	53	681.6	70.0	250.0	383.0	634.1	88.0	304.4	295.0
55	chr5	139376668	139389470	6	740.0	55	729.0	57.0	553.1	35.0	734.8	61.0	574.2	46.0
