	Chr	Start	End	Strand
0	chr14	54188639	54237983	+
1	chr14	54143129	54187413	+
2	chr6	41530297	41560047	+
3	chr9	32694702	32734546	+
4	chr9	32904435	32944129	+
5	chr6	48717381	48749831	+
6	chr1	160041077	160062871	+
7	chr15	66792648	66816606	+
8	chr19	11476815	11502133	+
9	chr12	108626017	108650183	+
10	chr6	129222385	129243571	+
11	chr11	86573248	86598842	+
12	chr14	79513981	79539417	+
13	chr12	107117644	107141762	+
14	chr11	87741855	87759333	+
15	chr15	74916633	74940089	+
16	chr6	99384199	99411521	+
17	chr14	75174482	75199074	+
18	chr4	32247792	32269152	+
19	chr14	121944522	121966608	+
20	chr2	3713242	3733074	+
21	chr2	6702048	6722278	+
22	chr7	68273379	68289877	+
23	chr11	11713639	11736439	+
24	chr11	11683177	11701705	+
25	chr10	96361453	96379613	+
26	chr19	53421997	53446403	+
27	chr9	123923083	123945073	+
28	chr10	42882286	42902982	+
29	chr2	58151450	58165772	+
30	chr9	32492792	32513916	+
31	chr7	83648028	83662876	+
32	chr1	138156118	138176556	+
33	chr3	101272822	101288382	+
34	chr12	73705746	73723108	+
35	chr1	138131122	138154062	+
36	chr3	95657861	95676747	+
37	chr1	91053186	91067240	+
39	chr3	103852869	103872691	+
40	chr10	14040458	14060528	+
41	chr2	58172552	58194884	+
42	chr8	126846150	126859338	+
43	chr4	59323393	59340447	+
44	chr10	96396864	96412626	+
45	chr15	73147085	73163641	+
46	chr6	48671878	48691084	+
49	chr5	65859327	65873369	+
50	chr2	29619370	29637084	+
51	chr2	127309899	127326719	+
52	chr8	81760485	81775439	+
53	chr10	96684965	96699873	+
54	chr6	99424482	99442402	+
55	chr16	52052881	52071497	+
56	chr11	99157988	99173008	+
57	chr15	6576763	6594607	+
58	chr1	60745139	60762859	+
59	chr19	11512192	11527208	+
60	chr11	46378896	46394396	+
61	chr14	27226785	27243337	+
62	chr15	74984475	75001381	+
64	chr10	127131961	127146851	+
65	chr4	133618417	133633559	+
66	chr13	24627244	24641728	+
67	chr2	34955078	34966062	+
68	chr2	73447337	73464887	+
71	chr8	84973933	84987631	+
73	chr2	11213369	11229723	+
74	chr15	77829512	77843074	+
75	chr11	79518494	79531792	+
76	chr6	99368099	99382509	+
77	chr8	111567344	111585452	+
78	chr11	22848843	22861713	+
79	chr14	121926824	121940072	+
80	chr6	129207617	129220947	+
81	chr4	102567586	102578624	+
82	chr1	106609548	106624038	+
83	chr6	99255511	99267273	+
84	chr15	66857070	66868590	+
85	chr11	34765072	34777990	+
86	chr4	130908673	130923787	+
87	chr2	11167261	11179301	+
88	chr8	106050658	106064820	+
89	chr4	40832061	40846877	+
90	chr2	11649803	11665119	+
91	chr4	63851860	63864568	+
92	chr4	63399697	63411083	+
93	chr10	19060490	19070262	+
94	chr6	91106511	91118279	+
95	chr19	10731299	10742597	+
96	chr10	62501300	62512704	+
97	chr12	79639485	79652751	+
98	chr14	60730152	60741904	+
99	chr7	104285511	104299817	+
100	chr8	81776063	81790305	+
101	chr3	60468824	60482248	+
102	chr3	106782973	106793357	+
103	chr1	165697583	165708383	+
104	chr1	60904485	60917819	+
105	chr17	84326617	84341869	+
106	chr11	54952457	54964715	+
107	chr11	53762015	53774187	+
108	chr15	77796188	77807656	+
109	chr5	113822330	113833898	+
110	chr11	107447323	107461833	+
111	chr15	86059614	86071838	+
112	chr12	73595636	73607920	+
113	chr8	72157726	72170310	+
114	chr17	52158279	52169719	+
115	chr1	164061875	164075641	+
116	chr15	74952646	74962032	+
117	chr7	16399566	16407836	+
118	chr1	171914297	171924941	+
119	chr11	80066847	80081887	+
120	chr10	6975214	6985032	+
121	chr6	127238907	127248247	+
122	chr11	61643568	61656914	+
123	chr12	16004832	16015744	+
