id	chr_name	start	end	chromosome_id	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_10um_pcc	id_10um_pcc
3	chr9	32696659	32732927	12	2220.4	3	1938.1	3.0	1798.8	3.0	1231.8	4.0	1118.9	4.0
4	chr11	52260763	52283151	13	1441.1	4	965.3	18.0	1457.1	5.0	600.6	25.0	594.4	35.0
5	chr11	22838769	22859527	13	1213.3	5	475.6	207.0	1217.1	6.0	830.2	8.0	1045.5	5.0
6	chr17	34187889	34207675	18	1212.1	6	575.7	123.0	857.6	28.0	234.1	439.0	450.0	97.0
11	chr15	101252940	101273460	16	1043.5	11	226.9	1163.0	824.8	33.0	342.7	157.0	887.8	8.0
12	chr6	48673758	48689996	7	1035.5	12	1233.1	6.0	1084.4	9.0	312.2	196.0	340.2	217.0
13	chr4	63396595	63410151	5	1007.7	13	857.7	36.0	973.5	17.0	733.0	11.0	732.5	15.0
14	chr1	91052689	91066725	1	1007.1	14	1009.5	16.0	936.1	20.0	722.8	12.0	813.3	11.0
15	chr9	109048957	109060755	12	1001.5	15	1081.3	11.0	985.8	14.0	704.7	13.0	814.5	10.0
16	chr12	112851532	112868654	15	989.8	16	803.5	45.0	697.1	65.0	603.4	24.0	801.8	12.0
17	chr15	6578384	6594670	16	970.0	17	1162.2	7.0	1060.6	11.0	689.4	16.0	667.8	21.0
18	chr13	30746168	30763700	14	945.9	18	326.2	529.0	354.5	412.0	219.4	531.0	839.9	9.0
19	chr11	98938054	98950640	13	941.0	19	820.1	41.0	1053.8	12.0	701.3	14.0	715.7	16.0
20	chr2	34951258	34966194	2	936.1	20	695.8	68.0	863.6	27.0	608.0	23.0	712.8	17.0
21	chr6	38340600	38353912	7	915.1	21	1133.9	9.0	975.8	16.0	643.0	20.0	672.4	19.0
22	chr2	26488594	26503808	2	910.1	22	438.0	258.0	777.8	44.0	664.0	18.0	740.0	14.0
23	chr2	93448908	93463920	2	908.3	23	639.9	87.0	735.8	54.0	747.7	10.0	761.9	13.0
24	chr2	58147619	58164147	2	905.8	24	665.8	78.0	882.7	25.0	259.0	342.0	588.6	39.0
25	chr17	51813415	51830055	18	900.9	25	720.9	62.0	923.3	21.0	64.5	7101.0	624.4	29.0
26	chr11	117325478	117343152	13	898.4	26	729.2	61.0	677.4	71.0	791.8	9.0	323.5	253.0
27	chr19	4293765	4305687	21	895.9	27	1034.6	14.0	832.6	32.0	586.5	29.0	571.9	47.0
28	chr11	69406204	69421192	13	878.6	28	437.2	261.0	836.7	31.0	411.7	81.0	436.1	112.0
30	chr4	149692345	149706703	5	874.3	30	911.1	29.0	896.4	24.0	436.6	68.0	486.4	79.0
31	chr5	124021420	124037488	6	866.3	31	1485.9	4.0	1078.0	10.0	561.6	32.0	410.7	137.0
32	chr1	53769204	53784872	1	862.6	32	942.8	19.0	948.9	19.0	320.1	183.0	584.6	40.0
33	chr12	107989765	108002861	15	854.6	33	891.1	32.0	840.3	30.0	654.3	19.0	626.7	28.0
34	chr7	125551370	125562502	8	842.8	34	837.7	39.0	785.6	42.0	588.7	27.0	656.2	23.0
35	chr19	11478785	11495737	21	838.5	35	932.8	24.0	792.4	40.0	281.1	271.0	307.3	288.0
36	chr5	113824126	113834470	6	826.1	36	909.4	31.0	848.1	29.0	375.5	107.0	561.5	52.0
38	chr2	173017891	173032647	2	821.2	38	841.0	38.0	762.3	47.0	446.2	62.0	571.3	48.0
39	chr11	11686682	11698118	13	817.5	39	1027.1	15.0	960.3	18.0	687.1	17.0	638.3	27.0
40	chr4	130910435	130923291	5	811.3	40	916.9	27.0	779.6	43.0	542.9	36.0	584.0	41.0
41	chr9	44976502	44987030	12	807.6	41	932.8	23.0	819.3	35.0	588.7	28.0	575.9	45.0
42	chr2	32535884	32546542	2	807.0	42	923.6	26.0	751.8	49.0	575.2	31.0	566.1	51.0
43	chr1	136132131	136143693	1	800.2	43	876.0	34.0	802.4	38.0	593.3	26.0	613.5	31.0
44	chr10	128737978	128751856	9	799.0	44	807.6	43.0	769.6	46.0	503.3	45.0	607.7	32.0
45	chr3	101274440	101289338	4	797.1	45	666.6	76.0	817.0	36.0	617.6	21.0	670.1	20.0
47	chr2	167932209	167945231	2	787.2	47	482.2	199.0	465.8	205.0	435.5	69.0	664.9	22.0
48	chr4	133619324	133632734	5	785.4	48	802.6	46.0	775.1	45.0	416.8	75.0	476.6	83.0
49	chr11	118236646	118248448	13	774.3	49	792.6	47.0	1499.5	4.0	1294.5	2.0	639.5	26.0
50	chr19	10731418	10743288	21	770.6	50	334.6	496.0	682.0	69.0	445.7	63.0	648.1	25.0
51	chr11	54949427	54963949	13	768.7	51	479.7	201.0	734.5	55.0	353.5	143.0	328.7	240.0
52	chr15	80571312	80585078	16	766.3	52	752.6	51.0	626.8	85.0	559.9	33.0	392.2	151.0
53	chr4	59189641	59206373	5	765.6	53	932.8	22.0	511.4	148.0	334.2	165.0	323.5	252.0
54	chr5	65862655	65874161	6	761.9	54	942.8	20.0	824.3	34.0	291.3	239.0	444.2	105.0
55	chr7	31144905	31157237	8	760.1	55	934.4	21.0	787.8	41.0	306.5	201.0	281.3	365.0
57	chr15	77830802	77841824	16	757.0	57	788.4	48.0	696.2	66.0	534.4	39.0	577.1	43.0
58	chr9	107294257	107309223	12	747.7	58	279.5	744.0	632.3	81.0	486.4	48.0	515.3	64.0
59	chr10	80691591	80702067	9	747.1	59	806.0	44.0	921.1	22.0	531.6	40.0	589.2	38.0
60	chr8	119825719	119841247	10	743.4	60	443.9	248.0	400.1	309.0	306.5	202.0	593.8	36.0
61	chr5	139376837	139390013	6	734.8	61	740.0	55.0	729.0	57.0	553.1	35.0	574.2	46.0
62	chr6	125229918	125239824	7	730.4	62	826.0	40.0	702.1	62.0	558.8	34.0	540.7	57.0
63	chr7	125600690	125610378	8	726.7	63	713.4	64.0	651.4	75.0	521.4	42.0	533.7	58.0
64	chr1	165699580	165710592	1	722.4	64	656.6	80.0	742.2	51.0	541.2	37.0	545.3	56.0
65	chr3	89381569	89391913	4	715.6	65	1088.8	10.0	797.4	39.0	520.9	43.0	533.2	59.0
66	chr7	28373897	28384753	8	708.2	66	753.4	50.0	731.3	56.0	411.7	80.0	575.9	44.0
67	chr18	82469802	82483298	20	707.0	67	336.2	494.0	450.3	231.0	350.6	148.0	402.0	141.0
68	chr11	61650227	61662075	13	706.4	68	588.2	112.0	688.4	67.0	398.7	86.0	699.5	18.0
69	chr11	103171513	103179541	13	704.5	69	769.3	49.0	716.2	58.0	540.7	38.0	530.9	61.0
70	chr1	164061834	164075768	1	695.2	70	911.9	28.0	703.9	61.0	226.2	482.0	201.0	882.0
71	chr2	9868829	9880989	2	690.3	71	587.4	113.0	606.7	95.0	350.6	147.0	513.5	65.0
72	chr3	95658988	95669472	4	689.1	72	675.8	70.0	704.4	60.0	480.7	50.0	523.9	62.0
73	chr7	19813893	19825329	8	687.2	73	732.5	58.0	707.6	59.0	450.7	60.0	463.8	90.0
75	chr1	165788167	165799227	1	673.6	75	590.7	110.0	566.6	110.0	394.2	89.0	376.6	171.0
77	chr2	3713313	3723945	2	669.9	77	460.5	227.0	672.9	72.0	516.3	44.0	549.3	55.0
78	chr7	24369746	24384200	8	666.8	78	457.2	233.0	366.3	378.0	380.6	99.0	259.4	452.0
79	chr9	57636488	57644556	12	664.4	79	688.3	69.0	618.6	88.0	501.1	46.0	503.1	73.0
80	chr19	5840615	5850479	21	661.9	80	744.2	52.0	701.6	64.0	268.1	316.0	267.4	425.0
81	chr15	74987853	74999987	16	661.3	81	465.6	221.0	618.1	89.0	317.3	189.0	376.6	174.0
82	chr19	5794160	5807600	21	658.8	82	629.1	93.0	648.3	77.0	237.0	428.0	456.9	93.0
84	chr17	6771313	6783513	18	652.6	84	453.9	237.0	472.6	192.0	345.6	154.0	452.3	96.0
85	chr7	30414911	30424745	8	651.4	85	540.6	144.0	593.1	101.0	457.5	56.0	426.3	124.0
87	chr11	6516014	6528764	13	639.7	87	255.3	904.0	372.7	362.0	363.1	125.0	511.8	67.0
88	chr4	102566826	102576788	5	634.1	88	743.4	53.0	681.6	70.0	250.0	383.0	304.4	295.0
90	chr7	68273347	68284111	8	629.2	90	1160.6	8.0	1158.3	7.0	457.0	57.0	424.0	127.0
91	chr11	6557513	6569615	13	629.2	91	668.3	73.0	599.9	99.0	354.6	141.0	396.3	146.0
92	chr11	86575879	86586349	13	624.9	92	418.8	301.0	759.1	48.0	413.4	79.0	491.6	77.0
93	chr17	35196200	35206180	18	624.9	93	311.2	588.0	738.1	52.0	451.9	59.0	492.7	76.0
94	chr19	53529279	53539441	21	624.2	94	254.5	914.0	595.3	100.0	454.1	58.0	618.1	30.0
95	chr11	46379903	46389177	13	619.9	95	675.8	71.0	996.3	13.0	334.2	166.0	332.7	235.0
96	chr11	34045470	34056424	13	612.5	96	473.1	212.0	549.3	122.0	356.9	138.0	506.0	71.0
97	chr17	47503590	47514370	18	611.3	97	434.7	269.0	639.6	78.0	280.5	275.0	296.3	317.0
98	chr1	36759888	36768676	1	610.7	98	494.8	187.0	552.5	118.0	443.4	65.0	582.8	42.0
99	chr15	97820591	97831049	16	607.0	99	168.5	2275.0	195.3	1668.0	276.6	287.0	507.2	69.0
100	chr19	11515528	11525942	21	603.9	100	372.1	395.0	682.9	68.0	359.7	136.0	449.4	98.0
101	chr10	60346271	60354685	9	602.6	101	571.5	126.0	544.7	126.0	386.8	94.0	460.4	92.0
102	chr10	62499867	62509359	9	598.9	102	479.7	200.0	534.7	135.0	259.6	341.0	311.4	279.0
103	chr15	5236781	5246143	16	597.1	103	511.4	172.0	482.2	180.0	248.8	391.0	314.2	273.0
105	chr2	117334369	117343673	2	592.1	105	582.4	117.0	487.7	174.0	335.9	164.0	383.6	160.0
106	chr11	99143426	99154398	13	590.3	106	966.2	17.0	702.1	63.0	187.8	758.0	236.3	580.0
107	chr4	155213127	155221801	5	588.4	107	587.4	114.0	579.4	104.0	462.6	54.0	446.5	103.0
108	chr5	105134341	105147689	6	586.6	108	498.1	183.0	407.8	296.0	269.8	311.0	355.8	194.0
109	chr14	79514834	79523466	11	582.3	109	670.8	72.0	635.0	80.0	431.5	71.0	432.1	119.0
110	chr16	92817757	92827775	17	581.0	110	411.3	311.0	575.7	107.0	466.6	52.0	362.8	190.0
111	chr4	156025490	156034038	5	580.4	111	206.1	1447.0	533.3	137.0	481.8	49.0	487.0	78.0
112	chr15	78563644	78574372	16	580.4	112	610.7	103.0	527.4	140.0	472.8	51.0	238.0	570.0
114	chr2	32077413	32084091	2	576.7	114	599.0	105.0	549.7	121.0	406.1	83.0	418.2	133.0
115	chr11	103259994	103266922	13	576.7	115	614.9	100.0	555.6	116.0	401.0	85.0	443.1	106.0
116	chr7	45119563	45128457	8	575.5	116	216.9	1290.0	421.5	275.0	429.8	72.0	473.7	86.0
117	chr3	106482671	106490519	4	574.8	117	649.1	84.0	630.0	82.0	415.7	77.0	476.0	84.0
118	chr3	96554636	96564618	4	574.2	118	509.8	173.0	432.9	255.0	247.7	395.0	495.6	75.0
119	chr7	143004283	143010873	8	573.6	119	574.9	124.0	583.5	103.0	395.9	88.0	454.0	95.0
120	chr4	129567105	129578007	5	571.8	120	559.0	132.0	500.9	158.0	382.3	97.0	448.3	100.0
121	chr4	134091833	134101139	5	569.9	121	372.9	389.0	565.2	111.0	315.0	194.0	340.2	216.0
122	chr12	108633937	108643605	15	569.9	122	616.6	99.0	473.5	190.0	321.8	182.0	433.8	115.0
124	chr13	24633794	24643342	14	568.7	124	630.8	92.0	336.7	467.0	258.5	345.0	212.6	774.0
