PeakID (cmd=annotatePeaks.pl enhancers_only_10um_k99a.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
15212	chr8	84572654	84573154	+	0	NA	intron (NM_001252060, intron 24 of 47)	intron (NM_001252060, intron 24 of 47)	89948	NM_010499	15936	Mm.399	NM_010499	ENSMUSG00000053560	Ier2	AI317238|Ch1|Pip92	immediate early response 2	protein-coding
15698	chr4	11672410	11672910	+	0	NA	Intergenic	Intergenic	-31787	NM_010276	14579	Mm.247486	NM_010276	ENSMUSG00000028214	Gem	AV020497	GTP binding protein (gene overexpressed in skeletal muscle)	protein-coding
14941	chr19	34205676	34206176	+	0	NA	intron (NM_029682, intron 1 of 10)	intron (NM_029682, intron 1 of 10)	13656	NM_029682	76630	Mm.130952	NM_029682	ENSMUSG00000024776	Stambpl1	1700095N21Rik|8230401J17Rik|ALMalpha|AMSH-FP	STAM binding protein like 1	protein-coding
14967	chr2	12414915	12415415	+	0	NA	intron (NM_024185, intron 1 of 14)	intron (NM_024185, intron 1 of 14)	4295	NM_024185	66960	Mm.34059	NM_024185	ENSMUSG00000026767	Fam188a	1810041E18Rik|2310047O13Rik|5830410F13Rik|AI447827|AW111958	family with sequence similarity 188, member A	protein-coding
13775	chr1	162304937	162305437	+	0	NA	intron (NM_001038619, intron 10 of 20)	intron (NM_001038619, intron 10 of 20)	81819	NR_029796	387210		NR_029796	miRBase:MI0000698	Mir214	Mirn214|mmu-mir-214	microRNA 214	ncRNA
14993	chr5	97095171	97095671	+	0	NA	intron (NM_198422, intron 6 of 6)	intron (NM_198422, intron 6 of 6)	16175	NM_198422	231474	Mm.332505	NM_198422	ENSMUSG00000055725	Paqr3	6330415A20Rik|AY424292|RKTG	progestin and adipoQ receptor family member III	protein-coding
15559	chr1	21038563	21039063	+	0	NA	intron (NM_177409, intron 1 of 10)	intron (NM_177409, intron 1 of 10)	40412	NM_177409	170829	Mm.185680	NM_177409		Tram2	C330003D03Rik	translocating chain-associating membrane protein 2	protein-coding
14829	chr11	5373134	5373634	+	0	NA	intron (NM_001290501, intron 1 of 8)	intron (NM_001290501, intron 1 of 8)	8356	NM_001290501	407821	Mm.216313	NM_001080924	ENSMUSG00000041961	Znrf3	Gm1167	zinc and ring finger 3	protein-coding
12883	chr4	137343861	137344495	+	0	NA	intron (NM_009861, intron 1 of 5)	MERVL_2A-int|LTR|ERVL	13581	NM_001243769	12540	Mm.1022	NM_009861	ENSMUSG00000006699	Cdc42	AI747189|AU018915	cell division cycle 42	protein-coding
14445	chr3	131202666	131203166	+	0	NA	intron (NM_001276402, intron 8 of 9)	intron (NM_001276402, intron 8 of 9)	69185	NM_008212	15107	Mm.260164	NM_008212	ENSMUSG00000027984	Hadh	AA409008|AU019341|AW742602|HCDH|Hadhsc|Schad	hydroxyacyl-Coenzyme A dehydrogenase	protein-coding
