	Chr	Start	End	Strand
68	chr9	107294452	107309392	+
89	chr19	53530500	53540780	+
109	chr15	101253115	101265521	+
253	chr2	152821950	152830970	+
362	chr11	60930850	60937436	+
374	chr1	171766319	171773401	+
458	chr1	191179208	191187004	+
655	chr3	101597799	101603825	+
662	chr10	80755748	80760108	+
727	chr4	156010943	156017413	+
777	chr2	153235596	153240580	+
804	chr1	58725424	58731600	+
833	chr11	100860643	100866235	+
859	chr19	53458294	53464060	+
886	chr3	87907415	87911925	+
909	chr8	120735145	120741029	+
933	chr3	20105563	20112229	+
999	chr13	43299430	43302732	+
1055	chr3	108440249	108445551	+
1074	chr12	3832539	3837823	+
1092	chr11	79128681	79134261	+
1102	chr3	65952756	65957316	+
1141	chr7	44816839	44820413	+
1155	chr3	31097437	31102437	+
1187	chr8	121903432	121907518	+
1267	chr15	59595397	59601347	+
1290	chr1	177790609	177795393	+
1363	chr8	116944414	116949098	+
1530	chr7	24884948	24888012	+
1535	chr13	30752297	30757015	+
1728	chr13	69531202	69534292	+
1729	chr18	80708907	80712783	+
1767	chr4	150926333	150930913	+
1895	chr19	6276995	6280083	+
1914	chr2	11644157	11648499	+
1918	chr4	83319048	83323906	+
1944	chr13	43785600	43789814	+
2014	chr16	84705539	84709749	+
2091	chr6	113698618	113702746	+
2180	chr17	36023716	36027558	+
2193	chr11	69667433	69670971	+
2233	chr9	40448156	40452382	+
2261	chr16	92059255	92063085	+
2304	chr15	103240724	103244404	+
2312	chr4	42948439	42952231	+
2321	chr2	103657442	103662242	+
2381	chr6	49260156	49263738	+
2394	chr17	27631320	27634908	+
2456	chr9	120126651	120130401	+
2552	chr9	120092042	120096736	+
2580	chr3	35762674	35767050	+
2604	chr14	61686116	61690106	+
2717	chr16	10665814	10670614	+
2768	chr13	43266672	43269986	+
2789	chr4	140702449	140705521	+
2876	chr4	132506458	132510778	+
2923	chr11	86590511	86594459	+
2994	chr3	35755044	35758354	+
3160	chr4	135268222	135271576	+
3266	chr17	45566982	45571790	+
3300	chr1	155049176	155051672	+
3397	chr10	127519467	127522645	+
3509	chr11	21239670	21242774	+
3602	chr5	3500134	3503680	+
3622	chr15	98774891	98779077	+
3634	chr2	167690825	167693869	+
3671	chr2	127322090	127325340	+
3674	chr2	101679530	101682560	+
3733	chr19	29454360	29457648	+
3781	chr4	145220280	145223000	+
3905	chr11	54061457	54064615	+
4088	chr11	97109520	97114512	+
4196	chr2	27403964	27407236	+
4221	chr9	107332772	107335020	+
4246	chr17	29080347	29082713	+
4267	chr4	155993767	155996355	+
4395	chr18	80713765	80716209	+
4482	chr1	97658766	97660772	+
4491	chr5	118358537	118361653	+
4505	chr10	121622888	121626088	+
4592	chr6	83314231	83316597	+
4700	chr11	4265576	4268526	+
4703	chr15	78474339	78477263	+
4730	chr10	82630712	82633490	+
4742	chr11	69981317	69983433	+
4751	chr13	30759466	30761672	+
4775	chr10	91120536	91123184	+
4849	chr5	34525474	34528704	+
4880	chr11	96827373	96830295	+
4905	chr1	165801428	165804098	+
5005	chr10	128644052	128647156	+
5007	chr9	96627348	96630622	+
5066	chr2	145903972	145906606	+
5176	chr6	122292003	122296147	+
5178	chr2	167630398	167632110	+
5206	chr8	85070829	85073381	+
5536	chr13	30543728	30546176	+
5545	chr11	23893523	23896105	+
5550	chr2	160646313	160649729	+
5561	chr11	53297787	53300095	+
5578	chr3	130708042	130710296	+
5594	chr8	111034097	111036473	+
5600	chr7	106550625	106553621	+
5622	chr7	25119437	25121749	+
5667	chr15	38471433	38473851	+
5675	chr9	57941083	57943475	+
5760	chr11	54213566	54215762	+
5790	chr10	80761764	80765610	+
5884	chr16	20536233	20538491	+
5898	chr3	51417285	51419407	+
5922	chr12	17544655	17547441	+
5957	chr1	135820268	135823344	+
5980	chr7	46033403	46035105	+
5992	chr8	69918852	69921938	+
6022	chr1	60565615	60566903	+
6159	chr2	90916282	90918766	+
6197	chr10	128433625	128436035	+
6264	chr7	101835656	101838450	+
6267	chr13	98314222	98317006	+
6342	chr11	116408715	116412203	+
6351	chr16	32610057	32611863	+
6460	chr6	137735959	137737765	+
6504	chr10	19008179	19009979	+
6510	chr5	34530470	34533242	+
6527	chr15	76203053	76205299	+
6695	chr18	67774782	67776622	+
6708	chr10	80939365	80942191	+
6772	chr17	28329277	28331655	+
6866	chr10	63241011	63243871	+
6892	chr11	33931358	33932922	+
6913	chr5	33627764	33629470	+
6939	chr8	121897500	121899844	+
6964	chr9	57969061	57971807	+
6965	chr10	127338739	127341379	+
6987	chr10	128562976	128565564	+
7047	chr2	180039977	180041895	+
7068	chr18	75454619	75457135	+
7204	chr10	80397366	80399120	+
7213	chr8	46919403	46921611	+
7242	chr11	105125664	105127942	+
7290	chr16	57121904	57123558	+
7307	chr2	28517130	28519866	+
7359	chr17	7870235	7872083	+
7416	chr11	74649256	74651180	+
7436	chr4	124694749	124697169	+
7441	chr10	7682520	7684662	+
7458	chr11	97017522	97019936	+
7466	chr1	151572337	151574289	+
7479	chr14	66256535	66259095	+
7530	chr4	109656570	109658828	+
7531	chr2	30718211	30720207	+
7547	chr9	122997914	123000158	+
7591	chr4	41122687	41124771	+
7596	chr4	43967764	43971300	+
7651	chr11	115640427	115642183	+
7735	chr17	56614317	56616427	+
7738	chr17	24720786	24722900	+
7768	chr12	70975654	70977018	+
7800	chr7	122099759	122102315	+
7872	chr1	164814438	164816556	+
7924	chr3	90053274	90054936	+
7952	chr8	121851418	121853904	+
7962	chr15	101245226	101247470	+
8043	chr11	70980818	70983142	+
8048	chr7	101502828	101504436	+
8105	chr4	32424726	32426976	+
8124	chr7	16284879	16287287	+
8132	chr5	146231869	146235033	+
8133	chr4	129817788	129819806	+
8134	chr19	53526815	53528897	+
8181	chr5	115186528	115188182	+
8218	chr13	97007313	97009223	+
8254	chr1	185363723	185365869	+
8360	chr5	115559392	115561206	+
8431	chr1	171648010	171649962	+
8457	chr9	21072185	21074257	+
8489	chr1	179801063	179802797	+
8490	chr11	4246405	4248323	+
8508	chr2	84937048	84938712	+
8523	chr4	133827357	133829461	+
8535	chr16	49770201	49772735	+
8559	chr19	36926801	36928279	+
8636	chr5	41767599	41769611	+
8637	chr6	49212688	49215934	+
8659	chr10	80751301	80753181	+
8666	chr3	51483777	51485831	+
8675	chr13	43176222	43178664	+
8754	chr6	124828323	124829631	+
8759	chr17	56325817	56327905	+
8854	chr2	181363285	181364569	+
8864	chr11	3203012	3205250	+
8865	chr19	47049025	47051725	+
8890	chr11	60877469	60879067	+
8937	chr5	93136408	93138292	+
8989	chr19	36555236	36557378	+
8999	chr6	100834303	100836185	+
9008	chr7	44983742	44986016	+
9011	chr6	88464703	88466557	+
9019	chr13	21180946	21182364	+
9083	chr3	138527345	138529033	+
9183	chr12	52504702	52505982	+
9211	chr3	129829449	129831195	+
9244	chr4	106911677	106913327	+
9292	chr4	40971835	40974565	+
9298	chr19	6296361	6299165	+
9300	chr5	134175611	134177239	+
9354	chr2	25262679	25264513	+
9367	chr3	14578008	14580290	+
9469	chr5	108432841	108433977	+
9480	chr5	65018109	65019745	+
9542	chr13	43778225	43780815	+
9594	chr11	54777462	54780312	+
9599	chr11	88550369	88551941	+
9628	chr2	28514034	28515358	+
9634	chr14	46786793	46788731	+
9661	chr7	19626381	19628733	+
9700	chr13	14064104	14065748	+
9746	chr19	45078741	45081075	+
9898	chr4	40773405	40776041	+
9908	chr6	124916592	124918002	+
9919	chr8	57575532	57577166	+
9957	chr10	28670799	28672591	+
10046	chr9	41152701	41154631	+
10063	chr17	14958425	14960751	+
10116	chr18	49833177	49834753	+
10129	chr4	108620475	108621605	+
10183	chr18	36281370	36282796	+
10220	chr12	110694294	110696086	+
10221	chr15	80023932	80026192	+
10226	chr14	99044385	99045719	+
10255	chr8	126824657	126827209	+
10266	chr15	79322270	79324040	+
10341	chr12	28633509	28635077	+
10344	chr5	24686707	24688153	+
10362	chr8	128685400	128687564	+
10374	chr15	98568329	98569723	+
10450	chr7	98488295	98491059	+
10463	chr5	100915104	100917554	+
10474	chr1	133693742	133695512	+
10482	chr1	39554647	39556243	+
10488	chr1	80660951	80662917	+
10490	chr15	57704746	57707472	+
10528	chr9	66887437	66889591	+
10540	chr16	49936693	49939109	+
10575	chr1	16102023	16103705	+
10613	chr2	122665207	122667035	+
10668	chr15	98790565	98793081	+
10672	chr7	125593408	125594694	+
10687	chr15	102471571	102473139	+
10701	chr12	3283269	3285931	+
10709	chr14	76764052	76765742	+
10759	chr2	61577957	61580081	+
10777	chr4	44233838	44234712	+
10827	chr11	84128531	84130153	+
10864	chr16	36925816	36928598	+
10890	chr7	140954263	140956725	+
10929	chr9	70501634	70503460	+
10981	chr1	88584362	88586002	+
11092	chr14	120324984	120326584	+
11146	chr4	148901432	148903690	+
11197	chr1	53844849	53846659	+
11210	chr2	92054847	92056239	+
11236	chr17	48038911	48040365	+
11241	chr12	4905440	4907328	+
11254	chr3	37173276	37174982	+
11271	chr8	109614395	109615485	+
11283	chr7	110122455	110123515	+
11303	chr5	45492988	45494720	+
11319	chr4	134080979	134082759	+
11326	chr5	107281924	107283922	+
11335	chr2	117328043	117329487	+
11377	chr9	119983489	119984555	+
11440	chr18	57355126	57356708	+
11465	chr8	120698576	120700518	+
11483	chr14	61438611	61440021	+
11490	chr4	155990709	155992119	+
11532	chr1	86357035	86358933	+
11541	chr3	58516833	58518577	+
11560	chr17	27132723	27134675	+
11567	chr2	170511106	170512520	+
11598	chr5	92433016	92434988	+
11610	chr19	53478666	53480600	+
11617	chr1	180392601	180394147	+
11635	chr11	100851176	100852382	+
11694	chr9	58275597	58276863	+
11711	chr11	117241707	117243515	+
11737	chr13	30785552	30787122	+
11740	chr9	120010416	120011968	+
11767	chr10	62553047	62554335	+
11794	chr15	101240158	101241544	+
11810	chr12	107130623	107132451	+
11832	chr4	137873798	137875610	+
11847	chr1	52501091	52502737	+
11861	chr11	97531187	97532643	+
11894	chr1	55088570	55090046	+
11905	chr5	145232617	145234187	+
12045	chr2	102912024	102914308	+
12048	chr5	98167447	98169211	+
12113	chr12	4840604	4842168	+
12154	chr4	151860468	151861668	+
12178	chr15	25883984	25885746	+
12196	chr11	97404665	97405657	+
12202	chr7	127374237	127375731	+
12227	chr15	86015283	86017161	+
12306	chr17	88066580	88067896	+
12335	chr7	127164195	127166755	+
12352	chr2	27410912	27412864	+
12353	chr19	42090398	42091532	+
12531	chr4	147903600	147905440	+
12566	chr6	125010074	125010956	+
12651	chr2	29648823	29649923	+
12696	chr13	42245633	42246819	+
12705	chr2	27424016	27425928	+
12777	chr17	22223939	22226097	+
12780	chr7	27490047	27491793	+
12789	chrX	105068426	105071084	+
12820	chr2	24949747	24950913	+
12884	chr10	93082644	93084324	+
12958	chr18	13970260	13972814	+
12963	chr5	107717266	107718894	+
12972	chrX	42068941	42071791	+
12973	chr10	111473968	111475192	+
12979	chr18	31910661	31911999	+
13017	chr8	60982077	60983449	+
13023	chr10	79959787	79961073	+
13048	chr13	37827206	37828382	+
13098	chr14	50930109	50930993	+
13111	chr2	84733806	84734862	+
13130	chr6	100286108	100287392	+
13134	chrX	98257980	98260936	+
13153	chr15	80013512	80015736	+
13157	chr5	53591325	53592507	+
13179	chr7	121706014	121707290	+
13205	chr6	120112144	120113956	+
13211	chr10	75938766	75941068	+
13223	chr17	31692596	31694234	+
13265	chr8	61282379	61283957	+
13278	chr4	43427445	43428409	+
13299	chr3	142879983	142881147	+
13300	chr3	58413613	58414769	+
13302	chr2	153525285	153526909	+
13331	chr3	88501557	88503985	+
13337	chr5	88565337	88566349	+
13380	chr14	31568930	31570270	+
13400	chr11	55025942	55028280	+
13406	chr11	116418571	116419887	+
13424	chr6	50111242	50112018	+
13430	chr6	124909664	124911396	+
13461	chr11	116439000	116440344	+
13463	chr1	84837267	84838471	+
13503	chr9	121285191	121286207	+
13542	chrX	57195147	57197449	+
13559	chr19	10811910	10813750	+
13613	chr16	76765205	76767465	+
13649	chr19	29261323	29263237	+
13677	chr11	118337095	118338807	+
13697	chr6	118065803	118067563	+
13700	chr9	37489449	37490325	+
13730	chr13	28832968	28834108	+
13744	chr15	79454830	79456394	+
13751	chr11	110336477	110338301	+
13776	chr1	171329538	171330418	+
13800	chrX	37108495	37109909	+
13802	chr2	161107512	161109112	+
13851	chrX	134539003	134540947	+
13861	chr1	182108357	182109495	+
13885	chr8	122931822	122933564	+
13893	chr17	35225959	35227997	+
13915	chr12	84764937	84766971	+
13936	chr19	4135221	4137113	+
13960	chr10	43576808	43578112	+
13978	chr19	53317693	53318987	+
13995	chr5	135392785	135394129	+
14058	chr4	138463672	138465752	+
14074	chr7	27328896	27330458	+
14115	chr3	116435906	116437152	+
14123	chr17	46029321	46030757	+
14168	chr1	182527527	182528713	+
14175	chr7	80695889	80697847	+
14196	chr5	142415630	142416664	+
14215	chr7	90142667	90144789	+
14266	chr5	149439706	149440714	+
14297	chr2	35259041	35260607	+
14300	chr17	52461042	52462912	+
14335	chr16	55636387	55637665	+
14379	chr7	80416152	80418486	+
14427	chr3	88494685	88496775	+
14432	chr10	57487746	57489572	+
14436	chr1	155159548	155160798	+
14463	chr14	31574804	31576614	+
14470	chr12	112873058	112874374	+
14541	chr3	94378768	94381272	+
14544	chr7	19332160	19333912	+
14548	chr4	8733721	8735573	+
14557	chr12	73612613	73614085	+
14614	chr10	93227389	93228913	+
14624	chr12	106479141	106480979	+
14640	chr5	135712839	135714353	+
14664	chr16	18732964	18734098	+
14691	chr7	101821193	101822937	+
14692	chr14	56287364	56288646	+
14745	chr11	117092508	117094062	+
14758	chr6	99050219	99052087	+
14759	chr2	102398151	102399583	+
14768	chr12	3791304	3792714	+
14778	chr12	85429515	85431151	+
14786	chrX	101331868	101334032	+
14828	chr2	32351491	32353667	+
14890	chr1	106559592	106561700	+
14906	chr17	47534014	47536132	+
14908	chr5	100581977	100583947	+
14953	chr5	4193036	4193664	+
14958	chr12	111181072	111183116	+
15008	chr17	88041297	88042807	+
15039	chr19	9055287	9056507	+
15062	chr6	83267756	83268870	+
15082	chrX	12251337	12253121	+
15084	chr8	10989779	10991581	+
15147	chr10	41689583	41690585	+
15167	chr12	99646509	99647825	+
15174	chrX	169318770	169320690	+
15181	chr17	29155566	29156626	+
15221	chr13	60478998	60481094	+
15225	chr4	136122780	136123670	+
15253	chr1	54882354	54883652	+
15291	chrX	68679355	68681107	+
15292	chr2	18919980	18921182	+
15293	chr2	151562188	151563328	+
15333	chr7	19178505	19179813	+
15345	chr19	29185208	29186556	+
15353	chr11	54248230	54249388	+
15355	chr4	7454997	7455837	+
15376	chr2	73467025	73468127	+
15378	chr11	87452449	87453333	+
15402	chr7	100158892	100160610	+
15415	chr1	66814656	66815718	+
15420	chr5	144100312	144101760	+
15427	chr4	107252335	107253525	+
15438	chr1	133608110	133609770	+
15439	chr13	51969915	51971431	+
