sequence_identifier	chr_name	heatmap_start	heatmap_end	strand
NM_028451	chr11	58009063	58014063	0
NM_009122	chr17	51827647	51832647	1
NM_008956	chr10	79854431	79859431	0
NM_001033238	chr16	52031548	52036548	0
NM_001109745	chr6	87846106	87851106	1
NM_130889	chr4	46451116	46456116	0
NM_008689	chr3	135686547	135691547	1
NM_009859	chr9	25252438	25257438	0
NM_016805	chr1	178332784	178337784	1
NM_001025245	chr18	82475122	82480122	0
NM_011588	chr7	13024151	13029151	0
NM_030724	chr1	167280127	167285127	1
NM_021303	chr4	156236009	156241009	0
NM_010431	chr12	73907866	73912866	0
NM_009536	chr11	75732886	75737886	0
NM_009743	chr2	152826728	152831728	1
NM_173413	chr9	66914705	66919705	1
NM_009637	chr6	140624297	140629297	0
NM_011404	chr8	121902686	121907686	1
NM_182650	chr6	51464894	51469894	1
NM_011358	chr11	116848094	116853094	1
NM_173867	chr4	140701472	140706472	0
NM_010448	chr11	51601881	51606881	1
NM_001281968	chr11	46384515	46389515	1
NM_008379	chr11	97182892	97187892	1
NM_001271431	chr2	93457950	93462950	1
NM_008367	chr2	11642791	11647791	0
NM_011896	chr3	37639949	37644949	0
NM_001085390	chr19	53529317	53534317	0
NM_008842	chr17	29491044	29496044	0
NM_173374	chr11	88047372	88052372	0
NM_025814	chr6	67266978	67271978	0
NM_008390	chr11	53770013	53775013	0
NM_080456	chr16	92058335	92063335	0
NM_013885	chr4	135267760	135272760	1
NM_001288578	chr3	138437199	138442199	0
NM_022996	chr18	38418974	38423974	0
NM_007513	chr5	148394904	148399904	1
NM_010880	chr1	86354455	86359455	1
NM_007651	chr3	106785149	106790149	1
NM_008577	chr19	8708897	8713897	1
NM_029219	chr4	129058270	129063270	0
NM_010907	chr12	55487647	55492647	1
NM_009896	chr16	10780536	10785536	1
NM_010123	chr19	60785693	60790693	1
NM_001195486	chr17	80202305	80207305	1
NM_015743	chr4	48051247	48056247	0
NM_009391	chr5	129020155	129025155	0
NM_001146058	chr4	152199843	152204843	0
NM_010106	chr9	78476724	78481724	1
NM_008300	chr11	53295479	53300479	1
NM_011732	chr4	119289513	119294513	1
NM_144900	chr3	101599707	101604707	1
NM_010219	chr6	128433631	128438631	1
NM_144866	chr18	34927003	34932003	1
NM_007839	chr5	52185546	52190546	1
NM_008302	chr17	45568261	45573261	1
