PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr17-5092	chr17	35193183	35206175	+	687.3	55.84	3' UTR (NM_001278601, exon 3 of 3)	3' UTR (NM_001278601, exon 3 of 3)	2328	NM_001278601	21926	Mm.1293	NM_013693	ENSMUSG00000024401	Tnf	DIF|TNF-a|TNF-alpha|TNFSF2|TNFalpha|Tnfa|Tnfsf1a	tumor necrosis factor	protein-coding	787.25	593.26	722.15	633.1	705.01
chr19-16687	chr19	10731344	10743428	+	651.0	34.45	intron (NM_007650, intron 1 of 10)	(CA)n|Simple_repeat|Simple_repeat	1588	NM_007650	12507	Mm.779	NM_007650	ENSMUSG00000024669	Cd5	Ly-1|Ly-12|Ly-A|Lyt-1	CD5 antigen	protein-coding	772.43	564.42	681.1	646.38	563.17
chr11-15576	chr11	61650480	61662274	+	636.5	29.8	intron (NM_027817, intron 1 of 4)	intron (NM_027817, intron 1 of 4)	3056	NM_027817	71520	Mm.202760	NM_027817	ENSMUSG00000004837	Grap	8430435N19Rik|BB233594	GRB2-related adaptor protein	protein-coding	698.34	522.0	682.92	614.04	633.26
chr7-9512	chr7	125600804	125610228	+	624.4	18.363	intron (NM_021887, intron 1 of 8)	intron (NM_021887, intron 1 of 8)	2087	NM_021887	60504	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	704.51	509.0	636.39	523.92	687.49
chr9-7057	chr9	107294452	107309392	+	619.4	24.763	TTS (NM_009895)	TTS (NM_009895)	5233	NM_009895	12700	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	748.35	575.73	683.83	616.92	409.66
chr15-33033	chr15	74987408	75000418	+	580.1	28.153000000000002	TTS (NM_001271419)	TTS (NM_001271419)	4118	NM_010738	110454	Mm.425949	NM_010738	ENSMUSG00000075602	Ly6a	Ly-6A.2|Ly-6A/E|Ly-6E.1|Sca-1|Sca1|TAP	lymphocyte antigen 6 complex, locus A	protein-coding	669.32	471.67	624.53	503.13	649.11
chr11-9820	chr11	99145522	99156814	+	573.5	37.75	intron (NM_007719, intron 1 of 2)	intron (NM_007719, intron 1 of 2)	3909	NM_007719	12775	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	589.67	412.85	634.11	449.41	848.51
chr19-5106	chr19	53530500	53540780	+	543.9	12.517000000000001	intron (NM_001085390, intron 2 of 3)	intron (NM_001085390, intron 2 of 3)	6322	NM_001085390	240672	Mm.482424	NM_001085390	0	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	626.71	468.84	577.54	558.0	356.26
chr11-5731	chr11	46380432	46389258	+	530.8	21.64	intron (NM_001281966, intron 1 of 16)	intron (NM_001281966, intron 1 of 16)	4670	NM_001281965	16428	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	578.55	391.36	589.86	399.15	619.91
chr15-19152	chr15	101253115	101265521	+	516.2	31.987	Intergenic	B2_Mm1a|SINE|B2	-7528	NM_010444	15370	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding	660.05	481.85	509.11	601.91	271.99
chr4-11338	chr4	156025576	156033956	+	509.3	17.897000000000002	TTS (NM_021985)	TTS (NM_021985)	3424	NM_009400	21936	Mm.3180	NM_009400	ENSMUSG00000041954	Tnfrsf18	AITR|Gitr	tumor necrosis factor receptor superfamily, member 18	protein-coding	574.23	479.59	531.92	485.22	448.87
chr17-8425	chr17	51819865	51830683	+	491.7	16.6	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	1314	NM_001163631	20230	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	551.38	337.63	553.82	412.44	688.32
chr11-12158	chr11	53769888	53778154	+	454.9	19.877	intron (NM_001159393, intron 5 of 9)	intron (NM_001159393, intron 5 of 9)	3548	NM_001159396	16362	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding	521.75	342.16	468.97	374.31	528.96
chr18-6097	chr18	82473372	82482812	+	443.3	24.98	intron (NM_001025245, intron 1 of 3)	intron (NM_001025245, intron 1 of 3)	2969	NM_001025245	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	519.89	419.64	447.53	443.05	368.77
chr8-7809	chr8	84978026	84987856	+	432.2	8.307	Intergenic	Intergenic	-4193	NM_008416	16477	Mm.1167	NM_008416	ENSMUSG00000052837	Junb	-	jun B proto-oncogene	protein-coding	471.73	342.72	473.07	378.36	434.69
chr2-8885	chr2	11652447	11664449	+	420.6	31.473000000000003	intron (NM_008367, intron 1 of 7)	intron (NM_008367, intron 1 of 7)	15656	NM_008367	16184	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding	484.08	383.44	405.56	446.52	347.92
chr17-5853	chr17	51804833	51813509	+	408.4	18.837	exon (NM_009122, exon 2 of 11)	exon (NM_009122, exon 2 of 11)	2883	NM_001163630	20230	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	403.2	283.91	438.4	352.94	403.82
chr3-12846	chr3	106780399	106790037	+	404.7	22.427	intron (NM_007651, intron 1 of 7)	intron (NM_007651, intron 1 of 7)	4931	NM_007651	12508	Mm.316861	NM_007651	ENSMUSG00000040747	Cd53	AI323659|Ox-44|Tspan25	CD53 antigen	protein-coding	390.85	297.48	480.37	357.56	522.29
chr2-21788	chr2	152821950	152830970	+	386.0	19.82	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	4257	NM_001289739	12048	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding	464.94	340.46	442.51	414.75	216.93
chr11-8323	chr11	46370277	46379051	+	384.7	19.493	intron (NM_001281966, intron 1 of 16)	intron (NM_001281966, intron 1 of 16)	14851	NM_001281965	16428	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	398.87	384.01	399.17	343.12	400.48
chr9-7196	chr9	66914614	66921100	+	370.1	20.457	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	1848	NM_173413	235442	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding	383.44	308.23	425.63	309.04	366.27
chr11-8788	chr11	49084648	49092366	+	357.5	40.243	intron (NM_010999, intron 2 of 5)	intron (NM_010999, intron 2 of 5)	1490	NM_008330	15953	Mm.24769	NM_008330	ENSMUSG00000078920	Ifi47	47kDa|IRG-47|Ifggc1|Igrd|Iigp4|Iipg4|Irgd	interferon gamma inducible protein 47	protein-coding	419.25	279.38	393.69	296.91	442.19
