#name (cmd = mergePeaks AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt)	chr	start	end	strand	Stat	Parent files	Total subpeaks	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt
Merged-chr1-36914502-1	chr1	36861995	36967010	+	985.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-54689
Merged-chr5-117149202-1	chr5	117114849	117183555	+	856.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-1237
Merged-chr5-113828759-1	chr5	113812644	113844875	+	881.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-56692
Merged-chr18-20976366-1	chr18	20932701	21020032	+	870.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr18-17403
Merged-chr10-98933551-1	chr10	98875389	98991714	+	944.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr10-27189
Merged-chr1-136148467-1	chr1	136116423	136180511	+	1019.099976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-26859
Merged-chr17-12765330-1	chr17	12720055	12810606	+	863.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr17-25079
Merged-chr12-3318060-1	chr12	3263819	3372301	+	917.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr12-30562
Merged-chr5-3501201-1	chr5	3455787	3546615	+	1273.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-47276
Merged-chr6-94663975-1	chr6	94621999	94705951	+	1200.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr6-58132
Merged-chr1-164071675-1	chr1	164044542	164098808	+	876.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-65261
Merged-chr2-156228059-1	chr2	156177021	156279098	+	835.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr2-80854
Merged-chr15-100096355-1	chr15	100039089	100153621	+	1208.300049	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr15-7629
Merged-chr5-115701949-1	chr5	115670484	115733415	+	913.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr5-56897
Merged-chr1-95623485-1	chr1	95572669	95674301	+	1004.700012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-21359
Merged-chr9-57963003-1	chr9	57927494	57998513	+	908.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-30894
Merged-chr7-104298206-1	chr7	104277954	104318459	+	900.299988	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr7-33920
Merged-chr9-122213986-1	chr9	122176990	122250982	+	867.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr9-46928
Merged-chr13-32985842-1	chr13	32960559	33011125	+	907.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr13-36820
Merged-chr18-38431206-1	chr18	38398401	38464012	+	835.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr18-12171
Merged-chr1-171648141-1	chr1	171594017	171702265	+	1273.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	1		chr1-73400
