chr_name	chromosome_id	end	id	id_1um_k99a	id_1um_pcc	id_no_peptide	start	tag_count_1um_k99a	tag_count_1um_pcc	tag_count_no_peptide
chr14	11	54237399	1	1.0	10578.0	1.0	54136031	3814.4	107.8	6033.1
chr9	12	32526873	15	158.0	12.0	15.0	32493205	661.8	1333.4	1387.2
chr8	10	111598716	18	14.0	285.0	18.0	111558238	1292.6	548.1	1366.8
chr6	7	41559571	22	22.0	13.0	22.0	41530819	1224.9	1322.4	1338.6
chr8	10	81796077	41	52.0	58.0	41.0	81765305	998.8	890.7	1135.4
chr2	2	6725910	43	46.0	36.0	43.0	6702886	1051.9	1061.4	1113.8
chr14	11	75198105	46	54.0	46.0	46.0	75173105	986.1	993.0	1098.1
chr8	10	72366397	48	56.0	68.0	48.0	72341333	980.1	854.2	1077.7
chr15	16	74940203	66	64.0	50.0	66.0	74917585	941.7	948.3	988.4
chr2	2	29680649	81	10038.0	11647.0	81.0	29653063	106.2	100.8	912.3
chr4	5	150588616	84	397.0	491.0	84.0	150562698	464.5	446.0	902.6
chr14	11	40960996	91	97.0	18665.0	91.0	40942342	781.2	65.0	883.2
chr15	16	80621547	92	88.0	87.0	92.0	80597533	807.0	791.6	881.8
chr4	5	32270107	101	123.0	738.0	101.0	32246837	725.2	379.3	844.6
chr3	4	131173928	118	210.0	17215.0	118.0	131149390	601.1	71.0	801.8
chr1	1	165853605	119	140.0	191.0	119.0	165833593	696.1	645.2	801.6
chr12	15	110508208	127	134.0	167.0	127.0	110490362	705.0	680.6	779.4
chr17	18	84129795	131	133.0	5561.0	131.0	84113529	705.5	153.8	775.0
chr7	8	16057768	136	191.0	13994.0	136.0	16039228	616.9	87.1	760.2
chr9	12	63729552	144	119.0	111.0	144.0	63710184	730.3	741.4	752.6
chr2	2	18961526	153	305.0	2739.0	153.0	18942406	517.0	212.5	730.6
chr12	15	107938767	157	171.0	142.0	157.0	107917463	647.3	701.9	723.7
chr19	21	32278510	170	184.0	205.0	170.0	32261562	624.8	629.6	707.1
chrX	3	48444944	177	439.0	19800.0	177.0	48422574	445.3	60.6	701.9
chr11	13	106677060	194	164.0	1284.0	194.0	106657438	656.4	298.9	678.1
chr1	1	134069772	198	230.0	266.0	198.0	134058134	578.9	563.5	672.6
chr18	20	50043904	201	223.0	202.0	201.0	50026114	586.4	632.4	668.6
chr2	2	166633252	212	228.0	227.0	212.0	166617436	581.7	603.9	658.5
chr9	12	13306543	213	182.0	247.0	213.0	13296133	629.3	585.5	657.5
chr1	1	88589569	224	3298.0	3038.0	224.0	88574817	185.6	203.1	641.5
chr2	2	103665136	226	226.0	255.0	226.0	103649600	584.4	575.0	637.3
chr1	1	128619245	243	1265.0	1556.0	243.0	128600971	287.8	274.2	624.1
chr6	7	94688093	250	331.0	291.0	250.0	94672213	499.3	544.0	619.5
chr15	16	77810990	252	292.0	239.0	252.0	77796368	526.5	590.2	616.3
chr12	15	80824114	256	266.0	2879.0	256.0	80803072	545.4	208.1	610.2
chr13	14	43457971	257	216.0	3003.0	257.0	43438249	595.7	204.2	609.6
chr3	4	89879130	258	2623.0	2467.0	258.0	89859348	206.2	222.5	608.6
chr7	8	114097148	259	263.0	5425.0	259.0	114079308	547.6	155.8	607.6
chr12	15	103345584	273	437.0	463.0	273.0	103330354	445.8	456.9	589.2
