PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr6-5250	chr6	99255511	99267273	+	487.7	48.537	intron (NM_053202, intron 2 of 18)	intron (NM_053202, intron 2 of 18)	5123.0	NM_001197321	108655.0	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding	445.84	699.94	315.82
chr15-20267	chr15	66857070	66868590	+	486.0	55.07	Intergenic	AT_rich|Low_complexity|Low_complexity	-28563.0	NM_018865	22402.0	Mm.10222	NM_018865	ENSMUSG00000005124	Wisp1	AW146261|CCN4|Elm1	WNT1 inducible signaling pathway protein 1	protein-coding	439.48	697.78	332.99
chr4-17695	chr4	63851860	63864568	+	462.3	42.247	intron (NM_009403, intron 1 of 3)	intron (NM_009403, intron 1 of 3)	3070.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	417.32	693.26	309.95
chr17-62543	chr17	29390335	29398323	+	338.8	110.417	Intergenic	Intergenic	33415.0	NM_013710	26382.0	Mm.279187	NM_013710	ENSMUSG00000024013	Fgd2	Tcd-2|Tcd2|ZFYVE4|tcs-2|tcs2	FYVE, RhoGEF and PH domain containing 2	protein-coding	315.95	475.6	221.16
chr9-2852	chr9	107293954	107299734	+	319.9	46.977	5' UTR (NM_009895, exon 1 of 3)	5' UTR (NM_009895, exon 1 of 3)	155.0	NM_009895	12700.0	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	273.0	506.81	180.74
chr7-4297	chr7	142460417	142464945	+	304.3	101.17299999999999	intron (NM_001271510, intron 1 of 10)	intron (NM_001271510, intron 1 of 10)	1869.0	NM_001271509	16985.0	Mm.234003	NM_019391	ENSMUSG00000018819	Lsp1	Lsp-1|WP34|p50|pp52	lymphocyte specific 1	protein-coding	267.67	464.62	192.88
chr6-23252	chr6	108548801	108557485	+	303.3	62.573	Intergenic	Intergenic	63400.0	NR_106121	102465766.0	0	NR_106121	0	Mir7661	mmu-mir-7661	microRNA mir-7661	ncRNA	262.52	456.0	179.69
chr9-3007	chr9	32742397	32749411	+	301.8	62.23	intron (NM_011808, intron 6 of 7)	intron (NM_011808, intron 6 of 7)	49862.0	NM_011808	23871.0	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1	E26 avian leukemia oncogene 1, 5' domain	protein-coding	280.22	453.2	183.04
chr3-8980	chr3	88507809	88514649	+	301.1	54.13	Intergenic	Intergenic	-7877.0	NM_001111102	16905.0	Mm.243014	NM_019390	ENSMUSG00000028063	Lmna	Dhe	lamin A	protein-coding	294.82	405.41	199.17
chr2-88241	chr2	11638083	11647929	+	292.3	28.01	exon (NM_008367, exon 1 of 8)	exon (NM_008367, exon 1 of 8)	214.0	NM_008367	16184.0	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding	210.81	531.79	159.58
chr11-47607	chr11	55129439	55138863	+	287.9	24.756999999999998	intron (NM_172258, intron 7 of 10)	intron (NM_172258, intron 7 of 10)	17555.0	NM_172258	215332.0	Mm.87054	NM_172258	ENSMUSG00000049491	Slc36a3	PAT3|TRAMD2|tramdorin2	solute carrier family 36 (proton/amino acid symporter), member 3	protein-coding	256.51	421.12	197.49
chr6-19127	chr6	140612543	140622981	+	283.5	19.587	Intergenic	LTR82B|LTR|ERVL	-4901.0	NM_178803	11569.0	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	212.87	454.28	178.64
chr5-7783	chr5	115708846	115716976	+	279.3	50.773	intron (NM_001080808, intron 2 of 8)	intron (NM_001080808, intron 2 of 8)	18648.0	NM_001080808	75665.0	Mm.233914	NM_001080808	ENSMUSG00000041609	Ccdc64	2210403N09Rik|BICDR-1	coiled-coil domain containing 64	protein-coding	251.52	403.47	198.96
chr4-49201	chr4	129030536	129037204	+	272.4	45.76	Intergenic	Intergenic	-24401.0	NM_029219	75234.0	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	248.78	382.8	189.32
chr16-14297	chr16	10662375	10670689	+	266.2	22.84	intron (NM_177562, intron 18 of 22)	MIRb|SINE|MIR	119004.0	NM_009896	12703.0	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	213.9	404.98	190.16
chr6-37295	chr6	31121913	31128495	+	256.4	31.1	intron (NR_110471, intron 3 of 3)	MER20B|DNA|hAT-Charlie	-62111.0	NR_029532	387223.0	0	NR_029532	miRBase:MI0000143	Mir29b-1	Mirn29b|Mirn29b-1	microRNA 29b-1	ncRNA	223.69	378.5	174.03
chr13-10787	chr13	51796777	51803457	+	250.7	35.243	Intergenic	Intergenic	-6370.0	NM_013660	20354.0	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding	237.78	359.98	165.45
chr4-23669	chr4	156006921	156015431	+	246.1	19.903	3' UTR (NM_011341, exon 7 of 7)	3' UTR (NM_011341, exon 7 of 7)	-2519.0	NM_011659	22163.0	Mm.13885	NM_011659	ENSMUSG00000029075	Tnfrsf4	ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1	tumor necrosis factor receptor superfamily, member 4	protein-coding	193.28	385.39	160.0
chr16-4392	chr16	49965572	49973388	+	245.8	18.787	Intergenic	Intergenic	-10980.0	NR_045001	628951.0	Mm.428032	NR_045001	0	Gm6936	-	predicted gene 6936	ncRNA	188.13	361.7	142.83
chr11-12534	chr11	22811360	22816932	+	243.7	153.14700000000002	Intergenic	Intergenic	45589.0	NM_016888	53625.0	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding	234.86	356.97	144.09
chr12-10784	chr12	55486187	55494167	+	243.0	40.26	intron (NM_010907, intron 5 of 5)	tRNA-Ala-GCY_|tRNA|tRNA	2470.0	NM_010907	18035.0	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	220.94	351.8	168.8
chr16-5478	chr16	84702269	84708391	+	241.2	49.34	Intergenic	Intergenic	-8810.0	NR_029565	387173.0	0	NR_029565	miRBase:MI0000177	Mir155	Mirn155|mmu-mir-155	microRNA 155	ncRNA	168.2	446.75	121.89
chr2-6602	chr2	103655076	103660754	+	239.7	91.62299999999999	intron (NM_178890, intron 1 of 16)	intron (NM_178890, intron 1 of 16)	91605.0	NM_178890	99382.0	Mm.35850	NM_178890	ENSMUSG00000032724	Abtb2	AW539457|BPOZ-2	ankyrin repeat and BTB (POZ) domain containing 2	protein-coding	195.0	378.71	154.56
