id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name	pc1	pc2	kmeans
NM_010378	chr17	34282751	34287771	-	1062.0	1	H2-Aa|Aalpha|H-2Aa|H2Aa|I-Aalpha|IAalpha|Ia-1|Ia1|-|17 B1|17 17.98 cM|protein-coding	43.723	50.738	39.975	47.357	155.92600000000004	H2-Aa	-0.0072088125059508075	0.01983774668941213	0
NR_037237	chr14	30572149	30572208	+	59.0	1	Mir3076|mmu-mir-3076|-|14|14 18.81 cM|ncRNA	48.301	34.766	31.194000000000006	54.502	117.419	Mir3076	-0.004476629717008956	0.023865545397685275	0
NM_010381	chr17	34342212	34344645	-	778.0	1	H2-Ea-ps|AI323765|E-alpha-f|H-2Ea|H2-Ea|I-Ealpha|Ia-3|Ia3|mCG_9941|17 B1|17 17.98 cM|protein-coding	34.959	44.567	29.702	39.799	109.911	H2-Ea-ps	-0.0046975168419247345	0.013610343912382762	0
NR_039567	chr18	60812076	60812163	+	87.0	1	Mir5107|mmu-mir-5107|mu-mir-5107|-|18|18 34.41 cM|ncRNA	57.804	59.85	44.66	49.42	163.418	Mir5107	-0.0072056691597370435	0.020166343155437808	0
NM_207105	chr17	34263227	34269418	+	1185.0	1	H2-Ab1|AI845868|Abeta|H-2Ab|H2-Ab|I-Abeta|IAb|Ia-2|Ia2|Rmcs1|-|17 B1|17 17.98 cM|protein-coding	29.778	27.063	22.331	34.148	79.84	H2-Ab1	-0.0031824055953352877	0.013428123020537908	0
NM_023065	chr8	70762773	70766663	-	971.0	1	Ifi30|GILT|IP30|-|8 B3.3|8|protein-coding	41.088	62.928	43.216	52.8	136.144	Ifi30	-0.005692000124816857	0.012876408304104086	0
NM_011804	chr1	165763780	165775304	+	2119.0	1	Creg1|AA755314|Creg|-|1 H2.3|1|protein-coding	21.32	22.841	24.686	14.8	73.487	Creg1	-0.0036254486334291024	0.005437227049016771	0
NM_028752	chr5	122210287	122242297	+	2643.0	1	Hvcn1|0610039P13Rik|AI450555|BTS|HV1|Vsop.|mVSOP|-|5 F|5|protein-coding	17.109	20.059	20.334	16.185	60.228	Hvcn1	-0.00283960308086725	0.005137034285833223	0
NM_025378	chr7	141009590	141010744	-	644.0	1	Ifitm3|1110004C05Rik|Cd225|Cdw217|DSPA2b|Fgls|IP15|mil-1|-|7 F5|7|protein-coding	80.497	74.605	62.492	63.396	183.517	Ifitm3	-0.0073836877698959845	0.021250349717267396	0
NR_046233	chr17	39842997	39848829	+	5832.0	1	Rn45s|-|-|-|rRNA	121.477	143.433	123.764	65.093	354.19199999999995	Rn45s	-0.01691733269611046	0.017005006683976132	0
NM_007695	chr1	134182404	134190031	+	1677.0	1	Chil1|AW208766|Brp39|Chi3l1|Gp39|-|1 E4|1 58.15 cM|protein-coding	26.689	30.249	31.973000000000006	18.851	87.306	Chil1	-0.004204820773847564	0.005230136281976626	0
NM_010240	chr7	45457944	45459886	-	964.0	1	Ftl1|Ftl|Ftl-1|L-ferritin|-|7 B4|7|protein-coding	195.106	262.213	268.9	154.565	730.335	Ftl1	-0.03589198189962421	0.03430350642670367	0
NM_001289619	chr6	42349828	42358562	+	2501.0	1	Zyx|9530098H06Rik|R75157|-|6 B2.1|6|protein-coding	31.15	35.74	46.557	30.048	121.342	Zyx	-0.005922398087167036	0.008170252056694813	0
NM_008039	chr17	17887824	17893952	+	1292.0	1	Fpr2|E330010I07Rik|Fpr-rs2|-|17 A3.2|17|protein-coding	27.214	29.402	31.529	16.527	81.87100000000002	Fpr2	-0.0039157092421332786	0.004131536461624928	0
NM_009778	chr17	57203973	57228136	-	5090.0	1	C3|AI255234|ASP|HSE-MSF|Plp|-|17 E1-E3|17 29.72 cM|protein-coding	21.489	29.612	27.593000000000004	16.461	71.536	C3	-0.003379910049615843	0.002639251315209805	0
NM_009775	chr15	83563573	83574203	+	850.0	1	Tspo|Bzrp|IBP|PBR|Tspo1|-|15 E1|15 39.4 cM|protein-coding	35.301	38.611	48.405	42.294	125.356	Tspo	-0.005667910189924972	0.011684857829099816	0
NM_001170911	chr15	102459170	102462806	+	1105.0	1	Prr13|1110020C13Rik|2010324E22Rik|-|15 F3|15|protein-coding	65.194	80.428	80.762	74.64699999999998	207.921	Prr13	-0.008951118260552502	0.017232748398810324	0
NM_009983	chr7	142375916	142387870	-	1943.0	1	Ctsd|CD|CatD|-|7 F5|7|protein-coding	98.482	122.847	137.70600000000002	88.196	352.61	Ctsd	-0.016818980762807068	0.019363501201326856	0
NM_001291894	chr10	51490898	51496611	+	1489.0	1	Lilrb4|CD85K|Gp49b|HM18|ILT3|LIR-5|gp49|-|10 25.5 cM|protein-coding	29.665	35.844	34.994	19.97	88.33	Lilrb4	-0.0041128080517161365	0.003618191742130281	0
NM_010545	chr18	60803849	60812652	+	1213.0	1	Cd74|CLIP|DHLAG|HLADG|Ia-GAMMA|Ii|-|18 E1|18 34.41 cM|protein-coding	176.303	265.16700000000003	217.848	207.101	546.786	Cd74	-0.02260810654182389	0.032412209743967885	0
NM_008677	chr15	78244811	78262580	+	1442.0	1	Ncf4|AI451400|p40phox|RP23-385C21.1|15 E1|15 37.1 cM|protein-coding	20.082	28.477	29.894	16.160999999999998	74.43	Ncf4	-0.00362343498486716	0.0022300697333179787	0
NM_013610	chr13	49187547	49196251	+	1126.0	1	Ninj1|AU024536|-|13 A5|13|protein-coding	17.009	18.953	23.501	14.343	57.806	Ninj1	-0.002749305618138817	0.0032906985213308607	0
NM_011609	chr6	125349723	125362483	+	2143.0	1	Tnfrsf1a|CD120a|FPF|TNF-R|TNF-R-I|TNF-R1|TNF-R55|TNF-alphaR1|TNFAR|TNFR60|TNFRI|TNFRp55|TNFalpha-R1|Tnfr-2|Tnfr1|p55|p55-R|-|6 F3|6 59.32 cM|protein-coding	14.843	18.315	23.036	14.061	55.897	Tnfrsf1a	-0.002692141429972429	0.002811998592167967	0
NM_030694	chr7	140954839	140955961	-	623.0	1	Ifitm2|DSPA2c|Ifitm3l|fragilis3|mil-3|-|7|7 F5|protein-coding	29.8	34.191	39.98	25.285	96.677	Ifitm2	-0.0045012562623713784	0.005192142197294575	0
NM_001081274	chr4	149149985	149166707	-	2209.0	1	Pgd|0610042A05Rik|AU019875|C78335|RP23-249G3.4|4 E2|4 78.96 cM|protein-coding	58.053	68.536	84.057	55.74100000000001	202.468	Pgd	-0.009472546393063743	0.011554867471868496	0
NM_019771	chr2	143915331	143943324	+	1894.0	1	Dstn|2610043P17Rik|ADF|AU042046|Dsn|corn1|sid23p|RP23-77A2.1|2 H1|2 70.89 cM|protein-coding	17.038	28.054	29.217	17.320999999999998	69.333	Dstn	-0.003330602446527206	0.0014644072799655328	0
NM_175860	chr6	48739047	48743795	+	1494.0	1	Gimap1|IAP38|Imap38|imap|-|6 B2.3|6|protein-coding	32.679	31.948	44.239	37.025	104.126	Gimap1	-0.004563481681006014	0.00942092144973951	0
NM_172261	chr11	94991212	95006898	+	4318.0	1	Ppp1r9b|SPL|Spn|RP23-112C19.3|11 D|11|protein-coding	26.544	27.772	40.625	22.458	94.671	Ppp1r9b	-0.0045952301119683	0.004943764969062814	0
NM_177994	chr10	79910053	79916930	-	1811.0	1	R3hdm4|AI503502|C030046I01Rik|-|10 C1|10|protein-coding	30.661	38.074	43.971	30.664	101.315	R3hdm4	-0.004578198250735939	0.005123424989065179	0
NM_011528	chr7	141392160	141402976	+	1266.0	1	Taldo1|-|-|7|7 F3-F4|protein-coding	65.709	96.061	106.965	64.41199999999999	246.042	Taldo1	-0.01162400088738782	0.006796200497365291	0
NM_021281	chr3	95526786	95556405	+	1347.0	1	Ctss|-|-|3 F2.1|3 40.74 cM|protein-coding	60.575	105.484	105.482	54.37	235.699	Ctss	-0.011309649007330976	-0.0009174399604503026	0
NM_018776	chr11	80046493	80080991	-	2386.0	1	Crlf3|BB164954|Creme9|Cytor4|RP23-253E9.5|11 B5|11 47.43 cM|protein-coding	37.464	41.596	61.897	40.446	136.789	Crlf3	-0.006392700860750966	0.00765265489454142	0
NM_146011	chr10	127323727	127329943	+	1794.0	1	Arhgap9|AU043488|-|10 D3|10|protein-coding	37.82	44.174	62.967	39.353	138.499	Arhgap9	-0.0065083369263889785	0.0065863389865463045	0
NM_010239	chr19	9982646	9985111	+	936.0	1	Fth1|FHC|Fth|HFt|MFH|-|19 A-C|19 6.23 cM|protein-coding	502.939	735.535	735.705	427.889	1616.38	Fth1	-0.07352538010826833	0.018464849436577082	0
NM_177262	chr8	83669762	83699179	-	3412.0	1	Pkn1|DBK|F730027O18Rik|PAK1|PRK1|Pkn|Prkcl1|Stk3|-|8 C2|8 40.22 cM|protein-coding	20.082	24.429	29.224	17.684	62.958	Pkn1	-0.002855427148197594	0.002064090661409645	0
NM_010344	chr8	33653238	33698162	+	2657.0	1	Gsr|AI325518|D8Ertd238e|Gr-1|Gr1|-|8 A4|8 20.69 cM|protein-coding	47.665	67.506	69.869	42.032	150.175	Gsr	-0.006741759673704527	0.0022115399220344603	0
NM_011206	chr1	34459746	34473779	+	1556.0	1	Ptpn18|FLP1|HSCF|PTP-HSCF|PTP-K1|Ptpk1|-|1 B|1 13.25 cM|protein-coding	21.6	23.425	28.913	17.647000000000006	60.637	Ptpn18	-0.0026750776170693874	0.0023436026772240834	0
NM_028121	chr9	59291572	59316200	+	2462.0	1	Adpgk|2610017G09Rik|Adp-gk|C77577|-|9 B|9|protein-coding	44.036	49.749	56.49800000000001	34.236999999999995	118.287	Adpgk	-0.005142112114975839	0.003726054530646697	0
NM_010686	chr4	130913334	130936148	+	2388.0	1	Laptm5|E3|RP23-412B2.5|4 D2.3|4|protein-coding	86.30799999999998	104.976	140.784	82.655	294.003	Laptm5	-0.013593870297783523	0.009116548407739813	0
NM_026418	chr7	128373625	128418172	-	868.0	1	Rgs10|2310010N19Rik|-|7 F3|7|protein-coding	17.188	26.495	36.093	22.311	75.345	Rgs10	-0.0035735960204724853	0.001810196252363895	0
NM_011952	chr7	126759626	126765816	+	1761.0	1	Mapk3|Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk|-|7 F3|7 69.25 cM|protein-coding	20.633000000000006	29.479	37.624	19.963	77.446	Mapk3	-0.003674561461515814	0.0007658591730952372	0
NM_001271360	chr11	70432580	70440828	+	1457.0	1	Arrb2|AI326910|AW122872|DN-491F10.4|11 B3|11 42.99 cM|protein-coding	37.795	54.364	73.068	42.602	150.166	Arrb2	-0.0070798912159074434	0.002902985423903463	0
NM_007570	chr1	134074865	134079155	-	3079.0	1	Btg2|AA959598|APRO1|Pc3|TIS21|-|1 E4|1 58.1 cM|protein-coding	37.933	39.331	55.511	27.212	112.869	Btg2	-0.005251268492433949	0.002856952513805093	0
NM_001290749	chr11	50025331	50104759	+	1421.0	1	Rnf130|G1RZFP|G1rp|GOLIATH|GP|RP23-319B15.1|11|11 B1.2|protein-coding	31.055	38.78	44.411	27.892	89.68299999999998	Rnf130	-0.003884925445977524	0.0020402902189302604	0
