id	chr_name	start	end	chromosome_id	tag_count_1um_k99a	id_1um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_1um_pcc	id_1um_pcc
2	chr2	11165325	11232815	2	2252.0	2	136.5	2104.0	1795.6	9.0
4	chr1	138125418	138180140	1	1814.8	4	63.0	7897.0	1065.5	53.0
6	chr15	80553535	80621795	16	1775.8	6	331.3	341.0	137.8	3379.0
7	chr2	58152329	58201575	2	1765.5	7	55.9	9212.0	911.8	80.0
8	chr2	29619070	29681752	2	1762.9	8	656.3	51.0	2062.1	7.0
9	chr13	24592226	24648382	14	1753.5	9	1334.9	4.0	2149.5	5.0
11	chr9	32691811	32734213	12	1677.5	11	1370.1	3.0	3197.6	2.0
13	chr6	129207832	129243192	7	1586.5	13	1119.0	5.0	1794.3	10.0
16	chr1	160034161	160063841	1	1369.0	16	39.6	13251.0	1585.9	14.0
17	chr3	101264671	101302429	4	1365.5	17	924.6	9.0	1413.0	24.0
21	chr11	118206491	118249755	13	1223.3	21	446.9	154.0	1441.9	22.0
22	chr6	48717202	48750002	7	1201.1	22	713.1	38.0	1468.6	19.0
24	chr10	7810040	7849422	9	1197.5	24	561.1	89.0	1539.8	16.0
25	chr10	96595186	96634212	9	1194.1	25	78.3	5627.0	106.1	5393.0
27	chr11	11679211	11713143	13	1167.3	27	520.0	111.0	52.1	13481.0
29	chr19	11477055	11503297	21	1108.1	29	762.9	26.0	1303.9	27.0
30	chr11	117316372	117352196	13	1102.1	30	300.9	424.0	1263.4	31.0
31	chr14	121902389	121940215	11	1098.4	31	435.0	167.0	552.7	219.0
32	chr11	32530821	32565859	13	1094.1	32	195.4	1068.0	543.6	228.0
34	chr11	99142826	99173374	13	1063.1	34	830.0	18.0	1400.5	25.0
35	chr11	86573071	86601139	13	1053.5	35	791.4	22.0	1223.3	34.0
37	chr1	53768132	53800650	1	1047.8	37	213.0	902.0	803.3	107.0
38	chr7	68270667	68294975	8	1032.6	38	691.3	45.0	42.4	15869.0
40	chr11	87741980	87761506	13	1024.1	40	739.3	32.0	1154.0	38.0
41	chr14	79512586	79540798	11	1021.0	41	726.7	36.0	1120.0	43.0
43	chr12	108624248	108651014	15	999.9	43	685.5	46.0	1556.6	15.0
45	chr14	121945759	121971879	11	991.5	45	43.8	12108.0	1099.7	44.0
