	Chr	Start	End	Strand
0	chr14	54216572	54236514	+
1	chr14	54152959	54187935	+
2	chr9	32696495	32723615	+
3	chr11	52261839	52283403	+
4	chr5	124010148	124036996	+
5	chr11	22837999	22858725	+
6	chr6	41532092	41548002	+
7	chr15	6574107	6594227	+
8	chr15	73146382	73166910	+
10	chr11	87743478	87755802	+
11	chr6	48673432	48690382	+
12	chr11	98936062	98950774	+
14	chr1	91051753	91065825	+
15	chr2	34951068	34966454	+
16	chr6	38340475	38354087	+
17	chr19	4293721	4305751	+
18	chr11	11686588	11699806	+
20	chr12	112850957	112866767	+
21	chr2	93448097	93463193	+
22	chr1	53769852	53785568	+
23	chr12	107987839	108002841	+
24	chr7	83646741	83656987	+
25	chr2	26488473	26503125	+
26	chr19	11478610	11495640	+
27	chr7	125550863	125561973	+
28	chr5	113823328	113833804	+
30	chr11	118236769	118248693	+
31	chr6	125229816	125242412	+
33	chr18	75369323	75380789	+
34	chr4	133619244	133632746	+
35	chr1	136132739	136143119	+
36	chr2	167932204	167945162	+
37	chr3	101275010	101288768	+
39	chr10	128736030	128750948	+
40	chr4	63397038	63407080	+
41	chr3	89380250	89393244	+
42	chr2	173018519	173030775	+
43	chr11	32531481	32545425	+
44	chr10	80691774	80701864	+
45	chr17	35193183	35206175	+
46	chr4	130912186	130923380	+
47	chr11	54949014	54963338	+
48	chr2	11169107	11182525	+
49	chr14	121953772	121967344	+
50	chr2	32535717	32543911	+
51	chr15	80571558	80584774	+
52	chr15	77830809	77841781	+
53	chr5	139377455	139390411	+
54	chr15	66793859	66805941	+
55	chr1	180330891	180344443	+
56	chr19	10731344	10743428	+
57	chr1	58710106	58724486	+
58	chr1	165699999	165710639	+
59	chr1	164061311	164075245	+
60	chr11	61650480	61662274	+
61	chr7	19813679	19825545	+
62	chr11	117329670	117342296	+
63	chr11	103171758	103179300	+
64	chr3	95659304	95670484	+
65	chr14	79515751	79527417	+
66	chr7	125600804	125610228	+
68	chr9	107294452	107309392	+
70	chr9	32498661	32511741	+
71	chr2	3713275	3723981	+
72	chr4	102566720	102576860	+
74	chr7	68273448	68284248	+
75	chr9	57636489	57644567	+
76	chr14	60730668	60743806	+
77	chr7	24369293	24384187	+
78	chr19	5795226	5807686	+
79	chr15	74987408	75000418	+
80	chr11	99145522	99156814	+
81	chr11	70644706	70653130	+
82	chr9	119976054	119983422	+
83	chr1	131191416	131201350	+
84	chr16	45997256	46011716	+
85	chr15	86059219	86070763	+
86	chr2	9869601	9880215	+
87	chr19	4184091	4192049	+
89	chr19	53530500	53540780	+
91	chr8	81768961	81780225	+
92	chrX	48134586	48154196	+
93	chr16	92817131	92827455	+
94	chr4	155213159	155221783	+
95	chr7	4649698	4658322	+
96	chr11	34045581	34055537	+
97	chr11	46380432	46389258	+
98	chr15	74924009	74936413	+
99	chr15	78562361	78572885	+
100	chr8	123024514	123037838	+
102	chr2	58148660	58159554	+
103	chr14	54203325	54209101	+
104	chr7	143002328	143009876	+
105	chr2	31129415	31141731	+
106	chr11	6558266	6567388	+
107	chr17	6772767	6782531	+
108	chr3	9825981	9834637	+
109	chr15	101253115	101265521	+
110	chr10	80015708	80025708	+
111	chr6	108828910	108839540	+
112	chr15	74953518	74961316	+
113	chr19	11515135	11524251	+
114	chr1	165787825	165796077	+
115	chr11	103260732	103267578	+
116	chr4	129567461	129577679	+
117	chr4	156025576	156033956	+
118	chr6	120463573	120473761	+
119	chr12	108634142	108643666	+
120	chr19	46037087	46047079	+
121	chr14	75175014	75183918	+
122	chr6	48735799	48744377	+
123	chr2	32077482	32084080	+
124	chr10	62499397	62508969	+
125	chr10	60346079	60353195	+
126	chr1	184034220	184044810	+
127	chr14	54188701	54200703	+
128	chr14	79528171	79538721	+
129	chr15	97820204	97830534	+
130	chr17	51819865	51830683	+
131	chr8	126582720	126592256	+
133	chr17	35864982	35874326	+
134	chr6	125348363	125356739	+
135	chr5	103754925	103764215	+
136	chr2	158665473	158676427	+
137	chrUn_JH584304	58956	59880	+
138	chr5	124074852	124085408	+
139	chr11	83115872	83124688	+
140	chr12	73589949	73601605	+
141	chr6	121240404	121248740	+
143	chr4	125121739	125128247	+
144	chr10	22296580	22305076	+
145	chr2	132017277	132024449	+
146	chr12	101010331	101019927	+
147	chr11	69093681	69100627	+
148	chr7	102243648	102250050	+
149	chr4	32245795	32254037	+
150	chr7	142459070	142466948	+
151	chr19	46502356	46512128	+
152	chr8	15012035	15021635	+
153	chr15	78893995	78902337	+
154	chr11	100817503	100825355	+
155	chr4	59189035	59198731	+
156	chr15	67171320	67179142	+
157	chr11	115153351	115163465	+
158	chr2	117336346	117344380	+
159	chr1	165840863	165850353	+
160	chr15	100662736	100670776	+
161	chr3	131154223	131163907	+
162	chr11	53769888	53778154	+
163	chr12	64966117	64969955	+
164	chr10	96618916	96627552	+
165	chr11	94992203	95001335	+
167	chr2	24382176	24390278	+
171	chr6	48764642	48772666	+
172	chr9	13296861	13303923	+
173	chr3	131112642	131121496	+
174	chr17	31205119	31212895	+
175	chr8	88287819	88295239	+
176	chr2	174611742	174619054	+
177	chr18	82473372	82482812	+
178	chr3	89904584	89914542	+
179	chr1	134058474	134068070	+
180	chr11	68429891	68437195	+
182	chr5	115150646	115158204	+
183	chr6	114915048	114922202	+
184	chr13	24412548	24420620	+
186	chr5	122984409	122992027	+
187	chr3	115708796	115717236	+
188	chr8	13671622	13679056	+
189	chr19	29365917	29374463	+
190	chr8	84978026	84987856	+
192	chr7	38183498	38191088	+
193	chr11	96461820	96470790	+
194	chr5	123125311	123132955	+
195	chr19	11044456	11056424	+
196	chr8	72347527	72357321	+
197	chr3	90078655	90085431	+
198	chr7	75607932	75614518	+
199	chr2	167656201	167663239	+
201	chr10	12805491	12814773	+
203	chr18	62174609	62181101	+
204	chr1	87619456	87627126	+
205	chr16	91544862	91554758	+
206	chr2	11652447	11664449	+
207	chr9	63753233	63759659	+
208	chr1	106706827	106715519	+
209	chr6	48699858	48706384	+
210	chr1	138167007	138175115	+
212	chr3	96558315	96565233	+
213	chr6	99260104	99266632	+
215	chr11	86575555	86583329	+
216	chr4	43557537	43563787	+
217	chr4	136171650	136182466	+
219	chr17	51804833	51813509	+
220	chr3	107036622	107045162	+
221	chr15	5239275	5245497	+
222	chr4	145238503	145247285	+
223	chr3	106780399	106790037	+
224	chr7	126699853	126706069	+
225	chr11	48852995	48859521	+
226	chr13	24613105	24620135	+
227	chr5	137628536	137633740	+
228	chr8	25097536	25104448	+
229	chr12	102366283	102373451	+
230	chr19	4215711	4223361	+
231	chr1	131274586	131281634	+
232	chr2	6715928	6722946	+
233	chr1	74237234	74244938	+
234	chr9	101074796	101081614	+
235	chr2	91955270	91963106	+
237	chr2	158715541	158724955	+
239	chr2	3725259	3732789	+
240	chr10	19591238	19600464	+
242	chr11	48867734	48873466	+
243	chr12	107970792	107979208	+
244	chr5	112276775	112285699	+
245	chr19	57114578	57120732	+
246	chr9	116168140	116175390	+
247	chr3	60501536	60508624	+
248	chr16	23980903	23987821	+
249	chr7	80201757	80211407	+
250	chr12	107921123	107930909	+
251	chr7	132805060	132813532	+
252	chr8	83736613	83743227	+
253	chr2	152821950	152830970	+
254	chr11	46370277	46379051	+
255	chr19	5724846	5731056	+
256	chr18	80702115	80708525	+
257	chr18	75382326	75392802	+
258	chr1	171914895	171922165	+
260	chr11	70431662	70438436	+
261	chr11	117775570	117783758	+
262	chr5	105134499	105143513	+
263	chr11	57643770	57652700	+
264	chr13	46718363	46726645	+
265	chr8	94432089	94437885	+
266	chr14	75184855	75193033	+
267	chr7	127133406	127138616	+
268	chr10	127660803	127668977	+
269	chr2	122148772	122153582	+
270	chr17	28206004	28213908	+
271	chr19	25050820	25058806	+
272	chr3	87844851	87850925	+
273	chr7	100491453	100497215	+
274	chr2	73449547	73455745	+
275	chr5	122944392	122953248	+
276	chr17	47503538	47509954	+
277	chr6	48644770	48651626	+
278	chr11	88999146	89004868	+
280	chr9	66914614	66921100	+
281	chr5	72745244	72753422	+
282	chr10	60277599	60287215	+
283	chr7	143622724	143630036	+
284	chr2	29620012	29625028	+
285	chr10	93161908	93169018	+
286	chr2	43748326	43754586	+
287	chr1	133131450	133136310	+
288	chr4	62633609	62639045	+
289	chr6	136936871	136941733	+
290	chr10	77528441	77534661	+
292	chr15	79927370	79936012	+
293	chr3	88143079	88148235	+
294	chr1	60744950	60752530	+
295	chr1	125427324	125435100	+
296	chr5	134227017	134238017	+
297	chr12	110493732	110501504	+
298	chr5	123135364	123142184	+
299	chr6	87528055	87534755	+
300	chr2	173214665	173220817	+
301	chr7	19266154	19273334	+
302	chr10	99260684	99266548	+
303	chr10	7831082	7836492	+
