chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
chr16	17	91450737	32036	0.0	0.0	0.0	32036.0	0.0	91450237	0.0	0.0	0.0	9.24	0.0
chr13	14	58589918	31213	0.0	0.0	0.0	31213.0	0.0	58589418	0.0	0.0	0.0	9.82	0.0
chr13	14	59767053	31214	0.0	0.0	0.0	31214.0	0.0	59766553	0.0	0.0	0.0	9.82	0.0
chr13	14	112197697	31221	0.0	0.0	0.0	31221.0	0.0	112197197	0.0	0.0	0.0	9.82	0.0
chr13	14	112460111	31222	0.0	0.0	0.0	31222.0	0.0	112459611	0.0	0.0	0.0	9.82	0.0
chr14	11	8314451	31224	0.0	0.0	0.0	31224.0	0.0	8313793	0.0	0.0	0.0	9.82	0.0
chr17	18	52156811	32059	0.0	0.0	0.0	32059.0	0.0	52156311	0.0	0.0	0.0	9.24	0.0
chr14	11	18668544	31225	0.0	0.0	0.0	31225.0	0.0	18668044	0.0	0.0	0.0	9.82	0.0
chr17	18	44702254	32055	0.0	0.0	0.0	32055.0	0.0	44701754	0.0	0.0	0.0	9.24	0.0
chr14	11	27086314	31228	0.0	0.0	0.0	31228.0	0.0	27085814	0.0	0.0	0.0	9.82	0.0
chr17	18	44193764	32054	0.0	0.0	0.0	32054.0	0.0	44193264	0.0	0.0	0.0	9.24	0.0
chr14	11	47354313	31233	0.0	0.0	0.0	31233.0	0.0	47353813	0.0	0.0	0.0	9.82	0.0
chr16	17	44294592	32025	0.0	0.0	0.0	32025.0	0.0	44294092	0.0	0.0	0.0	9.24	0.0
chr14	11	52097319	31235	0.0	0.0	0.0	31235.0	0.0	52096819	0.0	0.0	0.0	9.82	0.0
chr14	11	54074479	31238	0.0	0.0	0.0	31238.0	0.0	54073979	0.0	0.0	0.0	9.82	0.0
chr14	11	71156679	31245	0.0	0.0	0.0	31245.0	0.0	71156049	0.0	0.0	0.0	9.82	0.0
chr14	11	74823514	31246	0.0	0.0	0.0	31246.0	0.0	74823014	0.0	0.0	0.0	9.82	0.0
chr14	11	75803723	31247	0.0	0.0	0.0	31247.0	0.0	75803083	0.0	0.0	0.0	9.82	0.0
chr17	18	24561768	32047	0.0	0.0	0.0	32047.0	0.0	24561268	0.0	0.0	0.0	9.24	0.0
chr17	18	5215012	32044	0.0	0.0	0.0	32044.0	0.0	5214512	0.0	0.0	0.0	9.24	0.0
chr16	17	94080993	32037	0.0	0.0	0.0	32037.0	0.0	94080493	0.0	0.0	0.0	9.24	0.0
chr14	11	76675703	31248	0.0	0.0	0.0	31248.0	0.0	76675203	0.0	0.0	0.0	9.82	0.0
chr14	11	78321727	31249	0.0	0.0	0.0	31249.0	0.0	78321227	0.0	0.0	0.0	9.82	0.0
