id	chr_name	start	end	chromosome_id	tag_count_100um_k99a	id_100um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc	ets_tag_count	ets_id	batf_tag_count	batf_id	junb_tag_count	junb_id	cjun_tag_count	cjun_id	jund_tag_count	jund_id	irf4_tag_count	irf4_id
1	chr14	54222352	54234352	11	1400.3	1	239.5	1034.0	3600.7	1.0	3533.7	1.0	1537.7	1.0	45.1	337.0	114.3	1291.0	117.8	2511.0	34.1	10673.0	121.1	1271.0	169.4	258.0
3	chr14	54216239	54221663	11	1268.5	3	2237.7	2.0	3600.7	1.0	3533.7	1.0	1388.7	3.0												
4	chr9	32699012	32723314	12	1231.8	4	1938.1	3.0	1798.8	3.0	2220.4	3.0	1118.9	4.0			117.5	1220.0	35.9	12156.0	73.7	2345.0	63.2	7127.0	62.0	3954.0
5	chr14	54160991	54181369	11	1001.6	5	2255.2	1.0	2161.0	2.0	3384.2	2.0	1388.7	2.0			16.6	21939.0					8.34	63032.0	11.1	40968.0
6	chr15	73145998	73165582	16	958.0	6	190.2	1735.0	261.9	838.0	1158.3	7.0	1034.6	6.0	16.3	4502.0	30.0	11400.0	194.6	860.0	56.6	4336.0	85.8	3478.0	32.7	12857.0
7	chr11	87743568	87755744	13	870.9	7	1042.9	13.0	742.7	50.0	1082.4	9.0	928.9	7.0	33.0	811.0	91.3	2053.0	75.2	5324.0	52.5	5038.0	95.5	2655.0	77.9	2346.0
8	chr11	22838219	22855151	13	830.2	8	326.2	527.0	1217.1	6.0	1213.3	5.0	1045.5	5.0			32.6	10247.0	19.2	17391.0			29.6	24663.0	24.2	19367.0
15	chr15	66792140	66806634	16	700.7	15	83.4	8873.0	593.1	102.0	877.4	29.0	87.8	5340.0	30.2	1053.0	76.0	2934.0	39.3	11359.0	32.8	11285.0	68.6	6009.0	29.5	14848.0
17	chr11	11687347	11700183	13	687.1	17	1027.1	15.0	960.3	18.0	129.7	4323.0	52.6	11178.0			41.5	7461.0			25.2	15092.0	44.1	14069.0	21.0	22940.0
19	chr12	107987745	108002089	15	654.3	19	40.9	17210.0	7.3	32955.0	854.6	33.0	626.7	28.0	35.7	631.0	44.7	6723.0	91.9	3849.0	43.7	7206.0	54.1	9691.0	17.8	27610.0
20	chr6	38339790	38353052	7	643.0	20	1133.9	9.0	975.8	16.0	915.1	21.0	672.4	19.0									21.8	33813.0	17.1	28646.0
22	chr7	83646757	83656965	8	610.8	22	1046.2	12.0	880.5	26.0	823.1	37.0	594.4	34.0	32.1	857.0	161.0	528.0			17.1	20304.0	34.2	20594.0	222.9	84.0
29	chr19	4295745	4305145	21	586.5	29	1034.6	14.0	832.6	32.0	895.9	27.0	571.9	47.0	23.0	2197.0	140.5	774.0	127.0	2173.0	56.6	4354.0	89.3	3170.0	178.2	229.0
30	chr18	75369547	75381197	20	582.5	30	871.9	35.0	811.1	37.0	789.7	46.0	596.7	33.0	57.8	187.0					18.4	19610.0	28.8	25574.0	8.76	46896.0
39	chr15	77830626	77841000	16	534.4	39	788.4	48.0	696.2	66.0	757.0	57.0	577.1	43.0	28.4	1268.0	70.9	3324.0	61.8	7018.0	19.8	18613.0	71.3	5528.0	27.4	16471.0
41	chr6	41532444	41540094	7	531.1	41	1248.2	5.0	1133.6	8.0	1105.9	8.0	561.5	53.0	27.1	1397.0							14.5	46384.0	12.7	37105.0
50	chr3	95660511	95670141	4	480.7	50	675.8	70.0	704.4	60.0	689.1	72.0	523.9	62.0			139.9	778.0			68.9	2747.0	47.6	12254.0	29.3	14916.0
53	chr8	123025824	123039022	10	466.0	53	816.8	42.0	146.0	3219.0	150.7	3138.0	140.4	1933.0	23.9	1952.0	81.8	2548.0	76.0	5210.0	66.2	3050.0	56.5	8914.0	77.2	2395.0
54	chr4	155213514	155221364	5	462.6	54	587.4	114.0	579.4	104.0	588.4	107.0	446.5	103.0			20.4	17501.0	44.3	10094.0	15.0	21652.0	51.9	10423.0	19.8	24346.0
55	chr12	73601459	73611543	15	459.2	55	167.7	2291.0	176.1	2091.0	264.3	842.0	470.2	87.0	29.3	1146.0	39.0	8151.0	101.9	3201.0	47.8	6100.0	64.0	6935.0	71.2	2905.0
58	chr19	53531010	53540590	21	454.1	58	35.9	18740.0	595.3	100.0	624.2	94.0	618.1	30.0			84.9	2382.0	41.8	10785.0	23.2	16503.0	85.6	3512.0	35.7	11209.0
61	chr15	77797704	77808262	16	446.8	61	506.4	177.0	306.1	568.0	155.0	2945.0	132.9	2196.0	28.0	1322.0	43.4	7049.0	157.9	1403.0	23.2	16439.0	44.1	14105.0	52.6	5581.0
64	chr11	52262218	52270716	13	444.5	64	735.9	56.0	1457.1	5.0	1441.1	4.0	465.6	89.0			19.2	18943.0	152.0	1512.0	26.6	14277.0				
67	chr7	4650549	4657699	8	442.8	67	572.3	125.0	553.4	117.0	557.6	128.0	482.3	80.0	17.2	3987.0	44.7	6673.0	142.8	1697.0			27.4	26814.0	17.1	28663.0
69	chr2	167938253	167945753	2	435.5	69	482.2	199.0	465.8	205.0	787.2	47.0	664.9	22.0	14.9	4992.0	67.1	3608.0	66.8	6263.0	59.4	3867.0	107.6	1844.0	40.1	9190.0
70	chr1	131190841	131200621	1	434.9	70	652.4	81.0	652.8	74.0	648.3	86.0	428.0	121.0	35.2	639.0	129.7	949.0	154.5	1455.0	64.1	3241.0	43.6	14266.0	33.2	12430.0
82	chr14	79530270	79539600	11	411.2	82	76.8	9898.0	563.9	113.0	516.8	164.0	68.7	7982.0	37.9	517.0	33.9	9844.0	44.3	10195.0	45.7	6643.0	22.9	32506.0	24.7	18962.0
84	chr19	46503011	46512325	21	405.5	84	56.7	13535.0	499.1	160.0	503.2	171.0	402.6	140.0	19.0	3369.0	24.3	14812.0			56.0	4464.0	50.3	11128.0	14.1	34528.0
87	chr8	15012747	15022067	10	397.0	87	561.5	131.0	555.6	115.0	461.9	207.0	163.5	1385.0	24.8	1764.0	49.8	5729.0	30.1	13813.0			20.7	35400.0	12.9	36688.0
91	chr14	75175124	75183810	11	388.5	91	554.8	135.0	578.0	105.0	1073.7	10.0	441.3	107.0	36.1	597.0	95.8	1905.0	48.5	9347.0	81.2	1873.0	56.8	8851.0	46.3	7099.0
