id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name	pc1	pc2	kmeans
NR_039590	chr9	113951596	113993800	-	35.0	1	Mir5128|mmu-mir-5128|mu-mir-5128|-|2|2 24.19 cM|ncRNA	10.776	20.287	7.011	22.71	44.31399999999999	Mir5128	-0.0017465667987696426	0.00797180001411763	0
NM_010382	chr17	34305867	34316674	+	1661.0	1	H2-Eb1|H-2Eb|H2Eb|Ia-4|Ia4|-|17 B1|17 17.98 cM|protein-coding	21.623	20.709	13.37	22.513	52.602	H2-Eb1	-0.0020223071921185907	0.008945507022984914	0
NM_010378	chr17	34282751	34287771	-	1062.0	1	H2-Aa|Aalpha|H-2Aa|H2Aa|I-Aalpha|IAalpha|Ia-1|Ia1|-|17 B1|17 17.98 cM|protein-coding	43.723	50.738	39.975	47.357	155.92600000000004	H2-Aa	-0.0072088125059508075	0.01983774668941213	0
NR_037237	chr14	30572149	30572208	+	59.0	1	Mir3076|mmu-mir-3076|-|14|14 18.81 cM|ncRNA	48.301	34.766	31.194000000000006	54.502	117.419	Mir3076	-0.004476629717008956	0.023865545397685275	0
NM_013653	chr11	83525779	83530518	-	526.0	1	Ccl5|MuRantes|RANTES|SISd|Scya5|TCP228|RP23-320E6.2|11 C|11 50.66 cM|protein-coding	29.16	30.822	15.162	34.756	56.51600000000001	Ccl5	-0.0016147178868514453	0.011110760068924565	0
NM_010381	chr17	34342212	34344645	-	778.0	1	H2-Ea-ps|AI323765|E-alpha-f|H-2Ea|H2-Ea|I-Ealpha|Ia-3|Ia3|mCG_9941|17 B1|17 17.98 cM|protein-coding	34.959	44.567	29.702	39.799	109.911	H2-Ea-ps	-0.0046975168419247345	0.013610343912382762	0
NR_039567	chr18	60812076	60812163	+	87.0	1	Mir5107|mmu-mir-5107|mu-mir-5107|-|18|18 34.41 cM|ncRNA	57.804	59.85	44.66	49.42	163.418	Mir5107	-0.0072056691597370435	0.020166343155437808	0
NM_207105	chr17	34263227	34269418	+	1185.0	1	H2-Ab1|AI845868|Abeta|H-2Ab|H2-Ab|I-Abeta|IAb|Ia-2|Ia2|Rmcs1|-|17 B1|17 17.98 cM|protein-coding	29.778	27.063	22.331	34.148	79.84	H2-Ab1	-0.0031824055953352877	0.013428123020537908	0
NM_027395	chr15	25363277	25413764	-	1851.0	1	Basp1|2610024P12Rik|CAP-23|CAP23|Ckap3|NAP-22|NAP22|-|15 B1|15|protein-coding	27.961	37.252	19.069000000000006	36.501	65.77600000000001	Basp1	-0.0021405893562052025	0.009722528283664105	0
NM_023065	chr8	70762773	70766663	-	971.0	1	Ifi30|GILT|IP30|-|8 B3.3|8|protein-coding	41.088	62.928	43.216	52.8	136.144	Ifi30	-0.005692000124816857	0.012876408304104086	0
