id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a	tag_count_1um_pcc	id_1um_pcc
1	chr14	54142695	54239189	11	5215.2	1	7255.4	1.0	7729.4	1.0
2	chr6	41530877	41564599	7	1512.5	2	2241.0	3.0	2383.1	4.0
6	chr12	107117748	107149774	15	1003.4	6	1383.7	15.0	1533.8	17.0
7	chr11	98457356	98501532	13	950.2	7	200.3	1681.0	796.4	108.0
8	chr17	84123155	84159153	18	936.1	8	190.4	1848.0	490.9	296.0
11	chr15	66789331	66817131	16	909.8	11	1315.3	18.0	2039.3	8.0
12	chr9	32919670	32945890	12	897.2	12	1785.2	5.0	1740.7	12.0
13	chr6	99368019	99400105	7	863.7	13	1589.7	12.0	2107.8	6.0
14	chr14	60716563	60747987	11	851.9	14	1028.3	39.0	1095.0	46.0
15	chr4	59312600	59341360	5	845.5	15	1050.6	36.0	613.2	185.0
16	chr15	74913826	74939840	16	842.9	16	1092.2	33.0	1025.3	56.0
17	chr8	81760898	81791536	10	838.5	17	1299.9	19.0	1431.7	23.0
19	chr8	72339142	72366170	10	824.9	19	940.5	53.0	501.6	279.0
20	chr4	32333518	32367626	5	814.0	20	807.1	75.0	827.8	103.0
21	chr15	73146933	73179857	16	804.8	21	959.7	51.0	1159.0	37.0
24	chr11	11712853	11742631	13	779.5	24	1200.4	23.0	1600.7	13.0
27	chr2	29642613	29673163	2	759.2	27	1762.9	8.0	2062.1	7.0
28	chr11	106655687	106683863	13	758.3	28	938.6	54.0	885.1	87.0
29	chr12	73702968	73725940	15	756.2	29	1267.2	20.0	994.7	63.0
30	chr9	32486700	32514478	12	748.3	30	914.0	57.0	1461.2	21.0
31	chr14	75173131	75200393	11	739.9	31	908.0	58.0	1277.8	30.0
33	chr2	174596321	174616699	2	733.6	33	905.2	59.0	428.7	412.0
34	chr10	96354430	96377398	9	731.1	34	1167.4	26.0	939.8	72.0
35	chr10	96388541	96413389	9	731.1	35	979.5	49.0	714.8	135.0
37	chr8	111556971	111586329	10	714.8	37	1451.8	14.0	722.1	131.0
41	chr9	123923233	123946071	12	700.3	41	991.1	46.0	869.4	89.0
43	chr1	106597729	106624573	1	694.9	43	932.6	55.0	1086.0	48.0
44	chr10	42881699	42904295	9	692.2	44	986.0	48.0	772.7	118.0
47	chr7	63992282	64014650	8	681.3	47	833.1	68.0	765.2	120.0
48	chr4	32246087	32270319	5	680.4	48	921.2	56.0	1231.5	33.0
52	chr15	97357812	97384588	16	654.7	52	859.4	65.0	228.6	1412.0
54	chr8	126842743	126863999	10	645.9	54	1732.1	10.0	2712.3	3.0
55	chr10	14039269	14061723	9	637.5	55	827.4	69.0	796.0	109.0
57	chr2	6702104	6722222	2	630.2	57	977.2	50.0	1078.6	49.0
60	chr5	105634429	105655397	6	618.6	60	800.1	79.0	754.0	124.0
62	chr10	96681903	96703441	9	617.0	62	874.3	64.0	655.4	165.0
66	chr14	122050366	122071414	11	611.1	66	891.0	61.0	960.9	66.0
71	chr19	53420993	53443827	21	593.3	71	892.4	60.0	382.2	521.0
74	chr14	25510603	25531825	11	586.8	74	599.3	166.0	544.3	227.0
75	chr7	83647636	83665054	8	584.7	75	857.0	66.0	1077.4	51.0
77	chr15	97454564	97473720	16	581.6	77	748.9	93.0	421.3	430.0
83	chr11	107407507	107433399	13	571.3	83	642.7	139.0	397.4	477.0
84	chr13	51736585	51757641	14	571.3	84	818.8	73.0	368.2	559.0
85	chr18	82520045	82544381	20	569.2	85	601.1	164.0	411.9	452.0
86	chr2	127308918	127327616	2	568.0	86	661.3	129.0	897.2	84.0
90	chr4	101178968	101202120	5	559.2	90	681.2	113.0	299.9	838.0
91	chr1	138130762	138153850	1	557.3	91	1814.8	4.0	947.3	70.0
93	chr15	27586650	27607194	16	554.1	93	162.9	2400.0	201.5	1762.0
95	chr2	166642927	166666863	2	552.7	95	563.9	195.0	243.9	1237.0
98	chr15	66849029	66869059	16	548.5	98	821.4	72.0	1252.6	32.0
100	chr1	131181706	131202182	1	544.5	100	534.8	210.0	964.5	65.0
103	chr11	21162416	21183422	13	536.6	103	657.7	131.0	449.3	373.0
105	chr19	32261332	32281388	21	530.1	105	1002.7	42.0	920.8	79.0
106	chr3	21946039	21967769	4	528.0	106	527.3	215.0	736.1	127.0
108	chr14	121997683	122017099	11	522.1	108	1117.6	28.0	878.9	88.0
110	chr17	84843858	84862652	18	521.5	110	186.8	1901.0	176.3	2188.0
112	chr4	134104987	134123465	5	516.9	112	395.8	419.0	415.5	442.0
113	chr11	63962226	63982876	13	515.6	113	353.2	542.0	97.1	6246.0
114	chr17	84323892	84345604	18	514.4	114	594.6	172.0	385.2	514.0
118	chr15	27660733	27679353	16	505.3	118	621.3	149.0	764.5	121.0
119	chr1	128600959	128620513	1	504.1	119	664.9	125.0	383.0	519.0
120	chr1	88574586	88589896	1	502.0	120	785.0	83.0	702.5	140.0
122	chr10	127131163	127147663	9	501.8	122	639.1	143.0	665.9	156.0
126	chr15	36436769	36456267	16	499.1	126	52.9	12454.0	200.0	1788.0
127	chr3	115791003	115810867	4	497.8	127	671.9	121.0	347.1	628.0
131	chr2	18941730	18960890	2	487.1	131	610.3	159.0	75.4	9051.0
132	chr12	73590314	73608196	15	484.4	132	847.7	67.0	979.4	64.0
133	chr12	102607825	102627559	15	480.4	133	397.6	415.0	135.0	3524.0
134	chr7	73581819	73600571	8	480.0	134	652.5	137.0	326.8	715.0
138	chr9	44010278	44030148	12	471.0	138	457.2	295.0	478.4	317.0
141	chr16	92797434	92814702	17	467.9	141	988.4	47.0	220.3	1519.0
143	chr10	96323857	96339403	9	466.6	143	699.8	103.0	369.0	557.0
144	chr10	19181331	19197273	9	464.5	144	595.1	171.0	519.5	259.0
147	chr2	58172346	58191104	2	456.6	147	1765.5	7.0	703.4	139.0
151	chr9	116326106	116341298	12	450.1	151	632.2	145.0	234.7	1337.0
155	chr10	19568559	19588029	9	445.2	155	522.6	217.0	105.1	5498.0
157	chr3	115670948	115688108	4	441.9	157	560.9	196.0	234.5	1340.0
158	chr12	110491470	110508236	15	441.7	158	668.7	123.0	545.6	225.0
159	chr10	96711030	96728990	9	440.4	159	616.8	153.0	323.4	730.0
160	chr8	126823632	126841778	10	440.2	160	1732.1	10.0	2712.3	3.0
163	chr2	126596077	126608697	2	438.3	163	488.3	248.0	81.6	8091.0
164	chr2	11190707	11206693	2	437.1	164	2252.0	2.0	1795.6	9.0
166	chr15	77796271	77810679	16	435.6	166	574.9	187.0	499.1	281.0
167	chr14	121928346	121941942	11	435.0	167	1098.4	31.0	552.7	219.0
168	chr6	86604335	86621237	7	434.8	168	58.8	11180.0	272.1	1015.0
169	chr8	124270487	124286193	10	434.1	169	641.7	142.0	781.8	115.0
170	chr11	95352677	95368583	13	433.9	170	377.8	471.0	81.8	8054.0
171	chr11	83077245	83088133	13	433.3	171	589.5	175.0	315.8	755.0
173	chr10	118089331	118106553	9	432.0	173	993.7	44.0	349.6	618.0
177	chr2	11213412	11229658	2	427.0	177	2252.0	2.0	595.9	192.0
185	chr8	25266064	25280266	10	422.0	185	496.3	240.0	360.8	577.0
191	chr12	73726881	73745813	15	415.9	191	1267.2	20.0	994.7	63.0
192	chr14	73110591	73124939	11	412.2	192	549.1	202.0	413.4	448.0
194	chr10	77532577	77547125	9	411.1	194	473.5	272.0	391.8	496.0
195	chr10	59969693	59985217	9	410.9	195	489.0	247.0	467.6	337.0
198	chr11	86610368	86630518	13	409.2	198	609.6	161.0	423.3	426.0
199	chr5	64491599	64509571	6	409.0	199	391.7	433.0	262.4	1088.0
202	chr12	79619985	79637565	15	407.1	202	642.0	141.0	426.7	418.0
203	chr12	79638660	79654728	15	403.8	203	557.0	198.0	529.2	244.0
205	chr16	52053534	52068524	17	402.3	205	677.4	116.0	863.3	93.0
206	chr2	103673300	103688232	2	401.7	206	501.5	234.0	350.5	613.0
207	chr11	53836479	53854689	13	401.5	207	320.8	667.0	62.4	11283.0
208	chr16	23174923	23191219	17	399.6	208	758.0	91.0	541.3	231.0
209	chr9	65532647	65549057	12	398.7	209	469.2	279.0	444.6	385.0
210	chr1	92047123	92063899	1	398.5	210	456.0	297.0	234.5	1339.0
211	chr11	118138838	118151338	13	398.5	211	475.6	271.0	350.1	615.0
212	chr16	11454206	11469170	17	397.3	212	433.3	335.0	192.3	1908.0
214	chr7	73605355	73620283	8	396.9	214	502.4	231.0	180.0	2107.0
220	chr1	134058269	134072895	1	392.0	220	468.3	280.0	416.6	439.0
222	chr8	111587324	111602216	10	391.6	222	1451.8	14.0	412.9	450.0
223	chr2	22794747	22811465	2	391.0	223	738.1	95.0	442.2	388.0
224	chr11	52297851	52316035	13	391.0	224	697.0	106.0	317.8	745.0
225	chr6	90736513	90752617	7	388.3	225	276.6	914.0	40.0	16510.0
226	chr8	14983437	14998987	10	388.1	226	335.7	619.0	618.8	184.0
227	chr11	88606981	88624927	13	387.6	227	497.7	237.0	578.9	200.0
229	chr1	165796990	165815600	1	387.2	229	775.0	87.0	924.3	76.0
230	chr2	160735308	160749278	2	386.4	230	588.8	177.0	667.0	155.0
231	chr18	82503872	82519236	20	384.5	231	381.6	460.0	420.3	433.0
232	chr18	65309414	65323930	20	384.3	232	487.2	251.0	921.9	78.0
235	chr10	19059984	19069424	9	383.0	235	519.7	219.0	471.1	333.0
236	chr6	113648361	113664681	7	382.8	236	242.2	1180.0	404.5	466.0
239	chr4	63380811	63397493	5	381.6	239	389.0	443.0	495.2	284.0
240	chr11	63984637	63994617	13	381.4	240	579.8	183.0	430.2	408.0
243	chr7	75574970	75590434	8	377.0	243	556.5	199.0	1150.8	39.0
244	chr9	13462171	13475267	12	375.9	244	532.6	212.0	564.9	211.0
246	chr17	71483085	71493297	18	374.2	246	449.3	308.0	416.0	440.0
248	chr9	32903889	32917883	12	373.4	248	1785.2	5.0	1740.7	12.0
249	chr11	107447153	107462017	13	372.4	249	612.3	157.0	624.2	183.0
250	chr7	104285701	104300717	8	372.2	250	506.3	227.0	583.0	197.0
251	chr4	140943663	140956101	5	371.1	251	477.3	266.0	285.1	925.0
252	chr12	84237793	84248829	15	370.7	252	469.5	276.0	312.0	777.0
253	chr5	107965212	107982676	6	370.5	253	392.6	429.0	304.0	815.0
254	chr6	54748916	54764660	7	370.1	254	463.2	286.0	39.4	16707.0
255	chr9	32608110	32621476	12	369.8	255	454.3	300.0	344.0	641.0
256	chr1	180392802	180410340	1	368.8	256	362.7	519.0	1007.4	59.0
257	chr3	100548875	100564559	4	368.8	257	421.4	363.0	339.1	660.0
258	chr10	96576156	96591088	9	368.8	258	509.7	223.0	268.7	1038.0
259	chr5	124068902	124086296	6	368.4	259	269.2	971.0	327.9	710.0
264	chr2	132636042	132650808	2	365.2	264	345.8	567.0	29.9	19726.0
265	chr11	11505808	11520838	13	365.2	265	704.7	101.0	720.8	132.0
268	chr7	128373010	128386030	8	362.5	268	445.8	315.0	424.6	423.0
269	chr1	134091430	134102378	1	362.3	269	423.8	358.0	459.9	347.0
275	chr3	68780519	68796931	4	357.5	275	447.9	310.0	452.8	368.0
276	chr15	82154521	82170721	16	356.2	276	423.7	359.0	280.7	953.0
277	chr5	65875862	65893090	6	355.4	277	445.3	316.0	441.6	389.0
279	chr11	5172004	5185248	13	354.1	279	362.5	520.0	254.3	1151.0
284	chr14	31397175	31410815	11	351.8	284	316.6	684.0	45.2	15109.0
289	chr6	127239138	127251108	7	351.4	289	413.4	377.0	46.7	14767.0
292	chr10	39454899	39473543	9	351.0	292	154.1	2604.0	180.6	2086.0
297	chr2	158699277	158716759	2	349.5	297	317.7	680.0	29.3	19959.0
300	chr3	115965133	115979803	4	349.1	300	463.0	287.0	215.5	1585.0
301	chr11	104659408	104670722	13	348.7	301	444.6	318.0	359.8	582.0
304	chr10	12804423	12818963	9	348.1	304	502.9	230.0	676.5	150.0
305	chr7	106235075	106239711	8	346.8	305	530.2	214.0	455.8	359.0
306	chr10	59896924	59909866	9	346.8	306	303.8	745.0	213.8	1604.0
313	chr14	121361386	121375308	11	343.9	313	490.5	246.0	613.2	186.0
314	chr3	79171703	79182983	4	343.3	314	484.0	257.0	492.0	293.0
315	chr15	36339302	36353122	16	341.8	315	370.1	494.0	165.6	2448.0
316	chr17	84113906	84122830	18	341.4	316	293.3	808.0	498.2	282.0
319	chr7	74689114	74700056	8	339.5	319	480.0	264.0	429.3	411.0
326	chr5	112280375	112295937	6	335.7	326	689.1	110.0	790.6	111.0
327	chr8	13592557	13603583	10	335.3	327	395.5	422.0	445.0	384.0
328	chr8	15015150	15027950	10	335.1	328	418.0	369.0	504.2	274.0
329	chr11	11562649	11574519	13	334.9	329	803.4	78.0	865.5	91.0
331	chr1	180350013	180367059	1	334.5	331	253.4	1096.0	371.4	547.0
338	chr15	60128266	60142286	16	332.2	338	685.7	112.0	355.5	595.0
339	chr19	32176619	32192291	21	331.5	339	403.4	406.0	186.4	2003.0
342	chr6	136489096	136500770	7	331.1	342	407.5	391.0	142.5	3171.0
343	chr9	90242521	90253605	12	330.7	343	404.1	404.0	373.1	541.0
345	chr8	84197604	84205890	10	329.6	345	496.0	241.0	43.5	15573.0
349	chr4	32285491	32300519	5	328.4	349	440.5	323.0	941.5	71.0
350	chr17	51898110	51912560	18	327.8	350	571.8	191.0	309.4	789.0
352	chr9	45243783	45255135	12	326.9	352	379.0	469.0	349.4	622.0
