chr_name	chromosome_id	end	id	id_13_11_20	id_13_11_25	id_14_06_11	start	tag_count_13_11_20	tag_count_13_11_25	tag_count_14_06_11
chr14	11	54187569	3	3.0	56.0	8928.0	54143515	1469.0	447.2	200.4
chr2	2	6725149	6	6.0	57.0	602.0	6703631	1043.3	443.2	689.0
chr8	10	126858779	61	61.0	36001.0	50102.0	126844181	624.9	11.0	14.3
chr15	16	66866401	66	66.0	17003.0	5600.0	66849567	608.7	44.2	260.5
chr15	16	74938489	69	69.0	12462.0	38739.0	74923283	593.6	59.2	25.8
chr1	1	88589831	70	70.0	35080.0	4241.0	88575679	592.0	11.5	296.8
chr2	2	127325431	95	95.0	268.0	5963.0	127312465	545.4	290.6	251.9
chr8	10	124280749	141	141.0	254.0	16219.0	124268505	484.8	295.6	117.4
chr1	1	43476061	147	147.0	1281.0	4348.0	43462587	473.8	170.7	293.0
chr8	10	111598455	150	150.0	303.0	12475.0	111586969	471.7	279.1	154.6
chr1	1	54916916	160	160.0	2425.0	28837.0	54903256	466.5	134.0	46.8
chr11	13	11574646	173	173.0	19127.0	27364.0	11563592	456.0	38.1	52.5
chr15	16	55856276	189	189.0	88.0	13638.0	55843504	445.0	400.0	142.2
chr9	12	63721853	190	190.0	18298.0	35155.0	63710169	444.5	40.2	31.5
chr16	17	10778161	195	195.0	306.0	19691.0	10766453	438.8	279.1	91.6
chr3	4	21944897	202	202.0	397.0	10526.0	21934457	433.0	254.5	177.5
chr7	8	126187653	205	205.0	1823.0	18741.0	126174657	430.4	149.6	97.3
chr11	13	95358703	209	209.0	5845.0	18922.0	95349009	428.3	92.9	96.4
chr2	2	103660553	223	223.0	1151.0	10728.0	103651129	421.0	177.7	174.6
chr8	10	111574277	253	253.0	229.0	26567.0	111561525	406.3	303.2	55.3
chr2	2	158167422	264	264.0	1039.0	2114.0	158159076	402.2	183.7	400.8
chr2	2	13416068	265	265.0	41431.0	19584.0	13406132	401.6	7.53	91.6
chr9	12	90252962	285	285.0	2944.0	6317.0	90242082	389.6	125.0	244.3
chr10	9	14051787	286	286.0	4726.0	30986.0	14039407	389.6	101.9	41.0
chr10	9	42904525	335	335.0	172.0	48961.0	42895795	372.3	324.8	15.3
chr19	21	53190173	362	362.0	729.0	18681.0	53179357	364.0	208.8	98.3
chr18	20	56473653	373	373.0	15832.0	37611.0	56462471	361.4	47.7	27.7
