chr_name	chromosome_id	end	id	id_1um_k99a	id_1um_pcc	id_no_peptide	start	tag_count_1um_k99a	tag_count_1um_pcc	tag_count_no_peptide
chr2	2	167962016	25	94.0	2128.0	25.0	167930530	738.8	178.7	776.6
chr4	5	156034688	42	151.0	144.0	42.0	156008044	618.5	688.3	698.4
chr8	10	72176880	107	9215.0	427.0	107.0	72158514	69.6	423.1	523.1
chr11	13	87738347	121	915.0	8235.0	121.0	87717023	276.6	80.5	502.0
chr15	16	78573790	130	2654.0	5936.0	130.0	78554596	152.2	100.3	492.6
chr7	8	30426386	142	17321.0	18884.0	142.0	30409220	34.9	32.3	466.6
chr1	1	40481574	156	395.0	1848.0	156.0	40465230	406.5	196.4	441.9
chr7	8	24910019	162	1207.0	12382.0	162.0	24889663	239.5	57.3	438.5
chr7	8	132804337	175	414.0	5447.0	175.0	132786295	397.6	105.7	430.2
chr8	10	123042186	234	711.0	3801.0	234.0	123024372	311.7	129.8	383.3
chr4	5	129823436	241	598.0	1396.0	241.0	129806610	340.2	229.9	379.9
chr11	13	117785293	260	545.0	6019.0	260.0	117769289	353.1	99.5	366.5
chr7	8	126711840	267	7554.0	6120.0	267.0	126696622	80.6	98.4	363.6
chr11	13	118351352	271	2793.0	9291.0	271.0	118336282	148.4	73.6	361.1
chr7	8	4665337	280	864.0	7497.0	280.0	4650891	283.8	86.3	352.9
chr19	21	4194786	282	4315.0	669.0	282.0	4179318	115.1	335.9	352.7
chr6	7	124736081	324	922.0	733.0	324.0	124723095	276.3	322.1	336.5
chr8	10	72326052	367	7063.0	946.0	367.0	72312032	84.4	281.6	321.5
chr7	8	24464444	375	11695.0	4924.0	375.0	24451250	56.4	111.7	319.8
chr3	4	89196622	392	1297.0	1302.0	392.0	89182924	230.0	237.0	312.7
chr19	21	5879846	410	1128.0	894.0	410.0	5865540	249.1	290.4	305.1
chr1	1	133703049	412	889.0	1121.0	412.0	133688001	279.7	257.5	304.9
chr9	12	44499130	431	1111.0	1787.0	431.0	44486642	252.0	200.0	299.3
chr12	15	80135993	466	1369.0	2477.0	466.0	80121229	223.5	164.5	287.5
chr15	16	102236711	481	983.0	8574.0	481.0	102225325	267.5	78.4	284.0
chr5	6	103764509	487	1508.0	1175.0	487.0	103752825	211.5	251.0	282.7
chr1	1	171398083	502	893.0	8522.0	502.0	171386581	278.7	78.8	280.2
chr7	8	135656779	515	1148.0	3420.0	515.0	135646077	246.5	137.1	277.3
chr17	18	57082486	526	1051.0	1315.0	526.0	57074502	258.7	236.4	275.8
chr15	16	78906315	532	1225.0	18525.0	532.0	78893133	237.8	33.4	274.3
chr2	2	180733702	549	2374.0	3318.0	549.0	180723842	163.6	139.1	268.7
chr17	18	35926419	562	1015.0	1501.0	562.0	35914785	263.2	221.5	267.2
chr11	13	103348466	609	1215.0	1378.0	609.0	103340188	239.0	231.7	257.4
chr2	2	30244547	642	1441.0	2330.0	642.0	30235329	216.6	170.5	250.1
chr3	4	88630165	674	3136.0	1483.0	674.0	88620563	138.5	223.3	244.2
chr14	11	70178881	699	1574.0	1739.0	699.0	70171993	206.9	203.2	239.8
chr17	18	6432348	703	0.0	0.0	703.0	6428542	0.0	0.0	238.3
chr11	13	69903175	741	5757.0	5688.0	741.0	69890941	96.6	103.1	231.6
chr11	13	115161229	801	4442.0	3230.0	801.0	115152673	113.0	141.0	223.9
chr14	11	55595260	840	3043.0	15383.0	840.0	55584186	141.4	44.1	218.6
chr13	14	55434553	847	1615.0	2376.0	847.0	55425821	204.3	168.4	218.4
chr9	12	106212202	857	1460.0	2059.0	857.0	106201828	215.4	182.4	217.0
chr8	10	84075834	888	1509.0	4254.0	888.0	84067682	211.1	121.6	214.5
chr12	15	101978721	930	2425.0	2488.0	930.0	101971037	161.8	164.1	210.1
chr10	9	81302752	978	19856.0	3708.0	978.0	81292862	27.8	131.3	203.8
chr8	10	81017343	980	19375.0	1805.0	980.0	81007597	29.0	199.2	203.6
chr15	16	79118412	1032	6618.0	12356.0	1032.0	79108554	88.1	57.3	197.7
chr5	6	122165724	1066	2474.0	3780.0	1066.0	122156134	159.1	130.3	195.6
chr9	12	72966511	1171	2733.0	4901.0	1171.0	72957175	150.2	112.2	187.0
chr11	13	120355942	1229	6673.0	11282.0	1229.0	120348930	87.6	62.4	183.0
chr18	20	67732366	1276	2181.0	3010.0	1276.0	67722366	172.5	147.5	178.4
chr2	2	32053811	1286	13415.0	13744.0	1286.0	32042833	49.0	51.0	177.2
chr17	18	33956294	1330	10802.0	2775.0	1330.0	33946718	60.6	155.2	175.3
chr10	9	63248603	1332	2146.0	2734.0	1332.0	63238747	174.0	156.7	175.3
chr19	21	5694567	1340	2993.0	3660.0	1340.0	5686953	142.6	132.2	174.9
chr2	2	166712954	1350	2611.0	2741.0	1350.0	166705020	153.8	156.5	173.8
chr1	1	91188207	1384	2707.0	6709.0	1384.0	91179943	150.8	93.0	171.5
chr15	16	98095447	1453	7787.0	10325.0	1453.0	98087825	78.5	67.6	167.5
chr14	11	55888855	1480	18069.0	2809.0	1480.0	55881057	32.6	153.7	166.1
chr11	13	95843332	1483	3561.0	8598.0	1483.0	95837836	129.0	78.2	165.4
chr4	5	106319588	1536	3760.0	4514.0	1536.0	106310968	125.1	117.6	162.5
chr1	1	161792447	1577	2481.0	5885.0	1577.0	161784581	158.7	101.0	160.4
chr4	5	133132333	1595	0.0	0.0	1595.0	133128513	0.0	0.0	159.6
chr17	18	56294891	1616	2933.0	2739.0	1616.0	56288511	144.7	156.5	158.5
chr1	1	43453737	1684	2645.0	8005.0	1684.0	43446017	152.6	82.2	154.8
chr11	13	115469611	1716	2804.0	5558.0	1716.0	115462337	148.1	104.4	153.1
chr7	8	126780008	1747	3915.0	3393.0	1747.0	126772304	122.0	137.6	151.6
chr7	8	126587149	1767	2837.0	4443.0	1767.0	126582707	147.2	118.8	150.6
chr5	6	134316374	1781	3808.0	9752.0	1781.0	134307478	124.2	70.8	149.7
chr19	21	43677036	1818	2931.0	3362.0	1818.0	43671166	144.8	138.0	148.1
chr9	12	57150665	1831	2859.0	4055.0	1831.0	57146505	146.6	125.1	147.6
chr19	21	5574392	1836	7042.0	4600.0	1836.0	5566994	84.5	116.0	147.4
chr13	14	49219462	1844	2930.0	8964.0	1844.0	49213394	144.8	75.8	147.2
chr3	4	89440708	1860	3925.0	4797.0	1860.0	89433934	121.8	113.5	146.4
chr7	8	25240838	1964	4426.0	3397.0	1964.0	25233722	113.4	137.6	142.0
chr11	13	50294098	1976	11262.0	16553.0	1976.0	50286416	58.2	39.8	141.6
chr6	7	48557186	1982	3208.0	6284.0	1982.0	48552630	136.6	96.7	141.2
chr18	20	35733345	1985	10701.0	8694.0	1985.0	35726963	61.2	77.5	140.9
chr9	12	121709655	1999	3142.0	5927.0	1999.0	121703153	138.3	100.5	140.3
chr7	8	80906266	2014	9044.0	10511.0	2014.0	80899680	70.4	66.5	139.9
chr10	9	62604873	2034	3740.0	5047.0	2034.0	62597213	125.6	110.2	139.1
chr2	2	181602742	2043	3654.0	4863.0	2043.0	181596708	127.3	112.6	138.9
chr9	12	123154555	2074	5266.0	14430.0	2074.0	123149881	102.2	48.0	137.8
chr15	16	82347506	2098	5852.0	10836.0	2098.0	82340860	95.5	64.8	137.0
chr19	21	5666789	2124	3383.0	4139.0	2124.0	5660695	132.5	123.6	136.1
chr7	8	126801982	2130	3968.0	3944.0	2130.0	126797088	121.1	127.0	135.9
chr7	8	24402631	2153	10537.0	6466.0	2153.0	24395137	62.0	94.9	134.7
chr7	8	126372506	2195	4253.0	4404.0	2195.0	126366628	116.0	119.5	132.8
chr11	13	103699695	2196	3676.0	3931.0	2196.0	103695663	126.8	127.2	132.8
chr15	16	100737984	2263	7340.0	7055.0	2263.0	100730752	82.1	90.0	130.1
chr15	16	76514801	2265	17805.0	7590.0	2265.0	76509697	33.3	85.5	130.1
chr2	2	152333859	2270	8300.0	4193.0	2270.0	152327165	75.1	122.7	130.1
chr3	4	96731055	2291	3852.0	5002.0	2291.0	96723977	123.2	110.9	129.2
chr14	11	30552717	2314	5771.0	4321.0	2314.0	30546839	96.4	120.6	128.6
chr7	8	127877911	2346	9036.0	4782.0	2346.0	127872221	70.6	113.7	127.5
chr8	10	84970055	2365	8644.0	6939.0	2365.0	84964375	73.2	90.9	127.1
chr2	2	71878590	2379	5055.0	4713.0	2379.0	71870314	104.6	114.5	126.9
chr11	13	97688577	2384	7400.0	14884.0	2384.0	97682283	81.6	46.1	126.7
chr8	10	72245113	2401	18517.0	4860.0	2401.0	72239201	31.4	112.6	126.3
chr8	10	122477985	2418	6141.0	7673.0	2418.0	122470643	92.6	84.8	125.9
chr15	16	76628072	2423	5263.0	7638.0	2423.0	76623168	102.2	85.0	125.7
chr10	9	80622576	2443	14919.0	10957.0	2443.0	80616118	43.0	64.2	124.8
