PeakID (cmd=annotatePeaks.pl enhancers_only_no_peptide.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
5882	chr9	106411104	106411734	+	0	NA	Intergenic	Intergenic	-18120	NM_009082	19944	Mm.288696	NM_009082	ENSMUSG00000048758	Rpl29	Rpl43	ribosomal protein L29	protein-coding
7121	chr6	54778352	54778852	+	0	NA	Intergenic	RMER15|LTR|ERVL	-38314	NM_199143	387524	Mm.286149	NM_199143		Znrf2	1190002C14Rik|AU044205|D6Ertd365e	zinc and ring finger 2	protein-coding
7699	chrX	166470025	166470525	+	0	NA	intron (NM_019773, intron 1 of 2)	intron (NM_019773, intron 1 of 2)	9592	NM_019773	56382	Mm.25306	NM_019773	ENSMUSG00000079316	Rab9	2410064E05Rik|AI195561|Rab9a|Sid6061p	RAB9, member RAS oncogene family	protein-coding
6598	chr2	168281468	168282096	+	0	NA	Intergenic	Intergenic	-12451	NM_001081134	241794	Mm.425102	NM_001081134	ENSMUSG00000074575	Kcng1	AW536275|OTTMUSG00000016048	potassium voltage-gated channel, subfamily G, member 1	protein-coding
6697	chr9	21261757	21262381	+	0	NA	Intergenic	Intergenic	-3216	NM_153583	235040	Mm.440165	NM_153583	ENSMUSG00000002820	Atg4d	9830134P12Rik|APG4-D|Apg4d|Atg4dl|Autl4	autophagy related 4D, cysteine peptidase	protein-coding
5541	chr6	83092236	83092872	+	0	NA	Intergenic	Intergenic	6189	NM_010692	16815	Mm.20359	NM_010692	ENSMUSG00000034968	Lbx2	Lbx2h	ladybird homeobox homolog 2 (Drosophila)	protein-coding
5430	chr13	63552072	63552832	+	0	NA	intron (NM_008957, intron 2 of 22)	intron (NM_008957, intron 2 of 22)	13068	NM_008957	19206	Mm.228798	NM_008957	ENSMUSG00000021466	Ptch1	A230106A15Rik|Ptc|Ptc1|Ptch|mes	patched homolog 1	protein-coding
8208	chr2	117314824	117315324	+	0	NA	intron (NM_011246, intron 2 of 16)	L1VL4|LINE|L1	27803	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp	RAS guanyl releasing protein 1	protein-coding
8670	chr1	87634242	87634742	+	0	NA	intron (NR_122078, intron 1 of 27)	intron (NR_122078, intron 1 of 27)	14180	NR_122078	16331	Mm.15105	NM_010566	ENSMUSG00000026288	Inpp5d	SHIP|SHIP-1|SHIP1|SIP-145|p150Ship|s-SHIP	inositol polyphosphate-5-phosphatase D	protein-coding
7172	chr9	47727277	47727777	+	0	NA	intron (NM_001025600, intron 1 of 8)	intron (NM_001025600, intron 1 of 8)	90681	NR_046048	100038460	Mm.447649	NR_046048		Gm10677	ENSMUSG00000074363	predicted gene 10677	ncRNA
7970	chr19	6299931	6300431	+	0	NA	TTS (NM_010119)	TTS (NM_010119)	-6276	NM_001033342	240505	Mm.329622	NM_001033342	ENSMUSG00000024769	Cdc42bpg	BC046418|MRCKgamma	CDC42 binding protein kinase gamma (DMPK-like)	protein-coding
4913	chr12	26184342	26184842	+	0	NA	Intergenic	Intergenic	-26675	NR_046278	74930	Mm.398932	NR_046278		4930480M12Rik	-	RIKEN cDNA 4930480M12 gene	ncRNA
