Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d Tcell-CD69neg-K99A10-22h-ES Tcell-CD69neg-nopept-22h-ES Tcell-CD69neg-PCC01-22h-ES Tcell-CD69neg-PCC1-22h-ES Tcell-CD69pos-K99A100-22h-ES Tcell-CD69pos-K99A10-22h-ES Tcell-CD69pos-PCC01-22h-ES Tcell-CD69pos-PCC1-22h-ES -rpkm -condenseGenes)	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM	gene_name
NR_037906	36.031	2.113	50.607	30.66	Luc7l
NM_153566	2.576	0.282	71.69	46.25899999999999	Yrdc
NM_025437	0.0	0.622	52.222	54.651	Eif1ax
NR_030259	0.0	0.0	111.75200000000001	35.964	Mir546
NM_016927	82.6	0.0	3.322	4.82	Pkd2l2
NM_001002927	0.0	0.0	36.453	58.211999999999996	Penk
NM_026274	77.146	0.0	4.75	8.798	Rspry1
NM_025289	0.0	0.0	48.163000000000004	55.266000000000005	Tbrg1
NM_016748	51.022	1.5619999999999998	31.259	24.555999999999997	Ctps
NM_001112700	98.508	30.994	40.678000000000004	46.229	Cyth1
NM_008654	0.0	29.038	84.329	104.677	Ppp1r15a
NM_001044383	0.0	0.023	42.876000000000005	57.173	Ubtf
NM_028451	50.821000000000005	77.02199999999999	142.97899999999998	147.447	Larp1
NM_001310731	0.0	20.066	108.18	79.335	Rnf220
NM_001190444	0.0	38.933	90.413	123.47200000000001	Aamp
NM_028873	120.104	27.247	27.639	26.241	Dnajc14
NM_026631	0.0	33.297	92.337	111.427	Nhp2
NM_001081034	229.653	74.305	48.445	33.484	Fbxo11
NM_001290409	74.41	0.023	15.243	8.965	Rdh13
NM_024499	0.0	0.017	43.178999999999995	57.56	Sgta
NM_134142	0.0	2.3890000000000002	52.29600000000001	59.893	Tmem109
NM_008330	0.21	0.0	12.959000000000001	66.359	Ifi47
NM_016688	65.117	0.21899999999999997	15.638	16.711	Pdcd7
NM_027360	0.0	0.0	68.771	50.775	2010107E04Rik
NM_013910	106.536	49.648	82.148	67.668	Kdm2b
NM_177592	106.2	11.294	7.864	10.965	Tmem164
NM_025947	0.0	0.0	13.552	67.281	Dynlrb1
NM_009850	0.0	0.066	39.495	59.821999999999996	Cd3g
NM_029826	77.352	0.0	5.381	10.919	Hdhd2
NM_025348	0.0	0.0	37.293	60.611000000000004	Ndufa3
NM_025987	0.0	0.302	54.893	56.156000000000006	Ndufa6
NR_106013	0.0	0.0	54.31100000000001	55.912	Mir7046
NR_045880	93.973	0.0	0.0	0.203	Gm15612
NM_012002	0.0	0.62	48.559	58.99	Cops6
NM_198102	0.0	0.0	63.86600000000001	53.278	Tra2a
NM_009838	0.168	52.881	117.648	146.131	Cct6a
NM_001110101	0.0	0.467	43.238	60.496	Lsm2
NM_153570	0.0	0.0	47.626999999999995	58.385	Noc4l
NM_013608	0.0	0.0	63.928999999999995	53.668	Naca
NM_009273	0.0	0.043	46.638000000000005	58.828	Srp14
NM_007452	0.0	1.4240000000000002	53.36600000000001	59.74100000000001	Prdx3
NM_001163572	104.514	5.872999999999999	5.82	3.417	Tmem170b
NM_007927	2.0469999999999997	0.084	57.086000000000006	54.806000000000004	Emd
NM_023172	0.562	14.713	82.98700000000001	78.457	Ndufb9
NM_024432	0.214	0.02	47.516999999999996	59.193999999999996	Ubxn6
NM_024233	0.0	0.0	37.353	62.387	Rexo2
NM_010219	2.858	49.746	105.619	142.56	Fkbp4
NM_019824	0.0	48.28	88.22399999999999	147.363	Arpc3
NM_001163434	0.14400000000000002	174.042	347.63300000000004	330.11199999999997	Hspa5
NM_001168491	269.993	79.734	27.467	24.354	Pdcd4
NM_178626	189.824	52.152	25.897	29.291	Cdc42se2
NR_015479	89.471	0.0	3.582	5.279	C230091D08Rik
NM_001146174	2.221	12.357999999999999	70.145	77.817	Rangap1
NM_013660	247.965	105.11399999999999	94.28399999999999	74.00399999999999	Sema4d
NM_028632	0.0	0.0	79.453	51.477	Fcf1
NM_026031	0.0	0.036000000000000004	52.07	59.61	Utp11l
NM_053068	0.0	0.0	52.73	59.562	Chrac1
NM_007507	0.0	0.0	53.861999999999995	59.231	Atp5k
NM_001013391	107.319	13.99	14.695	17.668	Cpsf6
NM_013895	0.297	0.11	48.458999999999996	60.99	Timm13
NM_133734	217.545	66.112	30.164	36.755	Dcaf11
NM_029272	0.0	0.045	56.911	59.071000000000005	Ndufs7
NM_173038	105.462	11.202	16.727	13.378	Tbcel
NM_001170869	3.123	0.057999999999999996	52.448	58.095	Pym1
NM_001285942	0.49	84.69200000000001	120.999	214.041	Eif3k
NR_037992	125.506	14.22	8.737	6.781000000000001	Jmjd4
NM_013899	0.0	0.0	78.204	53.173	Timm10
NM_026318	0.0	0.055999999999999994	55.583999999999996	59.974	Hypk
NM_009391	0.0	23.954	80.268	101.95	Ran
NM_013502	0.0	16.31	80.182	86.287	Ctbp1
NM_001008793	147.731	24.267	15.182	9.122	Whrn
NM_022423	4.123	4.093999999999999	59.485	64.24	Rnf187
NM_016740	0.0	0.0	31.239	67.273	S100a11
NM_008444	83.351	9.923	16.487000000000002	28.76	Kif3b
NM_026914	0.0	0.0	42.251000000000005	64.639	Smdt1
NM_011613	0.0	58.125	239.463	126.42200000000001	Tnfsf11
NM_145823	88.94200000000001	4.73	9.787	16.21	Pitpnc1
NM_001081179	93.07700000000001	0.0	6.101	4.835	Heatr5b
