id	chr_name	start	end	chromosome_id	tag_count_13_11_20	id_13_11_20	tag_count_13_11_25	id_13_11_25	tag_count_14_06_11	id_14_06_11
2	chr9	32694833	32734409	12	1552.6	2	913.0	2.0	3598.7	2.0
5	chr15	6567322	6594260	16	1065.3	5	418.6	77.0	1555.5	59.0
7	chr2	3714408	3733488	2	1000.4	7	374.9	106.0	2160.6	22.0
8	chr5	124009619	124037505	6	980.5	8	533.6	23.0	2409.6	14.0
9	chr12	108629117	108649963	15	975.8	9	882.9	4.0	1374.2	86.0
11	chr11	46377852	46401400	13	928.2	11	432.7	67.0	1029.7	221.0
12	chr2	167930608	167950886	2	926.7	12	808.1	6.0	1358.0	88.0
14	chr5	65855577	65878023	6	875.4	14	346.3	143.0	2925.9	6.0
15	chr3	89381313	89397239	4	863.9	15	647.0	12.0	2939.3	5.0
16	chr14	121945556	121966810	11	855.0	16	243.4	460.0	1136.6	159.0
17	chr11	61643310	61662242	13	854.0	17	483.4	35.0	1248.2	119.0
18	chr11	87741981	87762327	13	853.5	18	397.5	90.0	2232.1	18.0
20	chr11	34765267	34786153	13	842.5	20	489.4	31.0	1734.0	41.0
22	chr5	112270063	112288953	6	829.4	22	402.6	86.0	1845.6	34.0
23	chr1	91052070	91067138	1	825.2	23	683.1	10.0	1651.9	51.0
25	chr1	136126276	136142726	1	791.2	25	684.6	9.0	2004.0	25.0
26	chr1	164060769	164080061	1	775.5	26	441.7	60.0	1459.1	72.0
27	chr11	98935762	98950954	13	767.7	27	427.7	69.0	2581.4	11.0
28	chr6	87527041	87543655	7	753.6	28	372.9	107.0	915.2	286.0
29	chr6	125228437	125245677	7	752.5	29	456.8	49.0	1533.6	61.0
31	chr6	48671426	48692794	7	740.5	31	458.3	47.0	1880.9	32.0
32	chr2	93447802	93463494	2	731.1	32	628.4	15.0	979.1	251.0
33	chr13	24624512	24643344	14	730.6	33	313.7	194.0	1148.0	152.0
35	chr1	88276226	88278752	1	701.8	35	552.6	19.0	1184.3	141.0
36	chr2	160731963	160746689	2	699.2	36	233.4	526.0	1276.9	109.0
37	chr13	63238889	63254405	14	682.5	37	511.0	24.0	578.3	897.0
39	chr4	102565892	102580852	5	674.6	39	258.5	378.0	1494.4	66.0
41	chr1	58710227	58728725	1	673.0	41	208.8	724.0	1345.6	93.0
42	chr8	88287393	88300999	10	668.9	42	449.2	54.0	1473.5	70.0
43	chr8	119824864	119841722	10	668.3	43	475.8	40.0	1624.2	56.0
44	chr15	77825830	77843110	16	667.8	44	335.3	155.0	2704.5	9.0
45	chr6	48717708	48734902	7	665.7	45	406.6	85.0	1061.2	198.0
47	chr1	160039648	160056032	1	663.6	47	281.6	295.0	720.5	544.0
48	chr7	68272972	68290304	8	662.1	48	276.1	316.0	1983.1	27.0
49	chr9	116159447	116179031	12	662.1	49	290.1	270.0	1290.2	105.0
50	chr10	80691278	80704108	9	651.6	50	222.4	610.0	1403.8	83.0
52	chr15	27666409	27682063	16	641.1	52	223.4	601.0	1274.0	110.0
53	chr15	97813424	97831050	16	636.4	53	275.6	318.0	1014.4	229.0
54	chr15	86058180	86073304	16	632.8	54	308.2	212.0	1440.1	75.0
55	chr4	130908466	130923994	5	632.3	55	343.8	145.0	1572.7	58.0
56	chr19	4293684	4307172	21	630.2	56	487.9	33.0	1358.0	90.0
58	chr11	118235973	118249555	13	629.6	58	572.7	18.0	2470.7	13.0
59	chr11	11685690	11700878	13	629.1	59	584.8	17.0	3593.9	3.0
60	chr1	165697812	165710896	1	626.0	60	274.1	321.0	1724.4	44.0
62	chr11	32531209	32544239	13	619.2	62	455.8	51.0	2223.5	21.0
63	chr2	34951619	34966005	2	617.1	63	287.6	280.0	1128.0	164.0
67	chr11	95832347	95845141	13	604.5	67	313.7	192.0	682.3	615.0
68	chr7	125599440	125609396	8	594.1	68	492.9	30.0	1266.4	113.0
71	chr7	28369787	28384829	8	592.0	71	370.4	109.0	1727.3	43.0
72	chr12	64962505	64971447	15	591.5	72	388.0	95.0	1209.1	132.0
73	chr11	117329066	117342154	13	590.4	73	370.4	111.0	2228.3	20.0
74	chr10	77528317	77542327	9	583.6	74	274.6	320.0	542.0	1039.0
75	chr8	84974501	84987097	10	582.6	75	289.1	272.0	1478.2	69.0
77	chr2	32534537	32544999	2	580.5	77	476.3	39.0	1325.5	96.0
78	chr11	103253773	103268273	13	577.3	78	242.9	463.0	1240.6	121.0
79	chr2	117330396	117343726	2	576.8	79	482.4	36.0	1081.2	189.0
80	chr10	54064579	54076873	9	576.8	80	396.5	92.0	738.6	515.0
81	chr10	22294636	22308112	9	574.7	81	439.2	62.0	696.6	589.0
84	chr1	127203633	127218013	1	562.2	84	218.8	636.0	621.3	764.0
85	chr3	100478585	100492661	4	560.1	85	380.0	101.0	1147.1	153.0
86	chr9	44975997	44987589	12	559.0	86	416.1	78.0	1244.4	120.0
87	chr15	74952646	74964482	16	559.0	87	302.2	238.0	1209.1	133.0
88	chr9	57636401	57648915	12	558.5	88	464.8	45.0	1420.0	79.0
89	chr1	135126758	135135634	1	558.0	89	498.4	27.0	1310.3	101.0
90	chr4	149694162	149707252	5	556.9	90	313.7	191.0	1990.7	26.0
91	chr7	31145396	31157668	8	556.4	91	244.4	451.0	1277.8	108.0
92	chr11	103169838	103180274	13	551.2	92	366.9	114.0	1446.7	74.0
93	chr5	113823032	113834034	6	548.6	93	289.1	271.0	1143.3	157.0
94	chr11	86574824	86588062	13	547.0	94	257.0	385.0	1178.6	144.0
97	chr16	19973211	19986195	17	543.9	97	326.8	167.0	519.1	1153.0
98	chr12	112851504	112862816	15	542.8	98	415.6	80.0	1127.0	167.0
99	chr14	79515669	79528271	11	542.8	99	227.4	573.0	1906.7	29.0
100	chr4	59190148	59207008	5	542.3	100	319.2	180.0	1316.9	99.0
101	chr6	129227228	129242874	7	541.3	101	141.0	2117.0	1239.6	122.0
102	chr2	31133079	31145165	2	537.6	102	442.2	59.0	1651.0	52.0
103	chr8	106050764	106063588	10	537.6	103	248.5	423.0	882.7	319.0
104	chr10	60343366	60355088	9	536.0	104	456.8	50.0	1021.1	227.0
105	chr9	109048339	109060065	12	533.9	105	283.6	286.0	1705.3	48.0
107	chr19	10732133	10743963	21	533.4	107	255.0	395.0	764.4	465.0
108	chr2	173021427	173032719	2	531.3	108	464.8	44.0	1319.8	97.0
110	chr6	97208686	97226042	7	529.2	110	191.2	936.0	780.6	443.0
111	chr4	145234806	145248602	5	528.2	111	173.2	1239.0	697.6	587.0
112	chr11	80066834	80081954	13	528.2	112	313.2	199.0	1157.6	149.0
113	chr6	121237964	121249234	7	525.6	113	433.2	66.0	895.1	308.0
114	chr11	54951057	54963283	13	523.0	114	453.8	52.0	1127.0	166.0
115	chr10	6968520	6981158	9	522.4	115	340.8	151.0	740.5	508.0
117	chr15	78562812	78573148	16	519.8	117	428.2	68.0	1050.7	206.0
121	chr18	60373053	60386597	20	508.3	121	381.0	100.0	497.2	1274.0
122	chr2	11167750	11179648	2	506.7	122	421.1	74.0	1024.9	222.0
123	chr6	91108187	91118821	7	506.7	123	415.6	79.0	1029.7	220.0
124	chr6	108828128	108840382	7	506.7	124	248.0	425.0	1018.2	228.0
126	chr11	21089549	21107123	13	505.7	126	191.2	937.0	501.0	1256.0
127	chr15	74987563	75002327	16	503.1	127	206.3	747.0	1270.2	111.0
129	chr3	103854322	103866484	4	499.4	129	352.4	136.0	1197.7	137.0
130	chr9	107623828	107636206	12	498.4	130	327.8	165.0	1384.7	84.0
131	chr7	143003604	143010838	8	495.2	131	383.0	98.0	1127.0	165.0
132	chr11	49243693	49254439	13	495.2	132	303.2	230.0	945.7	269.0
134	chr8	94428164	94440374	10	494.2	134	168.2	1351.0	852.2	359.0
139	chr16	92816905	92827183	17	487.9	139	220.9	620.0	1059.3	202.0
142	chr15	67170490	67179494	16	480.6	142	383.0	99.0	1299.8	102.0
143	chr3	9825377	9834097	4	478.5	143	376.0	105.0	823.6	386.0
144	chr15	5236362	5245674	16	478.0	144	277.1	313.0	1133.7	161.0
145	chr11	100840956	100854178	13	477.5	145	313.2	200.0	179.4	10419.0
148	chr2	165872832	165886450	2	473.3	148	541.1	22.0	1065.0	197.0
149	chr4	136170454	136182240	5	473.3	149	186.2	1006.0	963.9	262.0
152	chr11	49080664	49093336	13	471.2	152	137.5	2272.0	930.5	276.0
153	chr4	156195705	156205987	5	470.7	153	180.2	1107.0	893.2	309.0
155	chr19	4184925	4195387	21	470.1	155	400.5	87.0	1331.3	95.0
156	chr12	86883264	86894994	15	469.1	156	221.4	618.0	1506.9	64.0
157	chr5	139376699	139386315	6	467.0	157	486.9	34.0	1188.1	140.0
158	chr7	101450119	101458399	8	467.0	158	264.5	356.0	1205.3	135.0
161	chr3	88142905	88151687	4	465.4	161	421.6	72.0	1413.3	81.0
162	chr11	6557167	6568043	13	465.4	162	311.2	205.0	1049.7	208.0
163	chr1	138168168	138180714	1	464.9	163	101.9	4702.0	3114.9	4.0
164	chr6	48697602	48709414	7	464.4	164	132.5	2515.0	1077.4	191.0
165	chr15	76191229	76200375	16	464.4	165	325.3	170.0	929.5	277.0
166	chr4	63397164	63405488	5	463.3	166	227.9	558.0	1661.5	50.0
167	chr2	9868105	9879401	2	462.8	167	453.3	53.0	1528.8	62.0
168	chr6	38341397	38353933	7	462.3	168	253.0	406.0	1826.5	35.0
169	chr3	106481989	106489999	4	461.8	169	359.9	120.0	1265.4	115.0
170	chr9	106366101	106373947	12	458.6	170	269.5	332.0	681.4	617.0
172	chr4	155213355	155221731	5	456.5	172	328.3	164.0	899.0	302.0
174	chr1	106705980	106715380	1	455.5	174	305.7	219.0	828.3	381.0
175	chr15	102227670	102236224	16	455.5	175	173.2	1243.0	1061.2	199.0
176	chr10	128738121	128750391	9	454.4	176	165.6	1400.0	1469.6	71.0
177	chr11	34044808	34055164	13	453.9	177	227.4	571.0	801.6	418.0
