id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a	tag_count_1um_pcc	id_1um_pcc
1	chr14	54136031	54237399	11	6033.1	1	3814.4	1.0	107.8	10578.0
15	chr9	32493205	32526873	12	1387.2	15	661.8	158.0	1333.4	12.0
16	chr15	66787801	66816565	16	1377.3	16	1285.1	15.0	1806.4	5.0
18	chr8	111558238	111598716	10	1366.8	18	1292.6	14.0	548.1	285.0
22	chr6	41530819	41559571	7	1338.6	22	1224.9	22.0	1322.4	13.0
41	chr8	81765305	81796077	10	1135.4	41	998.8	52.0	890.7	58.0
43	chr2	6702886	6725910	2	1113.8	43	1051.9	46.0	1061.4	36.0
46	chr14	75173105	75198105	11	1098.1	46	986.1	54.0	993.0	46.0
48	chr8	72341333	72366397	10	1077.7	48	980.1	56.0	854.2	68.0
58	chr1	131181976	131202434	1	1026.2	58	945.6	63.0	1194.4	19.0
66	chr15	74917585	74940203	16	988.4	66	941.7	64.0	948.3	50.0
81	chr2	29653063	29680649	2	912.3	81	106.2	10038.0	100.8	11647.0
84	chr4	150562698	150588616	5	902.6	84	464.5	397.0	446.0	491.0
89	chr14	60706977	60728465	11	893.1	89	1131.8	39.0	347.4	924.0
91	chr14	40942342	40960996	11	883.2	91	781.2	97.0	65.0	18665.0
92	chr15	80597533	80621547	16	881.8	92	807.0	88.0	791.6	87.0
101	chr4	32246837	32270107	5	844.6	101	725.2	123.0	379.3	738.0
118	chr3	131149390	131173928	4	801.8	118	601.1	210.0	71.0	17215.0
119	chr1	165833593	165853605	1	801.6	119	696.1	140.0	645.2	191.0
123	chr14	60730558	60746834	11	784.3	123	1131.8	39.0	723.6	118.0
127	chr12	110490362	110508208	15	779.4	127	705.0	134.0	680.6	167.0
131	chr17	84113529	84129795	18	775.0	131	705.5	133.0	153.8	5561.0
136	chr7	16039228	16057768	8	760.2	136	616.9	191.0	87.1	13994.0
