id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a	tag_count_1um_pcc	id_1um_pcc
3	chr9	32694570	32741214	12	1370.1	3	675.9	119.0	3197.6	2.0
4	chr13	24591428	24642126	14	1334.9	4	1753.5	9.0	2149.5	5.0
5	chr6	129207895	129243191	7	1119.0	5	1586.5	13.0	1794.3	10.0
9	chr3	101270681	101302409	4	924.6	9	1365.5	17.0	1413.0	24.0
10	chr1	160035448	160060186	1	916.2	10	1369.0	16.0	1585.9	14.0
18	chr11	99143444	99173632	13	830.0	18	1063.1	34.0	1400.5	25.0
22	chr11	86573084	86601116	13	791.4	22	1053.5	35.0	32.5	18756.0
23	chr5	65843995	65874375	6	783.5	23	70.3	9089.0	952.9	68.0
25	chr2	167930530	167962016	2	776.6	25	738.8	94.0	178.7	2128.0
26	chr19	11476862	11502070	21	762.9	26	1108.1	29.0	1303.9	27.0
32	chr11	87741354	87758890	13	739.3	32	1024.1	40.0	1154.0	38.0
36	chr14	79513959	79539563	11	726.7	36	1021.0	41.0	1120.0	43.0
38	chr6	48717092	48742548	7	713.1	38	1201.1	22.0	1468.6	19.0
39	chr15	6566477	6595161	16	707.9	39	721.2	99.0	1462.5	20.0
40	chr1	91053220	91076176	1	705.8	40	773.6	88.0	1168.2	36.0
42	chr4	156008044	156034688	5	698.4	42	618.5	151.0	688.3	144.0
45	chr7	68273567	68292029	8	691.3	45	1032.6	38.0	1078.6	50.0
46	chr12	108629319	108650243	15	685.5	46	999.9	43.0	1556.6	15.0
49	chr11	22835697	22861365	13	676.9	49	954.6	52.0	1087.3	47.0
50	chr14	121945333	121967015	11	674.8	50	991.5	45.0	1099.7	44.0
51	chr2	29619130	29642418	2	656.3	51	1762.9	8.0	2062.1	7.0
53	chr11	34764216	34785924	13	646.1	53	803.9	77.0	1097.2	45.0
56	chr15	77819509	77843221	16	630.8	56	630.2	146.0	644.0	172.0
58	chr2	11165655	11189759	2	627.9	58	2252.0	2.0	1795.6	9.0
59	chr2	132010497	132031813	2	619.3	59	780.0	85.0	155.2	2779.0
61	chr2	3714326	3733756	2	617.8	61	882.2	62.0	1278.9	28.0
63	chr1	138155973	138180577	1	615.9	63	1814.8	4.0	1065.5	53.0
64	chr14	27335154	27359158	11	615.7	64	379.3	468.0	934.0	73.0
65	chr10	42854600	42881352	9	613.4	65	662.0	128.0	228.2	1414.0
67	chr11	52261866	52283346	13	608.4	67	262.5	1021.0	676.3	151.0
68	chr5	113820773	113844567	6	599.4	68	676.7	118.0	783.3	114.0
69	chr11	118207754	118232634	13	595.4	69	1223.3	21.0	1441.9	22.0
70	chr7	28369288	28386912	8	593.5	70	693.9	107.0	656.9	164.0
72	chr3	88130406	88151298	4	593.1	72	646.3	138.0	512.4	264.0
73	chr4	149686607	149710697	5	588.3	73	783.6	84.0	1073.0	52.0
76	chr14	27224442	27243978	11	582.8	76	779.5	86.0	33.8	18365.0
78	chr4	63839721	63863929	5	579.5	78	421.3	364.0	1204.0	35.0
79	chr2	73447293	73471441	2	575.1	79	732.8	97.0	1044.4	54.0
80	chr11	30175897	30199563	13	574.5	80	822.3	71.0	806.1	106.0
81	chr11	98937072	98957598	13	574.2	81	30.8	18729.0	664.4	157.0
82	chr11	117332532	117352274	13	574.0	82	1102.1	30.0	1263.4	31.0
87	chr2	58151270	58165946	2	567.5	87	1765.5	7.0	911.8	80.0
88	chr15	74979159	75002107	16	562.3	88	78.0	7870.0	909.6	81.0
89	chr10	7822692	7840998	9	561.1	89	1197.5	24.0	1539.8	16.0
92	chr3	95657308	95676348	4	556.0	92	758.9	90.0	1139.6	42.0
94	chr6	125226923	125247227	7	553.5	94	602.7	163.0	780.0	117.0
96	chr19	10731630	10750040	21	551.0	96	698.4	104.0	838.6	101.0
97	chr5	134224852	134246598	6	550.2	97	598.4	168.0	60.1	11804.0
99	chr1	54903267	54926659	1	547.2	99	725.2	98.0	1022.7	57.0
101	chr1	58708949	58732393	1	543.3	101	670.4	122.0	268.9	1034.0
102	chr3	103852782	103872716	4	538.6	102	793.6	82.0	1030.6	55.0
104	chr11	46378237	46399099	13	535.3	104	826.4	70.0	1482.3	18.0
107	chr8	72158514	72176880	10	523.1	107	69.6	9215.0	423.1	427.0
109	chr19	5795219	5820369	21	521.7	109	579.3	184.0	394.0	489.0
111	chr11	11685730	11701632	13	520.0	111	1167.3	27.0	108.5	5192.0
115	chr6	99244964	99267454	7	511.0	115	657.3	132.0	957.4	67.0
116	chr9	44972671	44990863	12	508.5	116	677.3	117.0	712.9	136.0
117	chr2	34951704	34966890	2	507.9	117	687.9	111.0	823.1	104.0
121	chr11	87717023	87738347	13	502.0	121	276.6	915.0	80.5	8235.0
123	chr9	109047844	109062662	12	501.6	123	613.2	155.0	889.4	85.0
124	chr1	136125571	136143357	1	501.2	124	573.1	190.0	720.4	133.0
125	chr7	31147229	31167865	8	499.7	125	662.7	127.0	161.9	2562.0
