chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
chr5	6	124037009	4	31.0	32.0	10.0	137.0	4.0	124010161	866.3	561.6	1078.0	410.7	1485.9
chr6	7	48693009	6	12.0	196.0	9.0	217.0	6.0	48673703	1035.5	312.2	1084.4	340.2	1233.1
chr15	16	6593872	7	17.0	16.0	11.0	21.0	7.0	6577494	970.0	689.4	1060.6	667.8	1162.2
chr7	8	68292052	8	90.0	57.0	7.0	127.0	8.0	68272546	629.2	457.0	1158.3	424.0	1160.6
chr6	7	38355734	9	21.0	20.0	16.0	19.0	9.0	38339584	915.1	643.0	975.8	672.4	1133.9
chr3	4	89397077	10	65.0	43.0	39.0	59.0	10.0	89378389	715.6	520.9	797.4	533.2	1088.8
chr9	12	109060499	11	15.0	13.0	14.0	10.0	11.0	109049115	1001.5	704.7	985.8	814.5	1081.3
chr19	21	4305978	14	27.0	29.0	32.0	47.0	14.0	4293644	895.9	586.5	832.6	571.9	1034.6
chr11	13	11700924	15	39.0	17.0	18.0	27.0	15.0	11686476	817.5	687.1	960.3	638.3	1027.1
chr1	1	91066504	16	14.0	12.0	20.0	11.0	16.0	91052640	1007.1	722.8	936.1	813.3	1009.5
chr11	13	99157171	17	106.0	758.0	63.0	580.0	17.0	99143853	590.3	187.8	702.1	236.3	966.2
chr5	6	65876165	20	54.0	239.0	34.0	105.0	20.0	65860889	761.9	291.3	824.3	444.2	942.8
chr7	8	31157383	21	55.0	201.0	41.0	365.0	21.0	31145595	760.1	306.5	787.8	281.3	934.4
chr4	5	59206923	22	53.0	165.0	148.0	252.0	22.0	59189725	765.6	334.2	511.4	323.5	932.8
chr9	12	44987113	23	41.0	28.0	35.0	45.0	23.0	44976441	807.6	588.7	819.3	575.9	932.8
chr19	21	11495721	24	35.0	271.0	40.0	288.0	24.0	11478549	838.5	281.1	792.4	307.3	932.8
chr4	5	130924662	27	40.0	36.0	43.0	41.0	27.0	130910258	811.3	542.9	779.6	584.0	916.9
chr1	1	164079287	28	70.0	482.0	61.0	882.0	28.0	164060757	695.2	226.2	703.9	201.0	911.9
chr4	5	149705814	29	30.0	68.0	24.0	79.0	29.0	149692242	874.3	436.6	896.4	486.4	911.1
chr5	6	113833624	31	36.0	107.0	29.0	52.0	31.0	113823480	826.1	375.5	848.1	561.5	909.4
chr5	6	112288871	33	268.0	130.0	316.0	210.0	33.0	112270149	421.1	362.0	396.9	342.5	879.4
chr1	1	136142484	34	43.0	26.0	38.0	31.0	34.0	136132024	800.2	593.3	802.4	613.5	876.0
chr2	2	11182856	37	127.0	338.0	83.0	135.0	37.0	11168772	560.0	259.6	629.1	412.4	847.7
chr2	2	173031549	38	38.0	62.0	47.0	48.0	38.0	173019047	821.2	446.2	762.3	571.3	841.0
chr6	7	125242326	40	62.0	34.0	62.0	57.0	40.0	125229674	730.4	558.8	702.1	540.7	826.0
chr8	10	123041368	42	135.0	53.0	124.0	257.0	42.0	123025194	547.7	466.0	547.9	321.2	816.8
chr10	9	128751066	43	44.0	45.0	46.0	32.0	43.0	128737186	799.0	503.3	769.6	607.7	807.6
