PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr9-7057	chr9	107294452	107309392	+	619.4	24.763	TTS (NM_009895)	TTS (NM_009895)	5233	NM_009895	12700	Mm.4592	NM_009895	0	Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding	748.35	575.73	683.83	616.92	409.66
chr19-5106	chr19	53530500	53540780	+	543.9	12.517000000000001	intron (NM_001085390, intron 2 of 3)	intron (NM_001085390, intron 2 of 3)	6322	NM_001085390	240672	Mm.482424	NM_001085390	0	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	626.71	468.84	577.54	558.0	356.26
chr15-19152	chr15	101253115	101265521	+	516.2	31.987	Intergenic	B2_Mm1a|SINE|B2	-7528	NM_010444	15370	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding	660.05	481.85	509.11	601.91	271.99
chr2-21788	chr2	152821950	152830970	+	386.0	19.82	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	4257	NM_001289739	12048	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding	464.94	340.46	442.51	414.75	216.93
chr10-171	chr10	80755748	80760108	+	264.6	31.543000000000003	intron (NM_199322, intron 1 of 27)	intron (NM_199322, intron 1 of 27)	2722	NM_199322	208266	Mm.152371	NM_199322	ENSMUSG00000061589	Dot1l	A630076O07|AW907654|Dot1|KMT4|mDot1	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	protein-coding	325.4	269.77	257.75	308.46	161.86
chr4-40768	chr4	156010943	156017413	+	253.5	15.972999999999999	TTS (NM_011341)	TTS (NM_011341)	483	NM_011659	22163	Mm.13885	NM_011659	ENSMUSG00000029075	Tnfrsf4	ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1	tumor necrosis factor receptor superfamily, member 4	protein-coding	280.94	283.34	299.26	255.9	97.62
chr2-11755	chr2	153235596	153240580	+	247.6	23.483	intron (NM_018807, intron 1 of 2)	intron (NM_018807, intron 1 of 2)	3270	NM_018807	54711	Mm.103199	NM_018807	ENSMUSG00000051413	Plagl2	AU018672|AW552839|mKIAA0198	pleiomorphic adenoma gene-like 2	protein-coding	294.52	206.43	244.98	252.43	130.99
chr1-14932	chr1	58725424	58731600	+	244.0	13.74	intron (NM_001293804, intron 3 of 9)	intron (NM_001293804, intron 3 of 9)	-2040	NM_001293805	12633	Mm.336848	NM_009805	ENSMUSG00000026031	Cflar	2310024N18Rik|A430105C05Rik|CLARP|Cash|Casper|ENSMUSG00000072980|FLAME|FLAME-1|Flip|Gm9845|I-FLICE|MRIT|c-Flip	CASP8 and FADD-like apoptosis regulator	protein-coding	308.11	221.13	260.03	254.74	136.83
chr8-7093	chr8	120735145	120741029	+	229.4	24.94	intron (NM_008320, intron 1 of 8)	intron (NM_008320, intron 1 of 8)	1711	NM_008320	15900	Mm.334861	NM_008320	ENSMUSG00000041515	Irf8	AI893568|ICSBP|IRF-8|Icsbp1|Myls	interferon regulatory factor 8	protein-coding	304.4	186.63	241.78	232.79	153.52
chr3-7534	chr3	20105563	20112229	+	226.0	13.687000000000001	intron (NR_105046, intron 20 of 22)	intron (NR_105046, intron 20 of 22)	46220	NM_013755	27357	Mm.6375	NM_013755	ENSMUSG00000019528	Gyg	AU017667|Gyg1	glycogenin	protein-coding	260.56	204.73	243.15	235.1	137.66
