id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h-1	100uM-K99A-24h-1	10uM-K99A-24h-1	10uM-PCC-24h-1	No-Peptide-24h-1	0-1uM-PCC-24h-MEKi	0-1uM-PCC-24h-2	100uM-K99A-24h-MEKi	100uM-K99A-24h-2	10uM-K99A-24h-MEKi	10uM-K99A-24h-2	10uM-PCC-24h-MEKi	10uM-PCC-24h-2	No-Peptide-24h-MEKi	No-Peptide-24h-2	No-Peptide-24h	No-Peptide-24h-std	10uM-K99A-24h	10uM-K99A-24h-std	100uM-K99A-24h	100uM-K99A-24h-std	0-1uM-PCC-24h	0-1uM-PCC-24h-std	10uM-PCC-24h	10uM-PCC-24h-std	gene_name	pc1	pc2
NM_138659	chr11	75486777	75509447	+	7437.0	1	Prpf8|AU019467|D11Bwg0410e|DBF3/PRP8|Prp8|Sfprp8l|RP23-384C18.4|11 B5|11 45.92 cM|protein-coding	118.612	105.737	93.584	114.221	52.165	111.897	106.57	89.432	106.657	55.806	61.018	112.246	119.065	39.832	44.732	48.4485	5.2559247045596855	77.301	23.02763943612113	106.197	0.6505382386952564	112.591	8.514979859048255	116.64299999999999	3.425225248067437	Prpf8	0.003523308969252485	-0.0007828246407439091
NM_023733	chr5	8966048	8997146	-	2783.0	1	Crot|1200003H03Rik|-|5 A1|5|protein-coding	5.466	6.0379999999999985	9.744	6.05	15.437	7.67	7.637	7.005	6.8820000000000014	10.647	12.274	7.701	5.247000000000001	12.583	11.863	13.65	2.527199635960717	11.009	1.7889801564019625	6.46	0.5967981233214433	6.551500000000001	1.5351288219559918	5.6485	0.5678067452927955	Crot	-0.00042239401682090527	-0.00026312157298056626
NM_010824	chr11	87793784	87804412	+	2530.0	1	Mpo|mKIAA4033|RP23-449P23.5|11 C|11 52.22 cM|protein-coding	5.052	21.501	35.468	2.742	87.419	2.797	10.613	20.973000000000006	10.823	30.116	40.192	2.452	1.482	32.461	31.92	59.6695	39.24371924907219	37.83	3.3403724343253387	16.162	7.55048620950995	7.8325	3.9322208101783915	2.112	0.8909545442950494	Mpo	-0.0028973086260343436	-0.002263436653417135
NM_172938	chr10	42860512	42960782	+	4734.0	1	Scml4|9330161D17|mFLJ00197|-|10 B2|10|protein-coding	3.143	1.742	8.579	0.649	30.229	3.014	4.082	6.526	3.761	13.784	14.693	1.982	1.56	19.283	16.078	23.1535	10.006268060570816	11.636	4.323250860174551	2.7515	1.4276485912156405	3.6125	0.6639732675341704	1.1045	0.6441742776609447	Scml4	-0.001107799704990426	0.002379571616306099
NM_026389	chr11	78512296	78522736	+	1938.0	1	Poldip2|1300003F06Rik|Pdip38|RP23-399H5.6|11 B5|11|protein-coding	34.75	29.188	20.998	33.763000000000005	13.872	22.479	20.211	15.033	20.459	8.939	9.977	23.388	27.86	9.099	8.11	10.991	4.074349273196887	15.4875	7.793023835456941	24.823500000000006	6.172335092977349	27.4805	10.280625491671216	30.8115	4.174051329344191	Poldip2	0.0010023528297087674	0.0030412960952448005
NM_001166548	chr11	3202353	3244588	+	3591.0	1	Eif4enif1|2610509L04Rik|A930019J01Rik|AA410001|AU021239|Clast4|D11Ertd166e|RP23-191E3.3|11 A1|11 2.24 cM|protein-coding	46.984	36.085	30.353	62.964	22.013	57.313	46.093	30.258000000000006	43.892	25.97	24.147	63.195	60.813	20.996	21.388	21.7005	0.4419417382415922	27.25	4.388304684043736	39.9885	5.520382640723346	46.5385	0.6300321420377774	61.8885	1.5209866863323198	Eif4enif1	0.001793431086424413	0.010365329031321457
NM_009969	chr11	54247270	54249899	-	1027.0	1	Csf2|Csfgm|GMCSF|Gm-CSf|MGI-IGM|RP23-309E16.1|11 B1.3|11 32.13 cM|protein-coding	46.601000000000006	69.444	34.846	47.63399999999999	12.384	23.949	31.959	22.339	30.694000000000006	7.165	12.455	27.109	28.003	2.245	3.706	8.045	6.13627264713686	23.6505	15.83282793754799	50.068999999999996	27.400387770978718	39.28	10.353457490133447	37.8185	13.881213221473086	Csf2	0.0017831923690836628	-0.006686330495119821
NM_001033632	chr7	141015812	141016892	-	537.0	1	Ifitm6|A330075D07|Dspa2f|Fgls5|fragilis5|-|7 F5|7|protein-coding	47.371	94.907	115.767	21.53	322.423	68.054	105.603	199.197	110.368	390.862	369.209	37.237	22.297	451.728	440.49	381.4565	83.48597633435206	242.488	179.21055683748105	102.6375	10.932577943925114	76.487	41.17624208205503	21.9135	0.5423509011700965	Ifitm6	-0.017808659327434206	-0.008345847673117215
NM_019874	chr4	42953094	42958732	+	2304.0	1	Dnajb5|1110058L06Rik|AI462558|Hsc40|Hsp40-3|RP23-124L1.3|4|4 B1|protein-coding	12.66	11.129	8.892999999999997	14.286	5.475	11.682	11.47	6.323	12.401	4.777	6.606	14.042	16.852999999999998	5.625	5.962999999999999	5.7189999999999985	0.34506810921903913	7.7494999999999985	1.6171532085736335	11.765	0.8994398256692825	12.065	0.8414570696119663	15.569499999999998	1.8151431073058768	Dnajb5	0.00045569957516370936	0.001675082643763236
NM_001110504	chr19	5988545	6015825	-	3025.0	1	Capn1|Capa-1|Capa1|mu-calpin|-|19 A|19 4.34 cM|protein-coding	30.049	36.33	46.848	31.066	70.824	32.158	36.639	47.622	36.944	68.137	61.346	33.611	33.626	79.676	66.10600000000001	68.465	3.3361297936379315	54.097	10.251634113642533	36.637	0.4341635636490425	33.344	4.659833688019304	32.346	1.810193359837713	Capn1	-0.0019181168816075434	-5.659339883728588e-06
NM_010880	chr1	86344719	86359455	-	8241.0	1	Ncl|B530004O11Rik|C23|D0Nds28|D1Nds28|Nucl|-|1 D|1 43.94 cM|protein-coding	298.74	228.102	147.328	326.834	71.047	165.204	133.872	89.97200000000002	133.806	37.718	49.03100000000001	176.71400000000003	183.667	26.751	31.792	51.4195	27.75747669547792	98.1795	69.50647527029406	180.954	66.67734103876676	216.30599999999998	116.57928080066364	255.2505	101.23435654213452	Ncl	0.010039183542575783	0.03388778045446892
NM_013758	chr19	53143997	53247326	+	4243.0	1	Add3|AI463285|R75380|-|19 D2|19 47.18 cM|protein-coding	17.275	27.463	41.786	15.43	67.649	18.251	24.869	39.242	26.192	57.449	51.36600000000001	19.431	16.84	68.832	55.027	61.338	8.925101792136589	46.57600000000001	6.7740829637671505	26.8275	0.8987327188879528	21.072	5.369768896330645	16.134999999999998	0.9970205614730968	Add3	-0.0023078850378061384	-0.0032917515208030837
NM_025664	chr17	5841380	5930711	+	2017.0	1	Snx9|2700073N08Rik|SDP1|SH3PX1|-|17 A1|17 3.51 cM|protein-coding	6.69	5.104	3.569	8.025	10.996	8.024	5.269	7.7810000000000015	4.773	7.846	4.154	6.7360000000000015	7.157	5.499	10.537	10.7665	0.3245620125645549	3.8615	0.41365746699412975	4.9385	0.2340523445727617	5.9795	1.0047987360660895	7.591	0.6137686860699214	Snx9	-0.00015660072883794116	0.004555583498098387
NM_024204	chr19	34122549	34166041	-	1746.0	1	Ankrd22|5430429D21Rik|D19Ertd675e|-|19 C1|19 29.33 cM|protein-coding	1.7280000000000002	2.96	4.919	1.014	12.081	1.528	3.69	8.706	3.706	28.571	22.092	1.321	1.025	28.979	26.807	19.444000000000003	10.412854459753099	13.5055	12.143144753316582	3.333	0.5275016587651654	2.7089999999999996	1.3873435046880065	1.0195	0.007778174593081783	Ankrd22	-0.0009758688102231582	-0.0008704037256171763
