id	chr_name	start	end	chromosome_id	tag_count_10um_pcc	id_10um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	ets_tag_count	ets_id	batf_tag_count	batf_id	junb_tag_count	junb_id	cjun_tag_count	cjun_id	jund_tag_count	jund_id	irf4_tag_count	irf4_id
5	chr11	22838517	22859099	13	1045.5	5	475.6	207.0	1217.1	6.0	830.2	8.0	1213.3	5.0			53.7	5125.0	19.2	17391.0			35.0	20005.0	24.2	19367.0
8	chr15	101252619	101272613	16	887.8	8	226.9	1163.0	824.8	33.0	342.7	157.0	1043.5	11.0	14.0	5649.0	9.58	31653.0			10.2	24742.0	72.1	5394.0	28.6	15560.0
9	chr13	30746035	30764187	14	839.9	9	326.2	529.0	354.5	412.0	219.4	531.0	945.9	18.0			53.7	5136.0	32.6	13136.0	47.1	6284.0	40.6	16077.0	45.2	7427.0
10	chr9	109049145	109060763	12	814.5	10	1081.3	11.0	985.8	14.0	704.7	13.0	1001.5	15.0	46.0	323.0			47.6	9476.0	86.7	1541.0	81.8	3964.0	88.3	1701.0
11	chr1	91051660	91065868	1	813.3	11	1009.5	16.0	936.1	20.0	722.8	12.0	1007.1	14.0	28.4	1226.0	69.0	3444.0	65.2	6470.0	39.6	8351.0	108.7	1777.0	45.9	7189.0
12	chr12	112851906	112867530	15	801.8	12	803.5	45.0	697.1	65.0	603.4	24.0	989.8	16.0	31.6	906.0	341.1	27.0	93.6	3721.0	34.8	10386.0	138.6	793.0	182.4	205.0
13	chr2	93448580	93462860	2	761.9	13	639.9	87.0	735.8	54.0	747.7	10.0	908.3	23.0	20.8	2705.0	65.8	3709.0	100.2	3276.0	109.9	744.0	135.6	865.0	66.6	3385.0
14	chr2	26489235	26503703	2	740.0	14	438.0	258.0	777.8	44.0	664.0	18.0	910.1	22.0	9.03	8461.0	117.5	1213.0	187.1	938.0	131.7	415.0	100.4	2283.0	116.2	812.0
15	chr4	63396895	63409807	5	732.5	15	857.7	36.0	973.5	17.0	733.0	11.0	1007.7	13.0	30.7	969.0	35.8	9023.0	105.3	3013.0	99.6	1026.0	97.7	2482.0	96.1	1359.0
16	chr11	98937645	98950119	13	715.7	16	820.1	41.0	1053.8	12.0	701.3	14.0	941.0	19.0	25.7	1628.0	141.8	757.0	101.9	3199.0	45.0	6789.0	79.7	4240.0	100.5	1202.0
17	chr2	34950065	34963301	2	712.8	17	695.8	68.0	863.6	27.0	608.0	23.0	936.1	20.0	41.1	419.0	41.5	7382.0	372.6	117.0	60.7	3662.0	138.6	790.0	47.5	6734.0
18	chr11	61647748	61661714	13	699.5	18	588.2	112.0	688.4	67.0	398.7	86.0	706.4	68.0	24.4	1871.0	86.2	2305.0	75.2	5322.0	23.9	15937.0	53.3	9973.0	30.4	14208.0
19	chr6	38340721	38354027	7	672.4	19	1133.9	9.0	975.8	16.0	643.0	20.0	915.1	21.0									34.7	20139.0	17.1	28646.0
20	chr3	101274787	101288899	4	670.1	20	666.6	76.0	817.0	36.0	617.6	21.0	797.1	45.0	24.8	1734.0	71.5	3232.0	198.8	814.0	38.2	8877.0	75.4	4840.0	46.1	7128.0
21	chr15	6573656	6587736	16	667.8	21	1162.2	7.0	1060.6	11.0	689.4	16.0	970.0	17.0			63.9	3952.0	88.5	4102.0	44.4	7031.0	43.9	14233.0	69.4	3074.0
22	chr2	167933232	167946262	2	664.9	22	482.2	199.0	465.8	205.0	435.5	69.0	787.2	47.0	14.9	4992.0	70.9	3286.0	250.6	436.0	59.4	3867.0	107.6	1844.0	237.9	64.0
23	chr7	125552074	125562752	8	656.2	23	837.7	39.0	785.6	42.0	588.7	27.0	842.8	34.0			88.1	2212.0	94.4	3654.0	105.8	855.0	137.0	829.0	45.0	7481.0
25	chr19	10731983	10744053	21	648.1	25	334.6	496.0	682.0	69.0	445.7	63.0	770.6	50.0			40.9	7684.0	76.0	5253.0	32.1	11647.0	92.3	2890.0	37.1	10530.0
26	chr11	118236818	118248512	13	639.5	26	792.6	47.0	1499.5	4.0	1294.5	2.0	774.3	49.0			30.7	11045.0	30.9	13620.0			24.5	30359.0	30.7	14044.0
27	chr11	11686902	11697994	13	638.3	27	1027.1	15.0	960.3	18.0	687.1	17.0	817.5	39.0			41.5	7461.0			49.8	5583.0	44.1	14069.0	56.0	4874.0
29	chr17	51815009	51830305	18	624.4	29	720.9	62.0	923.3	21.0	64.5	7101.0	900.9	25.0					26.7	15024.0	47.1	6311.0	43.3	14513.0	17.8	27693.0
31	chr1	136132189	136143615	1	613.5	31	876.0	34.0	802.4	38.0	593.3	26.0	800.2	43.0	20.8	2698.0	109.2	1422.0	37.6	11600.0	51.9	5070.0	59.2	8108.0	62.0	3933.0
32	chr10	128737370	128750870	9	607.7	32	807.6	43.0	769.6	46.0	503.3	45.0	799.0	44.0	46.0	326.0	15.3	23313.0			81.2	1862.0	31.2	23120.0	24.7	18920.0
35	chr11	52271460	52282708	13	594.4	35	965.3	18.0	1457.1	5.0	600.6	25.0	1441.1	4.0			22.4	16084.0			32.8	11216.0	22.1	33542.0	24.7	18926.0
36	chr8	119826742	119841264	10	593.8	36	443.9	248.0	400.1	309.0	306.5	202.0	743.4	60.0	24.8	1766.0	29.4	11583.0	49.3	9121.0	83.2	1724.0	49.0	11675.0	31.4	13617.0
37	chr5	122983813	122996889	6	592.7	37	430.5	278.0	465.3	208.0	225.1	495.0	560.6	126.0	63.6	145.0	85.6	2331.0	48.5	9252.0	58.7	3986.0	60.0	7903.0	31.1	13726.0
38	chr10	80691838	80701908	9	589.2	38	806.0	44.0	921.1	22.0	531.6	40.0	747.1	59.0	32.1	864.0	42.2	7316.0	47.6	9486.0	47.1	6243.0	107.1	1871.0	70.3	2992.0
39	chr2	58151061	58164057	2	588.6	39	665.8	78.0	882.7	25.0	259.0	342.0	905.8	24.0	97.5	39.0	84.3	2391.0	150.4	1536.0	47.8	6000.0	79.4	4256.0	28.8	15252.0
40	chr1	53771712	53785018	1	584.6	40	942.8	19.0	948.9	19.0	320.1	183.0	862.6	32.0	53.3	228.0	76.0	2904.0	64.3	6577.0			92.3	2871.0	29.7	14557.0
41	chr4	130911076	130922552	5	584.0	41	916.9	27.0	779.6	43.0	542.9	36.0	811.3	40.0	29.8	1069.0	40.9	7571.0	98.6	3384.0	68.9	2754.0	99.6	2347.0	57.9	4559.0
