	Chr	Start	End	Strand
83	chr6	99255511	99267273	+
84	chr15	66857070	66868590	+
91	chr4	63851860	63864568	+
227	chr17	29390335	29398323	+
267	chr9	107293954	107299734	+
302	chr7	142460417	142464945	+
304	chr6	108548801	108557485	+
308	chr9	32742397	32749411	+
312	chr3	88507809	88514649	+
323	chr2	11638083	11647929	+
336	chr11	55129439	55138863	+
352	chr6	140612543	140622981	+
361	chr5	115708846	115716976	+
375	chr4	129030536	129037204	+
393	chr16	10662375	10670689	+
428	chr6	31121913	31128495	+
451	chr13	51796777	51803457	+
468	chr4	156006921	156015431	+
471	chr16	49965572	49973388	+
480	chr11	22811360	22816932	+
482	chr12	55486187	55494167	+
490	chr16	84702269	84708391	+
498	chr2	103655076	103660754	+
522	chr6	99050094	99058736	+
532	chr13	30789570	30795950	+
549	chr11	79126309	79133527	+
559	chr8	46938814	46944262	+
583	chr11	34007435	34012273	+
590	chr12	118372742	118379874	+
632	chr6	134364781	134369679	+
635	chr9	107302715	107310009	+
658	chr6	114903125	114909325	+
671	chr17	51825895	51832597	+
676	chr1	38661944	38666432	+
686	chr13	30829070	30836284	+
699	chr2	29644714	29651880	+
704	chr2	153234347	153241847	+
735	chr2	13555870	13561508	+
751	chr16	49933774	49938888	+
792	chr15	80587115	80592569	+
811	chr2	73466773	73472359	+
819	chr1	165800679	165807211	+
828	chr9	61665990	61670648	+
834	chr17	84417709	84424367	+
835	chr19	29249725	29256483	+
896	chr9	122230963	122235961	+
906	chr9	107332453	107336741	+
927	chr12	76371348	76377912	+
930	chr4	32146233	32151345	+
959	chr9	115609194	115613210	+
1033	chr6	99023007	99029551	+
1043	chr17	51803375	51811553	+
1059	chr1	177791661	177796867	+
1104	chr2	31058623	31064683	+
1107	chr4	63840355	63844283	+
1151	chr1	180361458	180367210	+
1153	chr11	21219292	21225164	+
1207	chr15	103239313	103243057	+
1267	chr8	36180205	36184595	+
1294	chr12	25187980	25190710	+
1299	chr5	147055232	147061622	+
1346	chr17	51818361	51825121	+
1463	chr9	107311118	107314760	+
1482	chr7	141095490	141098274	+
1515	chr8	35629441	35635421	+
1543	chr16	75905006	75908880	+
1544	chr10	117907809	117913721	+
1547	chr9	57970162	57974892	+
1557	chr4	32373453	32378723	+
1558	chr6	129279747	129285871	+
1611	chr2	61489390	61494554	+
1619	chr9	45297894	45301754	+
1620	chr17	29497579	29503679	+
1640	chr15	62455259	62461053	+
1650	chr18	60499749	60502615	+
1671	chr4	145220314	145222904	+
1714	chr10	12961073	12965835	+
1749	chr2	3656745	3659831	+
1851	chr5	139301799	139305961	+
1917	chr19	53868901	53872147	+
1943	chr10	59575911	59579847	+
1980	chr5	140614698	140619080	+
2023	chr15	61439747	61443703	+
2029	chr11	95412876	95416604	+
2039	chr2	167805186	167807136	+
2047	chr17	21534517	21538695	+
2087	chr11	6525093	6529287	+
2151	chr6	99307749	99311601	+
2166	chr8	120698549	120702315	+
2169	chr15	9462308	9464966	+
2172	chr13	51812190	51815860	+
2179	chr2	28515803	28519033	+
2241	chr7	75570578	75574112	+
2251	chr2	93423447	93426363	+
2287	chr10	117103526	117107530	+
2288	chr9	92248446	92252644	+
2321	chr2	65181111	65184505	+
2337	chr7	75666894	75671074	+
2367	chr3	37271719	37274719	+
2372	chr1	13659004	13661484	+
2381	chrX	167145097	167149195	+
2389	chr3	88518853	88522809	+
2407	chr13	30816394	30820928	+
2429	chr10	39454906	39458664	+
2435	chr13	30759266	30763318	+
2436	chr4	63897845	63901401	+
2468	chr18	75453711	75456993	+
2507	chr18	65320883	65323659	+
2509	chr1	95653538	95657770	+
2561	chr17	50156987	50159853	+
2608	chr3	37312182	37316186	+
2618	chr13	104620433	104623877	+
2630	chr13	30784754	30788210	+
2636	chr17	35998058	36002744	+
2654	chr4	154942735	154944991	+
2733	chr19	57070926	57074836	+
2741	chr19	46618385	46621889	+
2852	chr4	8926498	8929112	+
2853	chr6	145272974	145276488	+
2904	chr8	107289786	107292964	+
2952	chr10	60160991	60163391	+
2972	chr12	99639760	99642774	+
2985	chr1	151570456	151573530	+
3215	chr3	68760412	68763612	+
3257	chr12	25304109	25307699	+
3327	chr8	81852211	81856657	+
3336	chr16	51673803	51677547	+
3338	chr15	80597695	80600879	+
3354	chr1	36767783	36771323	+
3371	chr4	63937766	63941090	+
3372	chr10	58391861	58394629	+
3433	chr3	37173217	37176219	+
3443	chr4	11087469	11090891	+
3486	chr6	108660363	108664275	+
3489	chr4	32403748	32407844	+
3536	chr13	63222592	63225124	+
3604	chr15	100059217	100062027	+
3633	chr6	144901997	144903513	+
3638	chr3	37204626	37206948	+
3750	chr1	161395285	161397753	+
3756	chr16	49774166	49776910	+
3818	chr6	108657174	108659666	+
3879	chr9	21134625	21136885	+
3901	chr9	108033803	108037099	+
3947	chr2	102980348	102983088	+
3972	chr7	123321634	123323648	+
3979	chr6	108686945	108689139	+
4005	chr2	117387750	117390850	+
4074	chr10	66863369	66865171	+
4077	chr13	104609655	104611935	+
4102	chr6	99336981	99340207	+
4113	chr19	29453138	29455638	+
4123	chr2	153291483	153293999	+
4145	chr13	43776516	43779620	+
