cluster	chr_name	start	end	tag_count_no_peptide	tag_count_10um_k99a	tag_count_100um_k99a	tag_count_0_1um_pcc	tag_count_10um_pcc
0	chr5	124010161	124037009	1485.9	1078.0	561.6	866.3	410.7
0	chr5	124074842	124085370	666.6	508.2	46.4	381.6	316.5
0	chr5	124048739	124051545	122.6	121.8	30.5	57.4	0.0
1	chr6	48673703	48693009	1233.1	1084.4	312.2	1035.5	340.2
2	chr7	68272546	68292052	1160.6	1158.3	457.0	629.2	424.0
2	chr7	68205493	68207175	33.4	44.3	17.0	12.3	18.5
3	chr3	89378389	89397077	1088.8	797.4	520.9	715.6	533.2
3	chr3	89186529	89191775	432.2	348.1	215.5	294.5	244.3
4	chr11	99143853	99157171	966.2	702.1	187.8	590.3	236.3
4	chr11	99104070	99106584	117.6	74.4	26.6	51.2	28.3
4	chr11	99203163	99205267	56.7	39.7	11.3	37.7	26.0
4	chr11	99238611	99239517	39.2	17.3	0.0	30.9	17.3
5	chr5	65860889	65876165	942.8	824.3	291.3	761.9	444.2
5	chr5	65723927	65725049	70.1	65.2	44.7	60.5	52.0
5	chr5	65885371	65886645	48.4	38.3	26.6	46.9	27.1
6	chr7	31145595	31157383	934.4	787.8	306.5	760.1	281.3
6	chr7	31208383	31209869	60.9	69.8	35.1	53.1	35.2
6	chr7	31000663	31001593	52.6	52.9	28.3	48.2	0.0
7	chr4	59189725	59206923	932.8	511.4	334.2	765.6	323.5
7	chr4	59008562	59010152	95.1	63.0	50.9	64.2	58.9
7	chr4	59252714	59255466	132.7	96.7	0.0	95.7	68.7
8	chr19	11478549	11495721	932.8	792.4	281.1	838.5	307.3
8	chr19	11121581	11122347	24.2	30.6	11.9	25.9	13.9
8	chr19	11386855	11388321	51.7	35.6	33.4	48.2	28.3
8	chr19	11497934	11501908	171.0	156.0	0.0	144.5	72.8
9	chr1	164060757	164079287	911.9	703.9	226.2	695.2	201.0
9	chr1	164412644	164413902	50.9	24.2	15.8	29.0	17.3
10	chr4	149692242	149705814	911.1	896.4	436.6	874.3	486.4
10	chr4	149888801	149890473	66.7	59.3	53.7	53.7	44.5
10	chr4	149444720	149446104	51.7	62.0	29.4	48.2	30.6
10	chr4	149854375	149858981	231.9	198.9	182.1	239.0	89.5
10	chr4	150029252	150031322	142.7	173.8	84.3	131.5	94.2
11	chr5	113823480	113833624	909.4	848.1	375.5	826.1	561.5
11	chr5	113834990	113837862	72.6	62.0	60.5	93.9	53.7
11	chr5	113859208	113860306	46.7	50.6	28.8	46.9	32.3
11	chr5	114198432	114200250	113.5	96.3	65.0	108.1	97.0
12	chr5	112270149	112288871	879.4	396.9	362.0	421.1	342.5
13	chr2	11168772	11182856	847.7	629.1	259.6	560.0	412.4
13	chr2	11215932	11220720	224.4	177.0	135.7	180.3	130.5
13	chr2	11161336	11163710	113.5	48.8	40.7	59.3	24.3
14	chr8	123025194	123041368	816.8	547.9	466.0	547.7	321.2
14	chr8	123008892	123010026	40.9	32.8	15.3	27.8	17.9
14	chr8	122986272	122990956	245.3	167.9	172.5	217.3	140.9
15	chr19	5840423	5850683	744.2	701.6	268.1	661.9	267.4
15	chr19	5648296	5649566	70.1	60.7	27.1	47.5	43.9
16	chr4	102566928	102577272	743.4	681.6	250.0	634.1	304.4
16	chr4	102510948	102512418	117.6	114.5	58.8	77.2	73.4
16	chr4	102517346	102519828	95.1	97.2	52.0	110.5	73.4
16	chr4	102954992	102955784	37.5	35.1	13.0	29.6	12.1
17	chr3	88143289	88153877	731.7	607.6	281.6	392.7	505.4
17	chr3	88381632	88382132	15.9	20.5	13.0	13.0	13.3
18	chr11	32533264	32544890	731.7	661.0	281.1	380.3	502.0
19	chr15	86059649	86071805	668.3	318.9	289.6	369.2	287.1
19	chr15	85610301	85611061	36.7	18.7	15.3	17.3	9.82
19	chr15	86168396	86169174	26.7	13.2	0.0	14.8	12.7
19	chr15	85634219	85635813	60.9	32.4	26.6	32.1	19.1
20	chr3	60501867	60513855	649.9	417.9	343.3	431.0	318.9
20	chr3	60408312	60409768	106.0	85.3	50.3	103.1	65.9
20	chr3	60522367	60523959	30.0	36.5	25.4	24.1	19.1
21	chr12	15803424	15817152	649.9	461.7	306.5	490.3	339.7
22	chr11	83114182	83125114	648.3	539.2	318.4	527.9	320.6
22	chr11	83270551	83271973	75.1	94.9	39.0	93.9	61.8
22	chr11	82746039	82747143	66.7	63.4	44.1	65.4	39.3
22	chr11	83076927	83079535	156.0	156.5	42.4	117.3	31.8
23	chr11	46304077	46313609	632.4	370.4	270.9	516.8	256.5
23	chr11	46076096	46076596	15.9	11.4	10.7	14.8	9.82
24	chr7	31031788	31043636	631.6	238.6	153.8	226.6	186.6
25	chr13	24629972	24641900	630.8	336.7	258.5	568.7	212.6
26	chr18	60372349	60384761	613.2	300.6	56.0	321.7	106.3
27	chr15	78563180	78573606	610.7	527.4	472.8	580.4	238.0
27	chr15	78531696	78532934	53.4	51.1	32.2	57.4	41.0
27	chr15	78447347	78450153	119.3	155.6	112.0	160.5	104.6
27	chr15	78579684	78582596	188.6	152.8	110.3	176.0	116.1
27	chr15	78719171	78719671	14.2	11.9	10.7	13.0	11.6
27	chr15	78682852	78684096	42.6	43.8	31.7	44.5	35.2
27	chr15	78809668	78810296	12.5	11.9	10.2	9.26	8.09
28	chr7	45915869	45924677	607.4	407.8	209.8	373.6	224.7
28	chr7	46057035	46059173	138.5	92.2	27.1	76.6	50.3
28	chr7	45857122	45858060	44.2	37.0	17.0	32.1	17.9
29	chr15	102226388	102237454	598.2	489.5	277.1	494.0	177.9
29	chr15	102106689	102107853	45.9	45.2	18.1	30.9	13.3
29	chr15	102223786	102225584	101.8	91.2	63.9	111.8	69.3
30	chr17	31204987	31212939	584.9	494.1	289.0	466.8	378.9
30	chr17	30841915	30842561	23.4	20.1	17.5	14.2	13.3
30	chr17	31072923	31078523	189.4	178.4	156.1	127.8	158.9
31	chr15	78894759	78902819	581.5	548.8	365.3	492.7	202.8
31	chr15	78579684	78582596	188.6	152.8	110.3	176.0	116.1
31	chr15	79208557	79209801	45.9	42.0	21.5	39.5	26.0
31	chr15	78809668	78810296	12.5	11.9	10.2	9.26	8.09
32	chr6	91107556	91116266	580.7	229.5	209.8	243.3	206.8
33	chr12	25092195	25100791	580.7	486.8	183.8	479.8	380.7
34	chr10	42859418	42869884	570.7	399.2	94.4	327.2	213.7
35	chr13	24598792	24606808	567.3	378.2	262.4	371.7	255.3
35	chr13	24374980	24376526	74.3	54.3	34.5	35.2	32.3
35	chr13	24500469	24502491	133.5	105.8	72.4	108.7	92.4
35	chr13	24964920	24965954	85.1	68.4	56.6	68.5	56.0
36	chr8	15011488	15021434	561.5	555.6	397.0	461.9	199.3
36	chr8	14992810	14999362	404.6	386.9	287.3	364.9	291.1
37	chr11	48866132	48874080	554.8	430.6	272.6	468.0	291.1
37	chr11	48833076	48834794	60.1	55.2	19.2	66.1	42.2
37	chr11	48787646	48789138	98.5	103.6	69.0	100.0	60.1
37	chr11	49060412	49062722	77.6	67.5	54.9	72.9	67.0
38	chr15	67171463	67178509	554.8	506.4	212.6	526.1	369.1
38	chr15	67038422	67041100	160.2	151.9	89.4	159.9	132.3
38	chr15	67289611	67291503	85.1	75.3	50.3	75.9	84.3
39	chr5	37046414	37055448	550.7	296.1	252.2	262.4	372.0
39	chr5	37028228	37030058	42.6	31.5	32.8	30.3	26.6
40	chr9	107626359	107636381	544.0	275.1	218.9	304.4	251.3
40	chr9	107723742	107724842	41.7	28.7	24.3	27.2	27.7
41	chr6	127148191	127156433	538.1	473.5	123.9	413.1	148.5
41	chr6	127330321	127331843	47.6	42.0	10.7	49.4	29.5
41	chr6	127470783	127472385	63.4	56.6	35.6	48.2	20.8
42	chr8	94431677	94439103	534.0	458.5	243.8	502.6	309.0
42	chr8	94870199	94871853	90.9	82.1	34.5	72.2	46.8
42	chr8	94190658	94191570	71.8	39.7	27.7	61.1	46.2
42	chr8	94408148	94409710	54.2	45.6	44.7	46.3	39.9
43	chr7	38182856	38190558	527.3	488.6	322.4	474.2	238.0
43	chr7	37971267	37972699	38.4	41.5	30.0	51.2	33.5
44	chr9	63753019	63759845	523.1	462.1	278.8	389.0	255.9
44	chr9	63732795	63742427	421.3	244.1	205.3	366.8	268.0
45	chr19	46036290	46044500	515.6	474.9	153.3	305.6	254.2
45	chr19	45544449	45545893	84.3	77.6	42.4	59.3	48.5
45	chr19	45842599	45844547	89.3	112.7	47.5	92.0	47.4
45	chr19	45795339	45797641	121.0	104.0	61.1	93.9	57.8
45	chr19	46329467	46330293	27.5	24.2	0.0	21.6	17.3
46	chr2	165877166	165886804	503.9	295.6	222.8	284.6	243.8
46	chr2	165923514	165925584	79.3	41.1	31.1	55.0	19.1
47	chr7	101451667	101463063	495.6	146.0	82.6	134.0	44.5
47	chr7	101470241	101470741	11.7	0.0	0.0	0.0	0.0
47	chr7	101556946	101557724	19.2	8.21	0.0	0.0	0.0
47	chr7	101465257	101467469	111.0	59.3	30.5	37.7	38.7
47	chr7	101599793	101600601	25.0	0.0	0.0	0.0	0.0
48	chr8	13671822	13678890	488.9	476.3	281.1	406.3	70.5
49	chr11	49084298	49092740	478.9	354.9	183.8	437.8	210.8
49	chr11	48833076	48834794	60.1	55.2	19.2	66.1	42.2
50	chr7	100492106	100497804	477.2	427.5	232.4	420.5	281.3
50	chr7	100949459	100950519	43.4	39.2	22.6	54.3	32.9
51	chr5	123135493	123142053	473.9	458.0	143.1	358.1	204.5
51	chr5	123057178	123059148	50.9	64.8	29.4	67.9	39.9
51	chr5	123318219	123319251	40.9	54.3	24.3	51.2	38.1
52	chr11	117962932	117969294	473.1	395.1	252.2	334.0	225.9
52	chr11	118143405	118148353	281.2	237.2	83.1	200.1	191.8
52	chr11	117685168	117686882	92.6	53.8	45.2	78.4	58.3
52	chr11	118013009	118016575	254.5	207.6	118.2	165.5	158.9
52	chr11	117638647	117640435	90.9	71.6	53.7	75.3	45.1
52	chr11	117951413	117956593	165.2	174.7	84.8	96.3	86.1
53	chr13	117217499	117227093	473.1	394.2	245.4	261.8	126.5
53	chr13	117240876	117243770	136.8	126.8	41.9	101.3	24.3
54	chr19	57114272	57120994	472.2	425.2	155.0	423.0	343.1
54	chr19	57071951	57073857	75.1	91.7	30.5	92.6	92.4
55	chr15	61983325	61989539	470.6	370.9	80.3	376.0	106.9
56	chr2	32719387	32725283	466.4	339.9	215.5	379.1	213.7
56	chr2	32552378	32557268	269.5	205.3	181.0	215.5	148.5
56	chr2	32500693	32502525	34.2	44.7	22.1	40.8	22.0
56	chr2	32602601	32603421	31.7	26.0	19.8	35.2	27.1
56	chr2	33129768	33132428	170.2	177.0	90.5	161.2	102.2
57	chr10	21991391	21999389	460.5	372.7	134.0	226.6	257.6
57	chr10	21905283	21909253	183.6	154.2	126.1	88.3	72.2
57	chr10	22282612	22283520	39.2	20.1	18.1	17.3	29.5
58	chr10	99260718	99266518	453.9	416.0	179.8	399.5	292.3
