PeakID (cmd=annotatePeaks.pl enhancers_only_0_1um_pcc.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
27232	chr9	32761089	32761589	+	0	NA	Intergenic	Intergenic	65297	NM_011808	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1	E26 avian leukemia oncogene 1, 5' domain	protein-coding
28487	chr3	54579158	54579658	+	0	NA	Intergenic	ORR1C1|LTR|ERVL-MaLR	-113697	NM_019995	56790	Mm.486375	NM_019995	ENSMUSG00000027751	Supt20	AA667204|AI450544|D3Ertd300e|Fam48a|Supt20h|p38IP	suppressor of Ty 20	protein-coding
26051	chr9	108320070	108320570	+	0	NA	intron (NM_016802, intron 2 of 5)	B1_Mus1|SINE|Alu	14115	NM_016802	11848	Mm.757	NM_016802	ENSMUSG00000007815	Rhoa	Arha|Arha1|Arha2	ras homolog gene family, member A	protein-coding
27729	chr15	61415929	61416429	+	0	NA	Intergenic	Intergenic	358272	NR_040350	432956	Mm.404918	NR_040350		D030024E09Rik	-	RIKEN cDNA D030024E09 gene	ncRNA
27037	chr17	79584305	79584805	+	0	NA	Intergenic	Intergenic	-30345	NM_201361	381110	Mm.293063	NM_201361	ENSMUSG00000036368	Rmdn2	AW061290|Fam82a1|RMD-2|mRMD-2	regulator of microtubule dynamics 2	protein-coding
22159	chr12	16169861	16171039	+	0	NA	Intergenic	Intergenic	-353665	NM_144551	217410	Mm.491136	NM_144551	ENSMUSG00000020601	Trib2	AW319517|TRB-2|TRB2	tribbles homolog 2 (Drosophila)	protein-coding
28295	chr10	93182563	93183063	+	0	NA	intron (NM_146239, intron 1 of 16)	intron (NM_146239, intron 1 of 16)	20028	NR_035452	100316689		NR_035452		Mir1931	mmu-mir-1931	microRNA 1931	ncRNA
27104	chr2	120497353	120497985	+	0	NA	intron (NM_001109761, intron 13 of 20)	(TG)n|Simple_repeat|Simple_repeat	20760	NM_001109761	12335	Mm.458021	NM_007601	ENSMUSG00000079110	Capn3	AI323605|Capa-3|Capa3|Lp82|p94	calpain 3	protein-coding
27777	chr17	70485378	70485878	+	0	NA	intron (NM_027712, intron 1 of 9)	intron (NM_027712, intron 1 of 9)	-36482	NM_001128180	224997	Mm.311840	NM_027712	ENSMUSG00000003279	Dlgap1	4933422O14Rik|9630002F18|AI845682|AI848168|BB075781|D17Bwg0511e|GKAP/SAPAP|GKPA/SAPAP|Gkap|Sapap1|mKIAA4162	discs, large (Drosophila) homolog-associated protein 1	protein-coding
28619	chr15	5113832	5114332	+	0	NA	Intergenic	G-rich|Low_complexity|Low_complexity	-2531	NM_026069	67281	Mm.10474	NM_026069	ENSMUSG00000041841	Rpl37	3110005M08Rik	ribosomal protein L37	protein-coding
