# HOMER Peaks
# Peak finding parameters:
# tag directory = /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined
#
# total super enhancers = 621
# super enhancer stitching window = 12500
# super enhancer slope threshold = 1.00
# super enhancer slope moving window = 10
#
# total peaks = 18234
# peak size = 164
# peaks found using tags on both strands
# minimum distance between peaks = 12500
# fragment length = 164
# genome size = 2000000000
# Total tags = 47749296.0
# Total tags in peaks = 18075245.0
# Approximate IP efficiency = 37.85%
# tags per bp = 0.023430
# expected tags per peak = 3.843
# maximum tags considered per bp = 2.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 3.022510e-06
# FDR tag threshold = 16.0
# number of putative peaks = 964463
#
# input tag directory = /data/mm10/CD4/ChIP/Input/AND-CD4TCell-Input-MNase-Combined/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 318870
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 262
#
# cmd = findPeaks /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined -i /data/mm10/CD4/ChIP/Input/AND-CD4TCell-Input-MNase-Combined/ -style super -o /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt -L 0
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	superEnhancer slope	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr10-54740	chr10	96097789	96802208	+	9384.3	704419.000	16.000000	1.04
chr17-44317	chr17	83764594	84448930	+	7191.0	684336.000	16.000000	0.97
chr9-4437	chr9	32582059	32946817	+	5244.4	364758.000	36.000000	0.94
chr14-29298	chr14	54122776	54261717	+	5091.4	138941.000	17.000000	0.84
chr6-13653	chr6	99081118	99464575	+	4907.6	383457.000	26.000000	0.94
chr8-32680	chr8	126548704	126923797	+	4560.1	1075.143	18.000000	1.02
chr17-23504	chr17	51743394	52250658	+	4538.1	663.202	20.000000	1.01
chr11-65339	chr11	106350368	106790010	+	4148.7	315.465	17.000000	0.96
chr4-34305	chr4	32117780	32465793	+	4107.5	317.863	18.000000	0.96
chr9-53625	chr9	116058177	116406568	+	3985.6	291.185	16.000000	1.04
chr14-36791	chr14	121861927	122090444	+	3851.0	240.825	16.000000	0.90
chr10-15022	chr10	117745580	118122073	+	3777.8	245.450	26.000000	1.02
chr12-36447	chr12	73565038	73819671	+	3620.9	184.901	17.000000	0.84
chr19-17770	chr19	11348761	11612730	+	3455.4	179.269	19.000000	0.95
chr12-40358	chr12	15875004	16239160	+	3409.0	156.615	16.000000	0.90
chr1-52667	chr1	60702272	61085189	+	3320.7	140.605	17.000000	0.90
chr10-49539	chr10	18981801	19243606	+	3274.8	128.509	16.000000	0.89
chr1-55042	chr1	128527298	128837737	+	3197.0	104.986	17.000000	0.96
chr14-32975	chr14	27180456	27443360	+	3184.9	73.140	16.000000	0.90
chr1-46791	chr1	88447366	88722064	+	3179.6	73.856	18.000000	0.84
chr3-44530	chr3	115638229	115907838	+	3127.3	62.200	16.000000	1.18
chr8-36671	chr8	114765648	115112663	+	3116.4	62.463	17.000000	0.90
chr15-29221	chr15	66671050	66899735	+	3080.5	55.441	19.000000	1.02
chr7-29078	chr7	63889512	64106730	+	3079.0	53.680	21.000000	1.01
chr17-37309	chr17	72889664	73201431	+	3028.9	53.338	17.000000	0.90
chr13-21835	chr13	24442542	24714324	+	3000.6	50.740	19.000000	0.95
chr2-13987	chr2	128152373	128477903	+	2953.4	56.625	29.000000	1.01
chr15-26469	chr15	80485100	80754742	+	2911.7	49.920	20.000000	1.08
chr4-40794	chr4	59135670	59380597	+	2908.6	53.270	17.000000	0.96
chr6-18720	chr6	54698901	54975770	+	2905.1	43.932	23.000000	0.90
chr14-21521	chr14	25439929	25663257	+	2866.2	38.754	19.000000	1.03
chr7-53328	chr7	127073703	127323299	+	2825.0	31.046	17.000000	1.03
chr7-50201	chr7	75454022	75748149	+	2823.6	27.222	17.000000	0.90
chr6-48918	chr6	86428163	86670886	+	2804.9	30.358	16.000000	0.90
chr3-39976	chr3	21896053	22204756	+	2802.8	34.056	16.000000	0.96
chr5-44848	chr5	105483701	105754903	+	2801.1	27.466	17.000000	0.96
chr1-63068	chr1	91935044	92251366	+	2793.6	25.866	16.000000	0.84
chr1-36856	chr1	138085128	138348655	+	2771.6	27.787	20.000000	1.01
chr18-20044	chr18	75205162	75504623	+	2752.4	25.280	17.000000	0.96
chr7-25797	chr7	68101278	68331086	+	2729.8	25.682	22.000000	1.06
chr19-23738	chr19	32129673	32342064	+	2724.8	29.462	17.000000	0.90
chr16-24296	chr16	10629181	10865069	+	2691.8	29.266	17.000000	0.90
chr6-35304	chr6	48645427	48845436	+	2680.6	28.146	18.000000	0.96
chr11-70417	chr11	54917136	55158939	+	2674.8	27.898	16.000000	0.96
chr15-24734	chr15	36261092	36499960	+	2670.6	24.112	20.000000	1.08
chr15-42934	chr15	27660740	27887897	+	2649.5	28.310	16.000000	0.84
chr11-57955	chr11	118084028	118293728	+	2643.0	24.606	18.000000	0.95
chr1-22000	chr1	106514569	106714935	+	2626.8	28.502	24.000000	0.94
chr2-48065	chr2	166542930	166827275	+	2608.8	33.981	19.000000	1.01
chr15-16279	chr15	97311343	97538003	+	2605.7	34.141	24.000000	0.90
chr11-66567	chr11	117743312	118020202	+	2579.1	32.289	17.000000	1.02
chr2-63887	chr2	165787803	166056802	+	2565.2	33.584	17.000000	1.03
chr15-22267	chr15	62025269	62271880	+	2533.9	37.852	21.000000	0.96
chr7-34887	chr7	125465270	125661461	+	2499.9	39.961	20.000000	1.02
chr10-8969	chr10	39291698	39547508	+	2494.9	40.593	30.000000	1.01
chr1-67481	chr1	180222396	180434205	+	2483.3	35.507	16.000000	0.90
chr1-68403	chr1	193103136	193388552	+	2470.1	33.011	16.000000	0.89
chr19-19347	chr19	4051958	4233409	+	2431.9	33.256	18.000000	1.25
chr7-38476	chr7	80752822	81023479	+	2403.1	27.207	19.000000	1.08
chr6-33472	chr6	134020527	134302704	+	2396.8	27.097	19.000000	1.01
chr12-43428	chr12	79608498	79858196	+	2396.4	25.517	16.000000	0.89
chr11-48436	chr11	88410735	88677786	+	2395.3	25.970	19.000000	1.08
chr8-41484	chr8	84039043	84277554	+	2362.8	19.376	16.000000	0.96
chr17-16635	chr17	4979809	5338971	+	2359.8	18.506	22.000000	0.95
chr12-4488	chr12	100836644	101029347	+	2355.5	18.090	34.000000	0.95
chr2-37924	chr2	11135438	11289879	+	2352.0	18.242	20.000000	0.90
chr7-45447	chr7	117376961	117644674	+	2336.5	23.752	18.000000	0.96
chr19-22915	chr19	10686777	10844989	+	2332.2	23.760	17.000000	0.83
chr15-39429	chr15	74891764	75034412	+	2307.9	24.411	17.000000	0.96
chr11-37989	chr11	99010315	99255864	+	2303.7	30.028	21.000000	1.02
chr15-45985	chr15	77773286	77971872	+	2302.5	30.273	16.000000	1.12
chr11-51446	chr11	11620466	11788904	+	2273.1	29.657	18.000000	1.09
chr5-32350	chr5	64566714	64821633	+	2240.5	30.704	19.000000	1.01
chr12-36150	chr12	69355267	69589057	+	2234.2	27.505	17.000000	0.84
chr7-50027	chr7	73456480	73640478	+	2200.9	29.792	17.000000	0.90
chr16-16196	chr16	23127260	23329434	+	2196.2	29.660	20.000000	1.01
chr15-25477	chr15	64133186	64346286	+	2183.8	24.798	20.000000	1.01
chr5-30228	chr5	134165186	134374693	+	2174.2	20.164	20.000000	1.14
chr8-34978	chr8	72239065	72422116	+	2166.3	20.247	17.000000	1.03
chr2-64829	chr2	173300043	173549178	+	2150.4	13.843	17.000000	0.96
chr11-61744	chr11	63895166	64098940	+	2149.9	13.310	17.000000	1.03
chr10-19289	chr10	13964861	14132043	+	2145.4	12.269	23.000000	0.94
chr7-28342	chr7	25606620	25852128	+	2136.7	15.687	21.000000	0.95
chr15-20298	chr15	78447967	78626673	+	2130.0	16.110	22.000000	0.94
chr10-28295	chr10	19488005	19725722	+	2129.7	20.683	20.000000	0.90
chr16-16995	chr16	51988128	52203006	+	2127.7	21.719	20.000000	0.95
chr6-38600	chr6	129157268	129334285	+	2120.7	21.088	18.000000	0.90
chr12-41012	chr12	25134312	25414333	+	2093.5	23.435	16.000000	1.04
chr2-71107	chr2	103565379	103741606	+	2083.4	22.412	16.000000	0.90
chr2-53978	chr2	132544809	132729244	+	2043.9	23.479	18.000000	1.11
chr19-21705	chr19	53387979	53573648	+	2038.1	24.638	18.000000	0.96
chr9-40960	chr9	14860410	15076523	+	2036.9	24.225	17.000000	0.90
