PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr2-2792	chr2	127309899	127326719	+	636.2	52.407	Intergenic	Intergenic	-17850.0	NM_010090	13537.0	Mm.4729	NM_010090	ENSMUSG00000027368	Dusp2	PAC1	dual specificity phosphatase 2	protein-coding	622.8	771.85	518.33
chr16-39925	chr16	52052881	52071497	+	618.8	31.987	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	30640.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	596.85	784.33	448.17
chr11-50625	chr11	99157988	99173008	+	612.5	53.04	Intergenic	Intergenic	-10421.0	NM_007719	12775.0	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	600.46	766.03	465.35
chr11-92247	chr11	46378896	46394396	+	589.2	53.953	intron (NM_001281966, intron 1 of 16)	intron (NM_001281966, intron 1 of 16)	2869.0	NM_001281968	16428.0	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	573.49	751.82	433.51
chr15-12590	chr15	74984475	75001381	+	580.7	26.846999999999998	Intergenic	Intergenic	5103.0	NM_001271416	110454.0	Mm.425949	NM_010738	ENSMUSG00000075602	Ly6a	Ly-6A.2|Ly-6A/E|Ly-6E.1|Sca-1|Sca1|TAP	lymphocyte antigen 6 complex, locus A	protein-coding	554.07	768.19	433.3
chr8-8856	chr8	84973933	84987631	+	534.5	42.586999999999996	Intergenic	Intergenic	-2034.0	NM_008416	16477.0	Mm.1167	NM_008416	ENSMUSG00000052837	Junb	-	jun B proto-oncogene	protein-coding	511.47	669.79	425.35
chr2-159326	chr2	11649803	11665119	+	462.9	38.203	intron (NM_008367, intron 1 of 7)	L1M5|LINE|L1	14669.0	NM_008367	16184.0	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding	452.37	589.7	357.7
chr4-17695	chr4	63851860	63864568	+	462.3	42.247	intron (NM_009403, intron 1 of 3)	intron (NM_009403, intron 1 of 3)	3070.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	417.32	693.26	309.95
chr19-4504	chr19	10731299	10742597	+	457.1	31.513	intron (NM_007650, intron 1 of 10)	intron (NM_007650, intron 1 of 10)	2026.0	NM_007650	12507.0	Mm.779	NM_007650	ENSMUSG00000024669	Cd5	Ly-1|Ly-12|Ly-A|Lyt-1	CD5 antigen	protein-coding	434.84	533.73	369.85
chr3-57690	chr3	106782973	106793357	+	447.6	84.53299999999999	intron (NM_007651, intron 1 of 7)	intron (NM_007651, intron 1 of 7)	1984.0	NM_007651	12508.0	Mm.316861	NM_007651	ENSMUSG00000040747	Cd53	AI323659|Ox-44|Tspan25	CD53 antigen	protein-coding	492.22	525.33	318.12
